,subject,predicate,object,type_df,superclass
3,http://www.wikidata.org/entity/Q43653,http://www.wikidata.org/prop/direct/P1158,http://www.wikidata.org/entity/Q98,outgoing,[]
4,http://www.wikidata.org/entity/Q43653,http://www.wikidata.org/prop/direct/P137,http://www.wikidata.org/entity/Q23548,outgoing,[]
5,http://www.wikidata.org/entity/Q43653,http://www.wikidata.org/prop/direct/P1427,http://www.wikidata.org/entity/Q845774,outgoing,[]
6,http://www.wikidata.org/entity/Q43653,http://www.wikidata.org/prop/direct/P155,http://www.wikidata.org/entity/Q191746,outgoing,[]
7,http://www.wikidata.org/entity/Q43653,http://www.wikidata.org/prop/direct/P156,http://www.wikidata.org/entity/Q188433,outgoing,[]
8,http://www.wikidata.org/entity/Q43653,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,outgoing,[]
9,http://www.wikidata.org/entity/Q43653,http://www.wikidata.org/prop/direct/P1876,http://www.wikidata.org/entity/Q28101301,outgoing,[]
10,http://www.wikidata.org/entity/Q43653,http://www.wikidata.org/prop/direct/P1876,http://www.wikidata.org/entity/Q28101302,outgoing,[]
13,http://www.wikidata.org/entity/Q43653,http://www.wikidata.org/prop/direct/P3015,http://www.wikidata.org/entity/Q318965,outgoing,[]
14,http://www.wikidata.org/entity/Q43653,http://www.wikidata.org/prop/direct/P3093,http://www.wikidata.org/entity/Q1141355,outgoing,[]
15,http://www.wikidata.org/entity/Q43653,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q495307,outgoing,[]
16,http://www.wikidata.org/entity/Q43653,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q752783,outgoing,[]
17,http://www.wikidata.org/entity/Q43653,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q46611,outgoing,[]
18,http://www.wikidata.org/entity/Q43653,http://www.wikidata.org/prop/direct/P375,http://www.wikidata.org/entity/Q54363,outgoing,[]
19,http://www.wikidata.org/entity/Q43653,http://www.wikidata.org/prop/direct/P522,http://www.wikidata.org/entity/Q210448,outgoing,[]
20,http://www.wikidata.org/entity/Q43653,http://www.wikidata.org/prop/direct/P793,http://www.wikidata.org/entity/Q1642255,outgoing,[]
0,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q180046,outgoing,[]
1,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q1898464,outgoing,[]
2,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P103,http://www.wikidata.org/entity/Q1860,outgoing,[]
3,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q11631,outgoing,[]
4,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q121594,outgoing,[]
5,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q15895020,outgoing,[]
6,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q730242,outgoing,[]
7,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q7890793,outgoing,[]
8,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P108,http://www.wikidata.org/entity/Q23548,outgoing,[]
9,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P108,http://www.wikidata.org/entity/Q37043,outgoing,[]
10,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P119,http://www.wikidata.org/entity/Q97,outgoing,[]
11,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P1196,http://www.wikidata.org/entity/Q3739104,outgoing,[]
12,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P140,http://www.wikidata.org/entity/Q620629,outgoing,[]
13,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q1860,outgoing,[]
14,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q1109489,outgoing,[]
15,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q1126046,outgoing,[]
17,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q1948730,outgoing,[]
19,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q2613227,outgoing,[]
20,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q3046356,outgoing,[]
24,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q4311715,outgoing,[]
25,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q4800207,outgoing,[]
27,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q5282987,outgoing,[]
32,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q747248,outgoing,[]
33,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q7515877,outgoing,[]
35,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q492796,outgoing,[]
36,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/entity/Q43196,outgoing,[]
37,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097,outgoing,[]
38,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q21179300,outgoing,[]
39,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P241,http://www.wikidata.org/entity/Q11220,outgoing,[]
40,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/entity/Q21179311,outgoing,[]
41,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q21179251,outgoing,[]
42,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q30,outgoing,[]
43,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P2959,http://www.wikidata.org/entity/Q16395658,outgoing,[]
44,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,outgoing,[]
45,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q2409842,outgoing,[]
46,http://www.wikidata.org/entity/Q1615,http://www.wikidata.org/prop/direct/P410,http://www.wikidata.org/entity/Q1824398,outgoing,[]
