,subject,predicate,object,type_df,iteration
9,http://www.wikidata.org/entity/Q1312952,http://www.wikidata.org/prop/direct/P941,http://www.wikidata.org/entity/Q43653,ingoing,1
16,http://www.wikidata.org/entity/Q2252,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q28950956,outgoing,2
8,http://www.wikidata.org/entity/Q2499689,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q28950956,outgoing,4
5,http://www.wikidata.org/entity/Q1565277,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/entity/Q936741,outgoing,4
47,http://www.wikidata.org/entity/Q2081494,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q102462,ingoing,4
10,http://www.wikidata.org/entity/Q271939,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q28950956,outgoing,4
1,http://www.wikidata.org/entity/Q610716,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q28950956,outgoing,5
5,http://www.wikidata.org/entity/Q583448,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q28950956,outgoing,5
0,http://www.wikidata.org/entity/Q16514117,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q28950956,outgoing,5
0,http://www.wikidata.org/entity/Q7287200,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q28950956,outgoing,5
0,http://www.wikidata.org/entity/Q4799164,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q28950956,outgoing,5
0,http://www.wikidata.org/entity/Q20988992,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q28950956,outgoing,5
14,http://www.wikidata.org/entity/Q816459,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q28950956,outgoing,5
2,http://www.wikidata.org/entity/Q16750994,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q28950956,outgoing,5
6,http://www.wikidata.org/entity/Q491019,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q28950956,outgoing,5
7,http://www.wikidata.org/entity/Q120450,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q28950956,outgoing,5
7,http://www.wikidata.org/entity/Q209518,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q28950956,outgoing,5
