,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q13042253,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q8683,ingoing,[]
1,http://www.wikidata.org/entity/Q21069080,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q8683,ingoing,[]
2,http://www.wikidata.org/entity/Q32178155,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q8683,ingoing,[]
3,http://www.wikidata.org/entity/Q10729138,http://www.wikidata.org/prop/direct/P1204,http://www.wikidata.org/entity/Q8683,ingoing,[]
4,http://www.wikidata.org/entity/Q8669,http://www.wikidata.org/prop/direct/P1382,http://www.wikidata.org/entity/Q8683,ingoing,[]
5,http://www.wikidata.org/entity/Q10652253,http://www.wikidata.org/prop/direct/P1423,http://www.wikidata.org/entity/Q8683,ingoing,[]
6,http://www.wikidata.org/entity/Q10427676,http://www.wikidata.org/prop/direct/P1479,http://www.wikidata.org/entity/Q8683,ingoing,[]
7,http://www.wikidata.org/entity/Q852008,http://www.wikidata.org/prop/direct/P1479,http://www.wikidata.org/entity/Q8683,ingoing,[]
8,http://www.wikidata.org/entity/Q47543159,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q8683,ingoing,[]
9,http://www.wikidata.org/entity/Q93659,http://www.wikidata.org/prop/direct/P2348,http://www.wikidata.org/entity/Q8683,ingoing,[]
10,http://www.wikidata.org/entity/Q791444,http://www.wikidata.org/prop/direct/P2408,http://www.wikidata.org/entity/Q8683,ingoing,[]
11,http://www.wikidata.org/entity/Q6097697,http://www.wikidata.org/prop/direct/P301,http://www.wikidata.org/entity/Q8683,ingoing,[]
47,http://www.wikidata.org/entity/Q6833134,http://www.wikidata.org/prop/direct/P971,http://www.wikidata.org/entity/Q8683,ingoing,[]
48,http://www.wikidata.org/entity/Q7662585,http://www.wikidata.org/prop/direct/P971,http://www.wikidata.org/entity/Q8683,ingoing,[]
0,http://www.wikidata.org/entity/Q25575459,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q8740,ingoing,[]
