,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q8683,http://www.wikidata.org/prop/direct/P1151,http://www.wikidata.org/entity/Q10729138,outgoing,[]
1,http://www.wikidata.org/entity/Q8683,http://www.wikidata.org/prop/direct/P1424,http://www.wikidata.org/entity/Q10652253,outgoing,[]
2,http://www.wikidata.org/entity/Q8683,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1469686,outgoing,[]
3,http://www.wikidata.org/entity/Q8683,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q4176199,outgoing,[]
4,http://www.wikidata.org/entity/Q8683,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q864113,outgoing,[]
5,http://www.wikidata.org/entity/Q8683,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q1507074,outgoing,[]
6,http://www.wikidata.org/entity/Q8683,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q170541,outgoing,[]
7,http://www.wikidata.org/entity/Q8683,http://www.wikidata.org/prop/direct/P793,http://www.wikidata.org/entity/Q708321,outgoing,[]
8,http://www.wikidata.org/entity/Q8683,http://www.wikidata.org/prop/direct/P972,http://www.wikidata.org/entity/Q5460604,outgoing,[]
0,http://www.wikidata.org/entity/Q8740,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q198,outgoing,[]
2,http://www.wikidata.org/entity/Q8740,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q1054184,outgoing,[]
3,http://www.wikidata.org/entity/Q8740,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q148,outgoing,[]
4,http://www.wikidata.org/entity/Q8740,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q172640,outgoing,[]
5,http://www.wikidata.org/entity/Q8740,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q174423,outgoing,[]
6,http://www.wikidata.org/entity/Q8740,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q180573,outgoing,[]
7,http://www.wikidata.org/entity/Q8740,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q191764,outgoing,[]
8,http://www.wikidata.org/entity/Q8740,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q30,outgoing,[]
9,http://www.wikidata.org/entity/Q8740,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q423,outgoing,[]
10,http://www.wikidata.org/entity/Q8740,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q664,outgoing,[]
11,http://www.wikidata.org/entity/Q8740,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q858887,outgoing,[]
12,http://www.wikidata.org/entity/Q8740,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q869,outgoing,[]
13,http://www.wikidata.org/entity/Q8740,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q870055,outgoing,[]
14,http://www.wikidata.org/entity/Q8740,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q884,outgoing,[]
15,http://www.wikidata.org/entity/Q8740,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q928,outgoing,[]
16,http://www.wikidata.org/entity/Q8740,http://www.wikidata.org/prop/direct/P972,http://www.wikidata.org/entity/Q5460604,outgoing,[]
0,http://www.wikidata.org/entity/Q1540695,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q37,outgoing,[]
1,http://www.wikidata.org/entity/Q1540695,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q216,outgoing,[]
2,http://www.wikidata.org/entity/Q1540695,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q273120,outgoing,[]
4,http://www.wikidata.org/entity/Q1540695,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q2357,outgoing,[]
5,http://www.wikidata.org/entity/Q1540695,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q294405,outgoing,[]
0,http://www.wikidata.org/entity/Q1773926,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,outgoing,[]
0,http://www.wikidata.org/entity/Q7249057,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,outgoing,[]
