,subject,predicate,object,type_df,iteration
16,http://www.wikidata.org/entity/Q128160,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8683,ingoing,1
21,http://www.wikidata.org/entity/Q1540695,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8683,ingoing,1
24,http://www.wikidata.org/entity/Q1773926,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8683,ingoing,1
25,http://www.wikidata.org/entity/Q188972,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8683,ingoing,1
27,http://www.wikidata.org/entity/Q2354629,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8683,ingoing,1
28,http://www.wikidata.org/entity/Q244932,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8683,ingoing,1
30,http://www.wikidata.org/entity/Q2665403,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8683,ingoing,1
32,http://www.wikidata.org/entity/Q318250,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8683,ingoing,1
33,http://www.wikidata.org/entity/Q322607,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8683,ingoing,1
34,http://www.wikidata.org/entity/Q3299864,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8683,ingoing,1
36,http://www.wikidata.org/entity/Q49100,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8683,ingoing,1
38,http://www.wikidata.org/entity/Q633862,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8683,ingoing,1
41,http://www.wikidata.org/entity/Q748780,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8683,ingoing,1
43,http://www.wikidata.org/entity/Q817206,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8683,ingoing,1
44,http://www.wikidata.org/entity/Q8740,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8683,ingoing,1
45,http://www.wikidata.org/entity/Q877450,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8683,ingoing,1
14,http://www.wikidata.org/entity/Q1519185,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8740,ingoing,2
38,http://www.wikidata.org/entity/Q2237223,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8740,ingoing,2
40,http://www.wikidata.org/entity/Q247253,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8740,ingoing,2
41,http://www.wikidata.org/entity/Q247395,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8740,ingoing,2
44,http://www.wikidata.org/entity/Q2888227,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8740,ingoing,2
45,http://www.wikidata.org/entity/Q2889101,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8740,ingoing,2
46,http://www.wikidata.org/entity/Q2889954,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8740,ingoing,2
48,http://www.wikidata.org/entity/Q2994973,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8740,ingoing,2
53,http://www.wikidata.org/entity/Q3883995,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8740,ingoing,2
58,http://www.wikidata.org/entity/Q46824659,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8740,ingoing,2
59,http://www.wikidata.org/entity/Q4821674,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8740,ingoing,2
60,http://www.wikidata.org/entity/Q482456,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8740,ingoing,2
64,http://www.wikidata.org/entity/Q487076,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8740,ingoing,2
65,http://www.wikidata.org/entity/Q4871074,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8740,ingoing,2
70,http://www.wikidata.org/entity/Q489959,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8740,ingoing,2
71,http://www.wikidata.org/entity/Q491117,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8740,ingoing,2
76,http://www.wikidata.org/entity/Q683271,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8740,ingoing,2
77,http://www.wikidata.org/entity/Q697053,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8740,ingoing,2
93,http://www.wikidata.org/entity/Q714749,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8740,ingoing,2
95,http://www.wikidata.org/entity/Q784397,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8740,ingoing,2
98,http://www.wikidata.org/entity/Q817206,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8740,ingoing,2
100,http://www.wikidata.org/entity/Q859217,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8740,ingoing,2
101,http://www.wikidata.org/entity/Q877450,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8740,ingoing,2
102,http://www.wikidata.org/entity/Q901263,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8740,ingoing,2
1,http://www.wikidata.org/entity/Q8740,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8683,outgoing,2
3,http://www.wikidata.org/entity/Q1540695,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8683,outgoing,2
1,http://www.wikidata.org/entity/Q1773926,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8683,outgoing,2
