,subject,predicate,object,type_df,superclass
1,http://www.wikidata.org/entity/Q1773926,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8683,outgoing,[]
1,http://www.wikidata.org/entity/Q13254610,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q4167836,outgoing,[]
0,http://www.wikidata.org/entity/Q180684,http://www.wikidata.org/prop/direct/P1424,http://www.wikidata.org/entity/Q6855092,outgoing,[]
1,http://www.wikidata.org/entity/Q180684,http://www.wikidata.org/prop/direct/P1687,http://www.wikidata.org/entity/P607,outgoing,[]
2,http://www.wikidata.org/entity/Q180684,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P17,outgoing,[]
3,http://www.wikidata.org/entity/Q180684,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P276,outgoing,[]
4,http://www.wikidata.org/entity/Q180684,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P585,outgoing,[]
5,http://www.wikidata.org/entity/Q180684,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P625,outgoing,[]
6,http://www.wikidata.org/entity/Q180684,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P710,outgoing,[]
7,http://www.wikidata.org/entity/Q180684,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q11023058,outgoing,[]
8,http://www.wikidata.org/entity/Q180684,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1190554,outgoing,[]
9,http://www.wikidata.org/entity/Q180684,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q363948,outgoing,[]
10,http://www.wikidata.org/entity/Q180684,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q52948,outgoing,[]
1,http://www.wikidata.org/entity/Q1078001,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q7275,outgoing,[]
0,http://www.wikidata.org/entity/Q350604,http://www.wikidata.org/prop/direct/P1424,http://www.wikidata.org/entity/Q5621523,outgoing,[]
2,http://www.wikidata.org/entity/Q350604,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q831663,outgoing,[]
0,http://www.wikidata.org/entity/Q650711,http://www.wikidata.org/prop/direct/P1552,http://www.wikidata.org/entity/Q124490,outgoing,[]
0,http://www.wikidata.org/entity/Q645883,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P1120,outgoing,[]
1,http://www.wikidata.org/entity/Q645883,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P1542,outgoing,[]
2,http://www.wikidata.org/entity/Q645883,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P1590,outgoing,[]
3,http://www.wikidata.org/entity/Q645883,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P276,outgoing,[]
4,http://www.wikidata.org/entity/Q645883,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P361,outgoing,[]
5,http://www.wikidata.org/entity/Q645883,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P4220,outgoing,[]
6,http://www.wikidata.org/entity/Q645883,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P580,outgoing,[]
7,http://www.wikidata.org/entity/Q645883,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P582,outgoing,[]
8,http://www.wikidata.org/entity/Q645883,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P710,outgoing,[]
9,http://www.wikidata.org/entity/Q645883,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1656682,outgoing,[]
11,http://www.wikidata.org/entity/Q645883,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q12786121,outgoing,[]
0,http://www.wikidata.org/entity/Q4071928,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1190554,outgoing,[]
2,http://www.wikidata.org/entity/Q4071928,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q4494907,outgoing,[]
3,http://www.wikidata.org/entity/Q4071928,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q24249440,outgoing,[]
1,http://www.wikidata.org/entity/Q20986437,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1969448,outgoing,[]
0,http://www.wikidata.org/entity/Q2334719,http://www.wikidata.org/prop/direct/P1424,http://www.wikidata.org/entity/Q13383594,outgoing,[]
1,http://www.wikidata.org/entity/Q2334719,http://www.wikidata.org/prop/direct/P1552,http://www.wikidata.org/entity/Q159394,outgoing,[]
2,http://www.wikidata.org/entity/Q2334719,http://www.wikidata.org/prop/direct/P1552,http://www.wikidata.org/entity/Q16533,outgoing,[]
3,http://www.wikidata.org/entity/Q2334719,http://www.wikidata.org/prop/direct/P1552,http://www.wikidata.org/entity/Q468489,outgoing,[]
4,http://www.wikidata.org/entity/Q2334719,http://www.wikidata.org/prop/direct/P1552,http://www.wikidata.org/entity/Q471855,outgoing,[]
5,http://www.wikidata.org/entity/Q2334719,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P1620,outgoing,[]
6,http://www.wikidata.org/entity/Q2334719,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1190554,outgoing,[]
8,http://www.wikidata.org/entity/Q2334719,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q327197,outgoing,[]
9,http://www.wikidata.org/entity/Q2334719,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q386724,outgoing,[]
1,http://www.wikidata.org/entity/Q766875,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q198,outgoing,[]
1,http://www.wikidata.org/entity/Q1227249,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q18669875,outgoing,[]
1,http://www.wikidata.org/entity/Q192909,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q18669875,outgoing,[]
0,http://www.wikidata.org/entity/Q124734,http://www.wikidata.org/prop/direct/P1889,http://www.wikidata.org/entity/Q38990146,outgoing,[]
2,http://www.wikidata.org/entity/Q124734,http://www.wikidata.org/prop/direct/P460,http://www.wikidata.org/entity/Q38990146,outgoing,[]
0,http://www.wikidata.org/entity/Q7311342,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1255828,outgoing,[]
2,http://www.wikidata.org/entity/Q7311342,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1991663,outgoing,[]
1,http://www.wikidata.org/entity/Q4231815,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q6647660,outgoing,[]
1,http://www.wikidata.org/entity/Q47657138,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q3513387,outgoing,[]
0,http://www.wikidata.org/entity/Q2447975,http://www.wikidata.org/prop/direct/P1889,http://www.wikidata.org/entity/Q33055861,outgoing,[]
2,http://www.wikidata.org/entity/Q2447975,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q286583,outgoing,[]
1,http://www.wikidata.org/entity/Q686984,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q3482410,outgoing,[]
0,http://www.wikidata.org/entity/Q1348955,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q29,outgoing,[]
0,http://www.wikidata.org/entity/Q10360224,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q45,outgoing,[]
0,http://www.wikidata.org/entity/Q6936249,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q45,outgoing,[]
0,http://www.wikidata.org/entity/Q7359741,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q836,outgoing,[]
1,http://www.wikidata.org/entity/Q7359741,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q233838,outgoing,[]
0,http://www.wikidata.org/entity/Q760025,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q4628,outgoing,[]
1,http://www.wikidata.org/entity/Q760025,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q189361,outgoing,[]
0,http://www.wikidata.org/entity/Q10360241,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q45,outgoing,[]
0,http://www.wikidata.org/entity/Q10360229,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q45,outgoing,[]
0,http://www.wikidata.org/entity/Q11794884,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q2623848,outgoing,[]
1,http://www.wikidata.org/entity/Q11794884,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q36036,outgoing,[]
3,http://www.wikidata.org/entity/Q11794884,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q188055,outgoing,[]
0,http://www.wikidata.org/entity/Q10360221,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q45,outgoing,[]
0,http://www.wikidata.org/entity/Q23649280,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q8810,outgoing,[]
0,http://www.wikidata.org/entity/Q3458275,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q155,outgoing,[]
1,http://www.wikidata.org/entity/Q3458275,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q45,outgoing,[]
0,http://www.wikidata.org/entity/Q18482209,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q45,outgoing,[]
0,http://www.wikidata.org/entity/Q23661625,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q171150,outgoing,[]
