,subject,predicate,object,type_df,iteration
1,http://www.wikidata.org/entity/Q1773926,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8683,outgoing,1
0,http://www.wikidata.org/entity/Q13254610,http://www.wikidata.org/prop/direct/P301,http://www.wikidata.org/entity/Q1773926,outgoing,2
48,http://www.wikidata.org/entity/Q10292606,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,3
74,http://www.wikidata.org/entity/Q1072889,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,3
1544,http://www.wikidata.org/entity/Q16957618,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,3
1571,http://www.wikidata.org/entity/Q16984022,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,3
2097,http://www.wikidata.org/entity/Q1773926,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,3
2402,http://www.wikidata.org/entity/Q19870784,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,3
2403,http://www.wikidata.org/entity/Q19870788,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,3
2987,http://www.wikidata.org/entity/Q28925560,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,3
3312,http://www.wikidata.org/entity/Q3883973,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,3
3537,http://www.wikidata.org/entity/Q4570152,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,3
3538,http://www.wikidata.org/entity/Q4570559,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,3
3539,http://www.wikidata.org/entity/Q4570943,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,3
3540,http://www.wikidata.org/entity/Q4571313,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,3
3542,http://www.wikidata.org/entity/Q4571737,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,3
3948,http://www.wikidata.org/entity/Q4872660,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,3
4188,http://www.wikidata.org/entity/Q521199,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,3
4809,http://www.wikidata.org/entity/Q7359741,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,3
15,http://www.wikidata.org/entity/Q16674129,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q350604,ingoing,4
474,http://www.wikidata.org/entity/Q29942380,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q645883,ingoing,4
