,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q8690,http://www.wikidata.org/prop/direct/P1424,http://www.wikidata.org/entity/Q7743813,outgoing,[]
1,http://www.wikidata.org/entity/Q8690,http://www.wikidata.org/prop/direct/P1792,http://www.wikidata.org/entity/Q9657641,outgoing,[]
4,http://www.wikidata.org/entity/Q8690,http://www.wikidata.org/prop/direct/P972,http://www.wikidata.org/entity/Q5460604,outgoing,[]
0,http://www.wikidata.org/entity/Q15815670,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1190554,outgoing,[]
1,http://www.wikidata.org/entity/Q15815670,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q30277524,outgoing,[]
0,http://www.wikidata.org/entity/Q10931,http://www.wikidata.org/prop/direct/P1424,http://www.wikidata.org/entity/Q14337936,outgoing,[]
1,http://www.wikidata.org/entity/Q10931,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1510761,outgoing,[]
2,http://www.wikidata.org/entity/Q10931,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1673271,outgoing,[]
3,http://www.wikidata.org/entity/Q10931,http://www.wikidata.org/prop/direct/P461,http://www.wikidata.org/entity/Q755138,outgoing,[]
0,http://www.wikidata.org/entity/Q101534,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q34266,outgoing,[]
1,http://www.wikidata.org/entity/Q101534,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q34266,outgoing,[]
2,http://www.wikidata.org/entity/Q101534,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q656,outgoing,[]
3,http://www.wikidata.org/entity/Q101534,http://www.wikidata.org/prop/direct/P2959,http://www.wikidata.org/entity/Q25160961,outgoing,[]
5,http://www.wikidata.org/entity/Q101534,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q34266,outgoing,[]
7,http://www.wikidata.org/entity/Q101534,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q48211,outgoing,[]
1,http://www.wikidata.org/entity/Q190517,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q20892054,outgoing,[]
0,http://www.wikidata.org/entity/Q1341539,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q1415128,outgoing,[]
2,http://www.wikidata.org/entity/Q1341539,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8683,outgoing,[]
0,http://www.wikidata.org/entity/Q3699,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q151624,outgoing,[]
0,http://www.wikidata.org/entity/Q1331281,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q45,outgoing,[]
0,http://www.wikidata.org/entity/Q170306,http://www.wikidata.org/prop/direct/P1478,http://www.wikidata.org/entity/Q702250,outgoing,[]
1,http://www.wikidata.org/entity/Q170306,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q43287,outgoing,[]
3,http://www.wikidata.org/entity/Q170306,http://www.wikidata.org/prop/direct/P828,http://www.wikidata.org/entity/Q1430255,outgoing,[]
0,http://www.wikidata.org/entity/Q204213,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q218,outgoing,[]
0,http://www.wikidata.org/entity/Q1822923,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q45,outgoing,[]
1,http://www.wikidata.org/entity/Q1822923,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q36433,outgoing,[]
0,http://www.wikidata.org/entity/Q17015429,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q32,outgoing,[]
0,http://www.wikidata.org/entity/Q2584397,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q41,outgoing,[]
2,http://www.wikidata.org/entity/Q2584397,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q45382,outgoing,[]
0,http://www.wikidata.org/entity/Q5666722,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q47064,outgoing,[]
2,http://www.wikidata.org/entity/Q5666722,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q1321,outgoing,[]
3,http://www.wikidata.org/entity/Q5666722,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q173270,outgoing,[]
4,http://www.wikidata.org/entity/Q5666722,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097,outgoing,[]
5,http://www.wikidata.org/entity/Q5666722,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q96,outgoing,[]
6,http://www.wikidata.org/entity/Q5666722,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,outgoing,[]
7,http://www.wikidata.org/entity/Q5666722,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q18180808,outgoing,[]
0,http://www.wikidata.org/entity/Q5707467,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q47064,outgoing,[]
2,http://www.wikidata.org/entity/Q5707467,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q1321,outgoing,[]
3,http://www.wikidata.org/entity/Q5707467,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097,outgoing,[]
4,http://www.wikidata.org/entity/Q5707467,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q96,outgoing,[]
5,http://www.wikidata.org/entity/Q5707467,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,outgoing,[]
6,http://www.wikidata.org/entity/Q5707467,http://www.wikidata.org/prop/direct/P734,http://www.wikidata.org/entity/Q1654058,outgoing,[]
7,http://www.wikidata.org/entity/Q5707467,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q18075656,outgoing,[]
0,http://www.wikidata.org/entity/Q5923921,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q47064,outgoing,[]
2,http://www.wikidata.org/entity/Q5923921,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q1321,outgoing,[]
3,http://www.wikidata.org/entity/Q5923921,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097,outgoing,[]
4,http://www.wikidata.org/entity/Q5923921,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q96,outgoing,[]
5,http://www.wikidata.org/entity/Q5923921,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,outgoing,[]
6,http://www.wikidata.org/entity/Q5923921,http://www.wikidata.org/prop/direct/P410,http://www.wikidata.org/entity/Q152956,outgoing,[]
7,http://www.wikidata.org/entity/Q5923921,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q19803507,outgoing,[]
8,http://www.wikidata.org/entity/Q5923921,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q9361602,outgoing,[]
9,http://www.wikidata.org/entity/Q5923921,http://www.wikidata.org/prop/direct/P945,http://www.wikidata.org/entity/Q1929386,outgoing,[]
0,http://www.wikidata.org/entity/Q5952428,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q47064,outgoing,[]
2,http://www.wikidata.org/entity/Q5952428,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q1321,outgoing,[]
3,http://www.wikidata.org/entity/Q5952428,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097,outgoing,[]
4,http://www.wikidata.org/entity/Q5952428,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q96,outgoing,[]
5,http://www.wikidata.org/entity/Q5952428,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,outgoing,[]
6,http://www.wikidata.org/entity/Q5952428,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q475210,outgoing,[]
0,http://www.wikidata.org/entity/Q5799566,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q47064,outgoing,[]
2,http://www.wikidata.org/entity/Q5799566,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q1321,outgoing,[]
3,http://www.wikidata.org/entity/Q5799566,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097,outgoing,[]
4,http://www.wikidata.org/entity/Q5799566,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q96,outgoing,[]
5,http://www.wikidata.org/entity/Q5799566,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,outgoing,[]
6,http://www.wikidata.org/entity/Q5799566,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q18147694,outgoing,[]
0,http://www.wikidata.org/entity/Q10982738,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q47064,outgoing,[]
2,http://www.wikidata.org/entity/Q10982738,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q1321,outgoing,[]
3,http://www.wikidata.org/entity/Q10982738,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q46422,outgoing,[]
4,http://www.wikidata.org/entity/Q10982738,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097,outgoing,[]
5,http://www.wikidata.org/entity/Q10982738,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q96,outgoing,[]
6,http://www.wikidata.org/entity/Q10982738,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,outgoing,[]
7,http://www.wikidata.org/entity/Q10982738,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q475210,outgoing,[]
0,http://www.wikidata.org/entity/Q5939205,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q47064,outgoing,[]
2,http://www.wikidata.org/entity/Q5939205,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q1321,outgoing,[]
