,subject,predicate,object,type_df,iteration
27,http://www.wikidata.org/entity/Q170306,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q10931,ingoing,2
4,http://www.wikidata.org/entity/Q21003542,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q1332160,ingoing,3
2,http://www.wikidata.org/entity/Q1341539,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8683,outgoing,3
2,http://www.wikidata.org/entity/Q702250,http://www.wikidata.org/prop/direct/P1536,http://www.wikidata.org/entity/Q170306,ingoing,3
0,http://www.wikidata.org/entity/Q170306,http://www.wikidata.org/prop/direct/P1478,http://www.wikidata.org/entity/Q702250,outgoing,3
30,http://www.wikidata.org/entity/Q30279440,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q214426,ingoing,3
0,http://www.wikidata.org/entity/Q8549527,http://www.wikidata.org/prop/direct/P301,http://www.wikidata.org/entity/Q700754,outgoing,8
12,http://www.wikidata.org/entity/Q1794936,http://www.wikidata.org/prop/direct/P1001,http://www.wikidata.org/entity/Q1194,ingoing,9
16,http://www.wikidata.org/entity/Q1804188,http://www.wikidata.org/prop/direct/P1001,http://www.wikidata.org/entity/Q1194,ingoing,9
17,http://www.wikidata.org/entity/Q1804190,http://www.wikidata.org/prop/direct/P1001,http://www.wikidata.org/entity/Q1194,ingoing,9
793,http://www.wikidata.org/entity/Q453601,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1194,ingoing,9
946,http://www.wikidata.org/entity/Q713750,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q1194,ingoing,9
5,http://www.wikidata.org/entity/Q1194,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q713750,outgoing,9
330,http://www.wikidata.org/entity/Q34438,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1206,ingoing,9
443,http://www.wikidata.org/entity/Q27916627,http://www.wikidata.org/prop/direct/P156,http://www.wikidata.org/entity/Q1206,ingoing,9
453,http://www.wikidata.org/entity/Q205940,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q1206,ingoing,9
22,http://www.wikidata.org/entity/Q1206,http://www.wikidata.org/prop/direct/P155,http://www.wikidata.org/entity/Q27916627,outgoing,9
4,http://www.wikidata.org/entity/Q1373714,http://www.wikidata.org/prop/direct/P1001,http://www.wikidata.org/entity/Q1197,ingoing,9
5,http://www.wikidata.org/entity/Q1390388,http://www.wikidata.org/prop/direct/P1001,http://www.wikidata.org/entity/Q1197,ingoing,9
9,http://www.wikidata.org/entity/Q1493686,http://www.wikidata.org/prop/direct/P1001,http://www.wikidata.org/entity/Q1197,ingoing,9
12,http://www.wikidata.org/entity/Q1518437,http://www.wikidata.org/prop/direct/P1001,http://www.wikidata.org/entity/Q1197,ingoing,9
30,http://www.wikidata.org/entity/Q1988557,http://www.wikidata.org/prop/direct/P1001,http://www.wikidata.org/entity/Q1197,ingoing,9
1556,http://www.wikidata.org/entity/Q25932128,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1197,ingoing,9
1715,http://www.wikidata.org/entity/Q34438,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1197,ingoing,9
2557,http://www.wikidata.org/entity/Q713750,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q1197,ingoing,9
2601,http://www.wikidata.org/entity/Q27916627,http://www.wikidata.org/prop/direct/P47,http://www.wikidata.org/entity/Q1197,ingoing,9
6,http://www.wikidata.org/entity/Q1021438,http://www.wikidata.org/prop/direct/P1001,http://www.wikidata.org/entity/Q1055,ingoing,9
7,http://www.wikidata.org/entity/Q1021440,http://www.wikidata.org/prop/direct/P1001,http://www.wikidata.org/entity/Q1055,ingoing,9
8,http://www.wikidata.org/entity/Q1021441,http://www.wikidata.org/prop/direct/P1001,http://www.wikidata.org/entity/Q1055,ingoing,9
1171,http://www.wikidata.org/entity/Q1624812,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1055,ingoing,9
1311,http://www.wikidata.org/entity/Q19906297,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1055,ingoing,9
1427,http://www.wikidata.org/entity/Q24579064,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1055,ingoing,9
1878,http://www.wikidata.org/entity/Q6663,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q1055,ingoing,9
1911,http://www.wikidata.org/entity/Q713750,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q1055,ingoing,9
2653,http://www.wikidata.org/entity/Q561919,http://www.wikidata.org/prop/direct/P159,http://www.wikidata.org/entity/Q1055,ingoing,9
13075,http://www.wikidata.org/entity/Q16971684,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q1055,ingoing,9
13076,http://www.wikidata.org/entity/Q16971713,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q1055,ingoing,9
13077,http://www.wikidata.org/entity/Q16971758,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q1055,ingoing,9
13078,http://www.wikidata.org/entity/Q17042965,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q1055,ingoing,9
13094,http://www.wikidata.org/entity/Q24579064,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q1055,ingoing,9
13116,http://www.wikidata.org/entity/Q3601751,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q1055,ingoing,9
13117,http://www.wikidata.org/entity/Q3601752,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q1055,ingoing,9
13118,http://www.wikidata.org/entity/Q3601753,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q1055,ingoing,9
13119,http://www.wikidata.org/entity/Q3601756,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q1055,ingoing,9
13120,http://www.wikidata.org/entity/Q3601758,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q1055,ingoing,9
286,http://www.wikidata.org/entity/Q169588,http://www.wikidata.org/prop/direct/P159,http://www.wikidata.org/entity/Q24879,ingoing,9
441,http://www.wikidata.org/entity/Q907318,http://www.wikidata.org/prop/direct/P159,http://www.wikidata.org/entity/Q24879,ingoing,9
0,http://www.wikidata.org/entity/Q1021441,http://www.wikidata.org/prop/direct/P155,http://www.wikidata.org/entity/Q1021438,ingoing,10
2,http://www.wikidata.org/entity/Q1021438,http://www.wikidata.org/prop/direct/P156,http://www.wikidata.org/entity/Q1021441,outgoing,10
0,http://www.wikidata.org/entity/Q1021440,http://www.wikidata.org/prop/direct/P155,http://www.wikidata.org/entity/Q1021441,ingoing,10
1,http://www.wikidata.org/entity/Q1021438,http://www.wikidata.org/prop/direct/P156,http://www.wikidata.org/entity/Q1021441,ingoing,10
1,http://www.wikidata.org/entity/Q1021441,http://www.wikidata.org/prop/direct/P155,http://www.wikidata.org/entity/Q1021438,outgoing,10
2,http://www.wikidata.org/entity/Q1021441,http://www.wikidata.org/prop/direct/P156,http://www.wikidata.org/entity/Q1021440,outgoing,10
1,http://www.wikidata.org/entity/Q1021441,http://www.wikidata.org/prop/direct/P156,http://www.wikidata.org/entity/Q1021440,ingoing,10
1,http://www.wikidata.org/entity/Q1021440,http://www.wikidata.org/prop/direct/P155,http://www.wikidata.org/entity/Q1021441,outgoing,10
