,subject,predicate,object,type_df,superclass
2,http://www.wikidata.org/entity/Q6534,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q10931,outgoing,[]
3,http://www.wikidata.org/entity/Q6534,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15815670,outgoing,[]
4,http://www.wikidata.org/entity/Q6534,http://www.wikidata.org/prop/direct/P793,http://www.wikidata.org/entity/Q248033,outgoing,[]
5,http://www.wikidata.org/entity/Q6534,http://www.wikidata.org/prop/direct/P793,http://www.wikidata.org/entity/Q2998928,outgoing,[]
6,http://www.wikidata.org/entity/Q6534,http://www.wikidata.org/prop/direct/P793,http://www.wikidata.org/entity/Q3062714,outgoing,[]
7,http://www.wikidata.org/entity/Q6534,http://www.wikidata.org/prop/direct/P793,http://www.wikidata.org/entity/Q474757,outgoing,[]
10,http://www.wikidata.org/entity/Q6534,http://www.wikidata.org/prop/direct/P972,http://www.wikidata.org/entity/Q5460604,outgoing,[]
1,http://www.wikidata.org/entity/Q1154330,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q234364,outgoing,[]
2,http://www.wikidata.org/entity/Q1154330,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q90,outgoing,[]
3,http://www.wikidata.org/entity/Q1154330,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q124757,outgoing,[]
1,http://www.wikidata.org/entity/Q6539,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q90,outgoing,[]
2,http://www.wikidata.org/entity/Q6539,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q124757,outgoing,[]
4,http://www.wikidata.org/entity/Q6539,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q1059047,outgoing,[]
5,http://www.wikidata.org/entity/Q6539,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q1079501,outgoing,[]
6,http://www.wikidata.org/entity/Q6539,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q507083,outgoing,[]
7,http://www.wikidata.org/entity/Q6539,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q70972,outgoing,[]
8,http://www.wikidata.org/entity/Q6539,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q822225,outgoing,[]
0,http://www.wikidata.org/entity/Q862586,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q750215,outgoing,[]
0,http://www.wikidata.org/entity/Q162463,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q40898,outgoing,[]
1,http://www.wikidata.org/entity/Q162463,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q511866,outgoing,[]
0,http://www.wikidata.org/entity/Q2622002,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15815670,outgoing,[]
0,http://www.wikidata.org/entity/Q2264242,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1190554,outgoing,[]
1,http://www.wikidata.org/entity/Q2264242,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1572600,outgoing,[]
1,http://www.wikidata.org/entity/Q720498,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q45382,outgoing,[]
0,http://www.wikidata.org/entity/Q3062411,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q790,outgoing,[]
1,http://www.wikidata.org/entity/Q3062411,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q861551,outgoing,[]
2,http://www.wikidata.org/entity/Q3062411,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,outgoing,[]
3,http://www.wikidata.org/entity/Q3062411,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2401485,outgoing,[]
5,http://www.wikidata.org/entity/Q3062411,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q689128,outgoing,[]
0,http://www.wikidata.org/entity/Q193547,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q7163,outgoing,[]
0,http://www.wikidata.org/entity/Q17583687,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q2087515,outgoing,[]
1,http://www.wikidata.org/entity/Q17583687,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q121842,outgoing,[]
2,http://www.wikidata.org/entity/Q17583687,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q128783,outgoing,[]
3,http://www.wikidata.org/entity/Q17583687,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q130768,outgoing,[]
4,http://www.wikidata.org/entity/Q17583687,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q189290,outgoing,[]
5,http://www.wikidata.org/entity/Q17583687,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q4991371,outgoing,[]
6,http://www.wikidata.org/entity/Q17583687,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q506894,outgoing,[]
9,http://www.wikidata.org/entity/Q17583687,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q296955,outgoing,[]
10,http://www.wikidata.org/entity/Q17583687,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q4259259,outgoing,[]
11,http://www.wikidata.org/entity/Q17583687,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q2711480,outgoing,[]
12,http://www.wikidata.org/entity/Q17583687,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q2711480,outgoing,[]
13,http://www.wikidata.org/entity/Q17583687,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3305213,outgoing,[]
0,http://www.wikidata.org/entity/Q1706363,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q4914883,outgoing,[]
1,http://www.wikidata.org/entity/Q1706363,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q1151917,outgoing,[]
3,http://www.wikidata.org/entity/Q1706363,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q1416414,outgoing,[]
4,http://www.wikidata.org/entity/Q1706363,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q3062714,outgoing,[]
5,http://www.wikidata.org/entity/Q1706363,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q32090,outgoing,[]
9,http://www.wikidata.org/entity/Q1706363,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q841236,outgoing,[]
10,http://www.wikidata.org/entity/Q1706363,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q8445,outgoing,[]
11,http://www.wikidata.org/entity/Q1706363,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q8454,outgoing,[]
13,http://www.wikidata.org/entity/Q1706363,http://www.wikidata.org/prop/direct/P2408,http://www.wikidata.org/entity/Q199912,outgoing,[]
16,http://www.wikidata.org/entity/Q1706363,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q7725634,outgoing,[]
19,http://www.wikidata.org/entity/Q1706363,http://www.wikidata.org/prop/direct/P674,http://www.wikidata.org/entity/Q230677,outgoing,[]
20,http://www.wikidata.org/entity/Q1706363,http://www.wikidata.org/prop/direct/P674,http://www.wikidata.org/entity/Q271278,outgoing,[]
21,http://www.wikidata.org/entity/Q1706363,http://www.wikidata.org/prop/direct/P674,http://www.wikidata.org/entity/Q363636,outgoing,[]
22,http://www.wikidata.org/entity/Q1706363,http://www.wikidata.org/prop/direct/P674,http://www.wikidata.org/entity/Q455071,outgoing,[]
23,http://www.wikidata.org/entity/Q1706363,http://www.wikidata.org/prop/direct/P674,http://www.wikidata.org/entity/Q47365,outgoing,[]
24,http://www.wikidata.org/entity/Q1706363,http://www.wikidata.org/prop/direct/P674,http://www.wikidata.org/entity/Q7732,outgoing,[]
0,http://www.wikidata.org/entity/Q29643930,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q1644600,outgoing,[]
1,http://www.wikidata.org/entity/Q29643930,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q107425,outgoing,[]
2,http://www.wikidata.org/entity/Q29643930,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q132821,outgoing,[]
3,http://www.wikidata.org/entity/Q29643930,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q4421,outgoing,[]
5,http://www.wikidata.org/entity/Q29643930,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q6874,outgoing,[]
6,http://www.wikidata.org/entity/Q29643930,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q296955,outgoing,[]
7,http://www.wikidata.org/entity/Q29643930,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q4259259,outgoing,[]
8,http://www.wikidata.org/entity/Q29643930,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q3044768,outgoing,[]
9,http://www.wikidata.org/entity/Q29643930,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q1075988,outgoing,[]
10,http://www.wikidata.org/entity/Q29643930,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3305213,outgoing,[]
0,http://www.wikidata.org/entity/Q26709850,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q2839016,outgoing,[]
1,http://www.wikidata.org/entity/Q26709850,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q433434,outgoing,[]
32,http://www.wikidata.org/entity/Q26709850,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q296955,outgoing,[]
33,http://www.wikidata.org/entity/Q26709850,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q4259259,outgoing,[]
34,http://www.wikidata.org/entity/Q26709850,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q684846,outgoing,[]
35,http://www.wikidata.org/entity/Q26709850,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q684846,outgoing,[]
36,http://www.wikidata.org/entity/Q26709850,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3305213,outgoing,[]
38,http://www.wikidata.org/entity/Q26709850,http://www.wikidata.org/prop/direct/P88,http://www.wikidata.org/entity/Q517,outgoing,[]
0,http://www.wikidata.org/entity/Q19606306,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q742333,outgoing,[]
1,http://www.wikidata.org/entity/Q19606306,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q548205,outgoing,[]
2,http://www.wikidata.org/entity/Q19606306,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q130768,outgoing,[]
3,http://www.wikidata.org/entity/Q19606306,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q1865480,outgoing,[]
4,http://www.wikidata.org/entity/Q19606306,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q331483,outgoing,[]
5,http://www.wikidata.org/entity/Q19606306,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q40357,outgoing,[]
