,subject,predicate,object,type_df,iteration
20,http://www.wikidata.org/entity/Q1154330,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q6534,ingoing,1
21,http://www.wikidata.org/entity/Q1192894,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q6534,ingoing,1
22,http://www.wikidata.org/entity/Q162463,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q6534,ingoing,1
23,http://www.wikidata.org/entity/Q193547,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q6534,ingoing,1
24,http://www.wikidata.org/entity/Q2264242,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q6534,ingoing,1
25,http://www.wikidata.org/entity/Q2622002,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q6534,ingoing,1
28,http://www.wikidata.org/entity/Q6539,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q6534,ingoing,1
29,http://www.wikidata.org/entity/Q720498,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q6534,ingoing,1
30,http://www.wikidata.org/entity/Q862586,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q6534,ingoing,1
4,http://www.wikidata.org/entity/Q6534,http://www.wikidata.org/prop/direct/P793,http://www.wikidata.org/entity/Q248033,outgoing,1
5,http://www.wikidata.org/entity/Q6534,http://www.wikidata.org/prop/direct/P793,http://www.wikidata.org/entity/Q2998928,outgoing,1
6,http://www.wikidata.org/entity/Q6534,http://www.wikidata.org/prop/direct/P793,http://www.wikidata.org/entity/Q3062714,outgoing,1
8,http://www.wikidata.org/entity/Q6534,http://www.wikidata.org/prop/direct/P793,http://www.wikidata.org/entity/Q6539,outgoing,1
9,http://www.wikidata.org/entity/Q6534,http://www.wikidata.org/prop/direct/P793,http://www.wikidata.org/entity/Q862586,outgoing,1
0,http://www.wikidata.org/entity/Q1192894,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q6534,outgoing,2
1,http://www.wikidata.org/entity/Q1154330,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q234364,outgoing,2
4,http://www.wikidata.org/entity/Q1154330,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q6534,outgoing,2
4,http://www.wikidata.org/entity/Q6534,http://www.wikidata.org/prop/direct/P793,http://www.wikidata.org/entity/Q6539,ingoing,2
3,http://www.wikidata.org/entity/Q6539,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q6534,outgoing,2
2,http://www.wikidata.org/entity/Q6534,http://www.wikidata.org/prop/direct/P793,http://www.wikidata.org/entity/Q862586,ingoing,2
1,http://www.wikidata.org/entity/Q862586,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q6534,outgoing,2
2,http://www.wikidata.org/entity/Q162463,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q6534,outgoing,2
1,http://www.wikidata.org/entity/Q2622002,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q6534,outgoing,2
2,http://www.wikidata.org/entity/Q2264242,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q6534,outgoing,2
2,http://www.wikidata.org/entity/Q720498,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q6534,outgoing,2
4,http://www.wikidata.org/entity/Q3062411,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q6534,outgoing,2
5,http://www.wikidata.org/entity/Q3062411,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q689128,outgoing,2
0,http://www.wikidata.org/entity/Q5242918,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q6534,outgoing,2
1,http://www.wikidata.org/entity/Q193547,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q6534,outgoing,2
7,http://www.wikidata.org/entity/Q17583687,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q6534,outgoing,3
2,http://www.wikidata.org/entity/Q1706363,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q1192894,outgoing,3
4,http://www.wikidata.org/entity/Q1706363,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q3062714,outgoing,3
7,http://www.wikidata.org/entity/Q1706363,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q6534,outgoing,3
8,http://www.wikidata.org/entity/Q1706363,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q6539,outgoing,3
13,http://www.wikidata.org/entity/Q1706363,http://www.wikidata.org/prop/direct/P2408,http://www.wikidata.org/entity/Q199912,outgoing,3
4,http://www.wikidata.org/entity/Q29643930,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q6534,outgoing,3
27,http://www.wikidata.org/entity/Q26709850,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q6534,outgoing,3
6,http://www.wikidata.org/entity/Q19606306,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q6534,outgoing,3
14,http://www.wikidata.org/entity/Q21541747,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q6534,outgoing,3
511,http://www.wikidata.org/entity/Q5321271,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q34379,ingoing,4
4253,http://www.wikidata.org/entity/Q1195248,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q523,ingoing,4
11438,http://www.wikidata.org/entity/Q491497,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q523,ingoing,4
12110,http://www.wikidata.org/entity/Q5629290,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q523,ingoing,4
12671,http://www.wikidata.org/entity/Q74288,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q523,ingoing,4
12732,http://www.wikidata.org/entity/Q795778,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q523,ingoing,4
12735,http://www.wikidata.org/entity/Q796881,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q523,ingoing,4
12736,http://www.wikidata.org/entity/Q796883,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q523,ingoing,4
51,http://www.wikidata.org/entity/Q28405721,http://www.wikidata.org/prop/direct/P828,http://www.wikidata.org/entity/Q33741,ingoing,4
53,http://www.wikidata.org/entity/Q46495816,http://www.wikidata.org/prop/direct/P828,http://www.wikidata.org/entity/Q33741,ingoing,4
1,http://www.wikidata.org/entity/Q2984138,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q5113,outgoing,4
1020,http://www.wikidata.org/entity/Q1137,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q142,ingoing,4
1137,http://www.wikidata.org/entity/Q15695380,http://www.wikidata.org/prop/direct/P137,http://www.wikidata.org/entity/Q142,ingoing,4
1215,http://www.wikidata.org/entity/Q2841698,http://www.wikidata.org/prop/direct/P137,http://www.wikidata.org/entity/Q142,ingoing,4
4001,http://www.wikidata.org/entity/Q1028247,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q142,ingoing,4
4611,http://www.wikidata.org/entity/Q1060399,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q142,ingoing,4
5810,http://www.wikidata.org/entity/Q1073320,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q142,ingoing,4
6937,http://www.wikidata.org/entity/Q1089686,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q142,ingoing,4
8010,http://www.wikidata.org/entity/Q1103409,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q142,ingoing,4
8542,http://www.wikidata.org/entity/Q1108787,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q142,ingoing,4
8546,http://www.wikidata.org/entity/Q1108820,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q142,ingoing,4
8876,http://www.wikidata.org/entity/Q1114300,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q142,ingoing,4
8902,http://www.wikidata.org/entity/Q11155478,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q142,ingoing,4
9772,http://www.wikidata.org/entity/Q1133476,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q142,ingoing,4
9989,http://www.wikidata.org/entity/Q1137,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q142,ingoing,4
10331,http://www.wikidata.org/entity/Q1139982,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q142,ingoing,4
