,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q208958,http://www.wikidata.org/prop/direct/P1001,http://www.wikidata.org/entity/Q26,outgoing,[]
11,http://www.wikidata.org/entity/Q208958,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q625298,outgoing,[]
0,http://www.wikidata.org/entity/Q841045,http://www.wikidata.org/prop/direct/P1142,http://www.wikidata.org/entity/Q3401913,outgoing,[]
1,http://www.wikidata.org/entity/Q841045,http://www.wikidata.org/prop/direct/P159,http://www.wikidata.org/entity/Q10686,outgoing,[]
2,http://www.wikidata.org/entity/Q841045,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q7278,outgoing,[]
3,http://www.wikidata.org/entity/Q841045,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/entity/Q1577483,outgoing,[]
4,http://www.wikidata.org/entity/Q841045,http://www.wikidata.org/prop/direct/P488,http://www.wikidata.org/entity/Q336064,outgoing,[]
1,http://www.wikidata.org/entity/Q76382,http://www.wikidata.org/prop/direct/P1142,http://www.wikidata.org/entity/Q1202972,outgoing,[]
2,http://www.wikidata.org/entity/Q76382,http://www.wikidata.org/prop/direct/P1142,http://www.wikidata.org/entity/Q189280,outgoing,[]
3,http://www.wikidata.org/entity/Q76382,http://www.wikidata.org/prop/direct/P1142,http://www.wikidata.org/entity/Q223200,outgoing,[]
4,http://www.wikidata.org/entity/Q76382,http://www.wikidata.org/prop/direct/P1142,http://www.wikidata.org/entity/Q517372,outgoing,[]
5,http://www.wikidata.org/entity/Q76382,http://www.wikidata.org/prop/direct/P1142,http://www.wikidata.org/entity/Q877848,outgoing,[]
6,http://www.wikidata.org/entity/Q76382,http://www.wikidata.org/prop/direct/P159,http://www.wikidata.org/entity/Q1761,outgoing,[]
7,http://www.wikidata.org/entity/Q76382,http://www.wikidata.org/prop/direct/P159,http://www.wikidata.org/entity/Q3467626,outgoing,[]
8,http://www.wikidata.org/entity/Q76382,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q7278,outgoing,[]
9,http://www.wikidata.org/entity/Q76382,http://www.wikidata.org/prop/direct/P462,http://www.wikidata.org/entity/Q3133,outgoing,[]
10,http://www.wikidata.org/entity/Q76382,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/entity/Q753711,outgoing,[]
11,http://www.wikidata.org/entity/Q76382,http://www.wikidata.org/prop/direct/P488,http://www.wikidata.org/entity/Q76139,outgoing,[]
12,http://www.wikidata.org/entity/Q76382,http://www.wikidata.org/prop/direct/P740,http://www.wikidata.org/entity/Q1761,outgoing,[]
0,http://www.wikidata.org/entity/Q175443,http://www.wikidata.org/prop/direct/P112,http://www.wikidata.org/entity/Q333646,outgoing,[]
1,http://www.wikidata.org/entity/Q175443,http://www.wikidata.org/prop/direct/P1142,http://www.wikidata.org/entity/Q121254,outgoing,[]
2,http://www.wikidata.org/entity/Q175443,http://www.wikidata.org/prop/direct/P159,http://www.wikidata.org/entity/Q10686,outgoing,[]
3,http://www.wikidata.org/entity/Q175443,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q7278,outgoing,[]
4,http://www.wikidata.org/entity/Q175443,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/entity/Q220945,outgoing,[]
5,http://www.wikidata.org/entity/Q175443,http://www.wikidata.org/prop/direct/P488,http://www.wikidata.org/entity/Q6208911,outgoing,[]
0,http://www.wikidata.org/entity/Q145,http://www.wikidata.org/prop/direct/P1151,http://www.wikidata.org/entity/Q8253451,outgoing,[]
1,http://www.wikidata.org/entity/Q145,http://www.wikidata.org/prop/direct/P122,http://www.wikidata.org/entity/Q41614,outgoing,[]
2,http://www.wikidata.org/entity/Q145,http://www.wikidata.org/prop/direct/P1304,http://www.wikidata.org/entity/Q183231,outgoing,[]
3,http://www.wikidata.org/entity/Q145,http://www.wikidata.org/prop/direct/P1313,http://www.wikidata.org/entity/Q14211,outgoing,[]
4,http://www.wikidata.org/entity/Q145,http://www.wikidata.org/prop/direct/P1464,http://www.wikidata.org/entity/Q7463363,outgoing,[]
5,http://www.wikidata.org/entity/Q145,http://www.wikidata.org/prop/direct/P1465,http://www.wikidata.org/entity/Q6334588,outgoing,[]
6,http://www.wikidata.org/entity/Q145,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q21,outgoing,[]
7,http://www.wikidata.org/entity/Q145,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q22,outgoing,[]
8,http://www.wikidata.org/entity/Q145,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q25,outgoing,[]
9,http://www.wikidata.org/entity/Q145,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q26,outgoing,[]
10,http://www.wikidata.org/entity/Q145,http://www.wikidata.org/prop/direct/P155,http://www.wikidata.org/entity/Q174193,outgoing,[]
11,http://www.wikidata.org/entity/Q145,http://www.wikidata.org/prop/direct/P155,http://www.wikidata.org/entity/Q6083755,outgoing,[]
12,http://www.wikidata.org/entity/Q145,http://www.wikidata.org/prop/direct/P1552,http://www.wikidata.org/entity/Q3174312,outgoing,[]
13,http://www.wikidata.org/entity/Q145,http://www.wikidata.org/prop/direct/P1589,http://www.wikidata.org/entity/Q1404827,outgoing,[]
14,http://www.wikidata.org/entity/Q145,http://www.wikidata.org/prop/direct/P1622,http://www.wikidata.org/entity/Q13196750,outgoing,[]
15,http://www.wikidata.org/entity/Q145,http://www.wikidata.org/prop/direct/P163,http://www.wikidata.org/entity/Q83278,outgoing,[]
16,http://www.wikidata.org/entity/Q145,http://www.wikidata.org/prop/direct/P172,http://www.wikidata.org/entity/Q2580491,outgoing,[]
17,http://www.wikidata.org/entity/Q145,http://www.wikidata.org/prop/direct/P172,http://www.wikidata.org/entity/Q3244280,outgoing,[]
18,http://www.wikidata.org/entity/Q145,http://www.wikidata.org/prop/direct/P172,http://www.wikidata.org/entity/Q4115170,outgoing,[]
