,subject,predicate,object,type_df,iteration
64,http://www.wikidata.org/entity/Q208958,http://www.wikidata.org/prop/direct/P1891,http://www.wikidata.org/entity/Q841045,ingoing,2
103,http://www.wikidata.org/entity/Q208958,http://www.wikidata.org/prop/direct/P1891,http://www.wikidata.org/entity/Q76382,ingoing,2
41,http://www.wikidata.org/entity/Q208958,http://www.wikidata.org/prop/direct/P1891,http://www.wikidata.org/entity/Q175443,ingoing,2
260,http://www.wikidata.org/entity/Q910308,http://www.wikidata.org/prop/direct/P1001,http://www.wikidata.org/entity/Q145,ingoing,2
264,http://www.wikidata.org/entity/Q943379,http://www.wikidata.org/prop/direct/P1001,http://www.wikidata.org/entity/Q145,ingoing,2
348,http://www.wikidata.org/entity/Q25,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q145,ingoing,2
932,http://www.wikidata.org/entity/Q3040102,http://www.wikidata.org/prop/direct/P159,http://www.wikidata.org/entity/Q145,ingoing,2
1147,http://www.wikidata.org/entity/Q208958,http://www.wikidata.org/prop/direct/P1891,http://www.wikidata.org/entity/Q145,ingoing,2
122574,http://www.wikidata.org/entity/Q720787,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q145,ingoing,2
141869,http://www.wikidata.org/entity/Q190029,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q145,ingoing,2
143378,http://www.wikidata.org/entity/Q10245062,http://www.wikidata.org/prop/direct/P971,http://www.wikidata.org/entity/Q145,ingoing,2
8,http://www.wikidata.org/entity/Q145,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q25,outgoing,2
3,http://www.wikidata.org/entity/Q208958,http://www.wikidata.org/prop/direct/P1891,http://www.wikidata.org/entity/Q1817613,ingoing,2
2,http://www.wikidata.org/entity/Q208958,http://www.wikidata.org/prop/direct/P1891,http://www.wikidata.org/entity/Q7058538,ingoing,2
0,http://www.wikidata.org/entity/Q208958,http://www.wikidata.org/prop/direct/P1891,http://www.wikidata.org/entity/Q6467395,ingoing,2
2,http://www.wikidata.org/entity/Q208958,http://www.wikidata.org/prop/direct/P1891,http://www.wikidata.org/entity/Q1781051,ingoing,2
197,http://www.wikidata.org/entity/Q208958,http://www.wikidata.org/prop/direct/P1891,http://www.wikidata.org/entity/Q27,ingoing,2
12461,http://www.wikidata.org/entity/Q2575053,http://www.wikidata.org/prop/direct/P840,http://www.wikidata.org/entity/Q27,ingoing,2
12,http://www.wikidata.org/entity/Q208958,http://www.wikidata.org/prop/direct/P1891,http://www.wikidata.org/entity/Q244927,ingoing,2
18,http://www.wikidata.org/entity/Q27676214,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q190782,ingoing,3
13,http://www.wikidata.org/entity/Q190782,http://www.wikidata.org/prop/direct/P1344,http://www.wikidata.org/entity/Q2070890,outgoing,3
7,http://www.wikidata.org/entity/Q16106933,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q25,outgoing,3
8,http://www.wikidata.org/entity/Q2346871,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q25,outgoing,3
27,http://www.wikidata.org/entity/Q7823414,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q25,outgoing,3
3,http://www.wikidata.org/entity/Q716633,http://www.wikidata.org/prop/direct/P1344,http://www.wikidata.org/entity/Q9664,outgoing,3
6,http://www.wikidata.org/entity/Q29530855,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q25,outgoing,3
8,http://www.wikidata.org/entity/Q310450,http://www.wikidata.org/prop/direct/P1344,http://www.wikidata.org/entity/Q2070890,outgoing,3
4,http://www.wikidata.org/entity/Q234576,http://www.wikidata.org/prop/direct/P1344,http://www.wikidata.org/entity/Q101730,outgoing,3
8,http://www.wikidata.org/entity/Q16199209,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q25,outgoing,3
8,http://www.wikidata.org/entity/Q2849387,http://www.wikidata.org/prop/direct/P1532,http://www.wikidata.org/entity/Q25,outgoing,3
6,http://www.wikidata.org/entity/Q19873847,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q25,outgoing,3
4,http://www.wikidata.org/entity/Q1801939,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q25,outgoing,3
7,http://www.wikidata.org/entity/Q1801939,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q25,outgoing,3
7,http://www.wikidata.org/entity/Q21857916,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q25,outgoing,3
7,http://www.wikidata.org/entity/Q24055567,http://www.wikidata.org/prop/direct/P1532,http://www.wikidata.org/entity/Q25,outgoing,3
6,http://www.wikidata.org/entity/Q15285212,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q25,outgoing,3
