,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q3182723,http://www.wikidata.org/prop/direct/P1427,http://www.wikidata.org/entity/Q1794,outgoing,[]
1,http://www.wikidata.org/entity/Q3182723,http://www.wikidata.org/prop/direct/P1444,http://www.wikidata.org/entity/Q6981695,outgoing,[]
2,http://www.wikidata.org/entity/Q3182723,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,outgoing,[]
3,http://www.wikidata.org/entity/Q3182723,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q6981695,outgoing,[]
0,http://www.wikidata.org/entity/Q744913,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P1120,outgoing,[]
1,http://www.wikidata.org/entity/Q744913,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P121,outgoing,[]
2,http://www.wikidata.org/entity/Q744913,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P1339,outgoing,[]
3,http://www.wikidata.org/entity/Q744913,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P137,outgoing,[]
4,http://www.wikidata.org/entity/Q744913,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P1427,outgoing,[]
5,http://www.wikidata.org/entity/Q744913,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P1444,outgoing,[]
6,http://www.wikidata.org/entity/Q744913,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P1561,outgoing,[]
7,http://www.wikidata.org/entity/Q744913,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P276,outgoing,[]
8,http://www.wikidata.org/entity/Q744913,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P3090,outgoing,[]
9,http://www.wikidata.org/entity/Q744913,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P426,outgoing,[]
10,http://www.wikidata.org/entity/Q744913,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P585,outgoing,[]
11,http://www.wikidata.org/entity/Q744913,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q11822042,outgoing,[]
12,http://www.wikidata.org/entity/Q744913,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q15733640,outgoing,[]
0,http://www.wikidata.org/entity/Q3839081,http://www.wikidata.org/prop/direct/P1151,http://www.wikidata.org/entity/Q14614967,outgoing,[]
1,http://www.wikidata.org/entity/Q3839081,http://www.wikidata.org/prop/direct/P1424,http://www.wikidata.org/entity/Q10809553,outgoing,[]
2,http://www.wikidata.org/entity/Q3839081,http://www.wikidata.org/prop/direct/P1479,http://www.wikidata.org/entity/Q168983,outgoing,[]
3,http://www.wikidata.org/entity/Q3839081,http://www.wikidata.org/prop/direct/P1479,http://www.wikidata.org/entity/Q7944,outgoing,[]
4,http://www.wikidata.org/entity/Q3839081,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P1120,outgoing,[]
5,http://www.wikidata.org/entity/Q3839081,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P1339,outgoing,[]
6,http://www.wikidata.org/entity/Q3839081,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P1446,outgoing,[]
7,http://www.wikidata.org/entity/Q3839081,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P1478,outgoing,[]
8,http://www.wikidata.org/entity/Q3839081,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P1479,outgoing,[]
9,http://www.wikidata.org/entity/Q3839081,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P1561,outgoing,[]
10,http://www.wikidata.org/entity/Q3839081,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P1590,outgoing,[]
11,http://www.wikidata.org/entity/Q3839081,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P2630,outgoing,[]
12,http://www.wikidata.org/entity/Q3839081,http://www.wikidata.org/prop/direct/P1963,http://www.wikidata.org/entity/P3082,outgoing,[]
13,http://www.wikidata.org/entity/Q3839081,http://www.wikidata.org/prop/direct/P2579,http://www.wikidata.org/entity/Q1345659,outgoing,[]
14,http://www.wikidata.org/entity/Q3839081,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1132455,outgoing,[]
15,http://www.wikidata.org/entity/Q3839081,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1190554,outgoing,[]
16,http://www.wikidata.org/entity/Q3839081,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q813912,outgoing,[]
0,http://www.wikidata.org/entity/Q20172053,http://www.wikidata.org/prop/direct/P1196,http://www.wikidata.org/entity/Q171558,outgoing,[]
1,http://www.wikidata.org/entity/Q20172053,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/entity/Q127530,outgoing,[]
2,http://www.wikidata.org/entity/Q20172053,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581072,outgoing,[]
4,http://www.wikidata.org/entity/Q20172053,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/entity/Q20171337,outgoing,[]
5,http://www.wikidata.org/entity/Q20172053,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q142,outgoing,[]
6,http://www.wikidata.org/entity/Q20172053,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,outgoing,[]
