,subject,predicate,object,type_df,iteration
704,http://www.wikidata.org/entity/Q19574742,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q744913,ingoing,2
1049,http://www.wikidata.org/entity/Q3182723,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q744913,ingoing,2
1156,http://www.wikidata.org/entity/Q40794780,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q744913,ingoing,2
1219,http://www.wikidata.org/entity/Q448597,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q744913,ingoing,2
1934,http://www.wikidata.org/entity/Q7987443,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q744913,ingoing,2
59,http://www.wikidata.org/entity/Q3182723,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3839081,ingoing,2
11,http://www.wikidata.org/entity/Q470325,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q2329480,outgoing,5
5,http://www.wikidata.org/entity/Q2329480,http://www.wikidata.org/prop/direct/P156,http://www.wikidata.org/entity/Q758861,ingoing,8
0,http://www.wikidata.org/entity/Q758861,http://www.wikidata.org/prop/direct/P155,http://www.wikidata.org/entity/Q2329480,outgoing,8
23,http://www.wikidata.org/entity/Q48067,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q2329480,outgoing,9
14,http://www.wikidata.org/entity/Q2997945,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q2329480,outgoing,10
13,http://www.wikidata.org/entity/Q4422988,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q2329480,outgoing,10
30,http://www.wikidata.org/entity/Q167573,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q2329480,outgoing,10
15,http://www.wikidata.org/entity/Q487983,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q2329480,outgoing,10
13,http://www.wikidata.org/entity/Q4519057,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q2329480,outgoing,10
8,http://www.wikidata.org/entity/Q4083426,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q2329480,outgoing,10
35,http://www.wikidata.org/entity/Q472018,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q312483,ingoing,10
