,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q8702073,http://www.wikidata.org/prop/direct/P301,http://www.wikidata.org/entity/Q27851,ingoing,[]
0,http://www.wikidata.org/entity/Q19682794,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q1726,ingoing,[]
1,http://www.wikidata.org/entity/Q1958954,http://www.wikidata.org/prop/direct/P1001,http://www.wikidata.org/entity/Q1726,ingoing,[]
2,http://www.wikidata.org/entity/Q1374911,http://www.wikidata.org/prop/direct/P1027,http://www.wikidata.org/entity/Q1726,ingoing,[]
3,http://www.wikidata.org/entity/Q1432320,http://www.wikidata.org/prop/direct/P1027,http://www.wikidata.org/entity/Q1726,ingoing,[]
4,http://www.wikidata.org/entity/Q18668464,http://www.wikidata.org/prop/direct/P1071,http://www.wikidata.org/entity/Q1726,ingoing,[]
5,http://www.wikidata.org/entity/Q2267770,http://www.wikidata.org/prop/direct/P1071,http://www.wikidata.org/entity/Q1726,ingoing,[]
6,http://www.wikidata.org/entity/Q293803,http://www.wikidata.org/prop/direct/P1071,http://www.wikidata.org/entity/Q1726,ingoing,[]
7,http://www.wikidata.org/entity/Q13859958,http://www.wikidata.org/prop/direct/P119,http://www.wikidata.org/entity/Q1726,ingoing,[]
8,http://www.wikidata.org/entity/Q13882674,http://www.wikidata.org/prop/direct/P119,http://www.wikidata.org/entity/Q1726,ingoing,[]
9,http://www.wikidata.org/entity/Q13882885,http://www.wikidata.org/prop/direct/P119,http://www.wikidata.org/entity/Q1726,ingoing,[]
10,http://www.wikidata.org/entity/Q14128716,http://www.wikidata.org/prop/direct/P119,http://www.wikidata.org/entity/Q1726,ingoing,[]
11,http://www.wikidata.org/entity/Q14128988,http://www.wikidata.org/prop/direct/P119,http://www.wikidata.org/entity/Q1726,ingoing,[]
13,http://www.wikidata.org/entity/Q23930500,http://www.wikidata.org/prop/direct/P119,http://www.wikidata.org/entity/Q1726,ingoing,[]
16,http://www.wikidata.org/entity/Q6001165,http://www.wikidata.org/prop/direct/P119,http://www.wikidata.org/entity/Q1726,ingoing,[]
17,http://www.wikidata.org/entity/Q84942,http://www.wikidata.org/prop/direct/P119,http://www.wikidata.org/entity/Q1726,ingoing,[]
18,http://www.wikidata.org/entity/Q11028213,http://www.wikidata.org/prop/direct/P1204,http://www.wikidata.org/entity/Q1726,ingoing,[]
19,http://www.wikidata.org/entity/Q2365608,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q1726,ingoing,[]
20,http://www.wikidata.org/entity/Q882871,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q1726,ingoing,[]
21,http://www.wikidata.org/entity/Q1000699,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,[]
22,http://www.wikidata.org/entity/Q1005004,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,[]
23,http://www.wikidata.org/entity/Q1005110,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,[]
24,http://www.wikidata.org/entity/Q1005236,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,[]
25,http://www.wikidata.org/entity/Q1005302,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,[]
26,http://www.wikidata.org/entity/Q1005790,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,[]
27,http://www.wikidata.org/entity/Q1005904,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,[]
29,http://www.wikidata.org/entity/Q1006476,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,[]
30,http://www.wikidata.org/entity/Q1008434,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,[]
31,http://www.wikidata.org/entity/Q1008439,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,[]
32,http://www.wikidata.org/entity/Q1008442,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,[]
33,http://www.wikidata.org/entity/Q1008446,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,[]
34,http://www.wikidata.org/entity/Q1008825,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,[]
35,http://www.wikidata.org/entity/Q1008933,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,[]
36,http://www.wikidata.org/entity/Q1008962,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,[]
37,http://www.wikidata.org/entity/Q1009102,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,[]
38,http://www.wikidata.org/entity/Q1009740,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,[]
39,http://www.wikidata.org/entity/Q1009914,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,[]
40,http://www.wikidata.org/entity/Q1015684,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,[]
41,http://www.wikidata.org/entity/Q1016998,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,[]
42,http://www.wikidata.org/entity/Q1019717,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,[]
43,http://www.wikidata.org/entity/Q1019980,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,[]
44,http://www.wikidata.org/entity/Q1020337,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,[]
45,http://www.wikidata.org/entity/Q1021496,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,[]
