,subject,predicate,object,type_df,superclass
1,http://www.wikidata.org/entity/Q229007,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q750215,outgoing,[]
1,http://www.wikidata.org/entity/Q17187520,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q4167836,outgoing,[]
1,http://www.wikidata.org/entity/Q6349122,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q4167836,outgoing,[]
0,http://www.wikidata.org/entity/Q27851,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1546073,outgoing,[]
1,http://www.wikidata.org/entity/Q27851,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q34216,outgoing,[]
0,http://www.wikidata.org/entity/Q4575041,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,outgoing,[]
0,http://www.wikidata.org/entity/Q1726,http://www.wikidata.org/prop/direct/P1151,http://www.wikidata.org/entity/Q11028213,outgoing,[]
1,http://www.wikidata.org/entity/Q1726,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q10562,outgoing,[]
2,http://www.wikidata.org/entity/Q1726,http://www.wikidata.org/prop/direct/P1313,http://www.wikidata.org/entity/Q11902879,outgoing,[]
3,http://www.wikidata.org/entity/Q1726,http://www.wikidata.org/prop/direct/P1376,http://www.wikidata.org/entity/Q10544,outgoing,[]
4,http://www.wikidata.org/entity/Q1726,http://www.wikidata.org/prop/direct/P1376,http://www.wikidata.org/entity/Q10562,outgoing,[]
5,http://www.wikidata.org/entity/Q1726,http://www.wikidata.org/prop/direct/P1376,http://www.wikidata.org/entity/Q980,outgoing,[]
6,http://www.wikidata.org/entity/Q1726,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q733786,outgoing,[]
7,http://www.wikidata.org/entity/Q1726,http://www.wikidata.org/prop/direct/P1464,http://www.wikidata.org/entity/Q15069823,outgoing,[]
8,http://www.wikidata.org/entity/Q1726,http://www.wikidata.org/prop/direct/P1465,http://www.wikidata.org/entity/Q9219129,outgoing,[]
9,http://www.wikidata.org/entity/Q1726,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q166011,outgoing,[]
10,http://www.wikidata.org/entity/Q1726,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q224635,outgoing,[]
11,http://www.wikidata.org/entity/Q1726,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q251311,outgoing,[]
12,http://www.wikidata.org/entity/Q1726,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q252058,outgoing,[]
13,http://www.wikidata.org/entity/Q1726,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q252173,outgoing,[]
14,http://www.wikidata.org/entity/Q1726,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q252295,outgoing,[]
15,http://www.wikidata.org/entity/Q1726,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q252679,outgoing,[]
16,http://www.wikidata.org/entity/Q1726,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q252910,outgoing,[]
17,http://www.wikidata.org/entity/Q1726,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q254178,outgoing,[]
18,http://www.wikidata.org/entity/Q1726,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q255291,outgoing,[]
19,http://www.wikidata.org/entity/Q1726,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q255702,outgoing,[]
20,http://www.wikidata.org/entity/Q1726,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q256012,outgoing,[]
21,http://www.wikidata.org/entity/Q1726,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q259879,outgoing,[]
22,http://www.wikidata.org/entity/Q1726,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q262879,outgoing,[]
23,http://www.wikidata.org/entity/Q1726,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q263163,outgoing,[]
