,subject,predicate,object,type_df,iteration
2,http://www.wikidata.org/entity/Q27851,http://www.wikidata.org/prop/direct/P828,http://www.wikidata.org/entity/Q229007,ingoing,1
0,http://www.wikidata.org/entity/Q17187520,http://www.wikidata.org/prop/direct/P301,http://www.wikidata.org/entity/Q229007,outgoing,2
0,http://www.wikidata.org/entity/Q6349122,http://www.wikidata.org/prop/direct/P301,http://www.wikidata.org/entity/Q229007,outgoing,2
2,http://www.wikidata.org/entity/Q27851,http://www.wikidata.org/prop/direct/P828,http://www.wikidata.org/entity/Q229007,outgoing,3
0,http://www.wikidata.org/entity/Q654777,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q27851,outgoing,4
1,http://www.wikidata.org/entity/Q4575041,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q27851,outgoing,4
181,http://www.wikidata.org/entity/Q1203376,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,5
186,http://www.wikidata.org/entity/Q1204075,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,5
1393,http://www.wikidata.org/entity/Q20202089,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,5
1394,http://www.wikidata.org/entity/Q2021398,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,5
1425,http://www.wikidata.org/entity/Q2094442,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,5
1426,http://www.wikidata.org/entity/Q2094451,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,5
1483,http://www.wikidata.org/entity/Q2162398,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,5
1868,http://www.wikidata.org/entity/Q3628840,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,5
1872,http://www.wikidata.org/entity/Q372317,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,5
3939,http://www.wikidata.org/entity/Q686548,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1726,ingoing,5
4058,http://www.wikidata.org/entity/Q372317,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q1726,ingoing,5
17214,http://www.wikidata.org/entity/Q10522559,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q1726,ingoing,5
17215,http://www.wikidata.org/entity/Q10522561,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q1726,ingoing,5
17251,http://www.wikidata.org/entity/Q229007,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q1726,ingoing,5
17259,http://www.wikidata.org/entity/Q27251376,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q1726,ingoing,5
17260,http://www.wikidata.org/entity/Q27251385,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q1726,ingoing,5
17261,http://www.wikidata.org/entity/Q27251391,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q1726,ingoing,5
17262,http://www.wikidata.org/entity/Q27251397,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q1726,ingoing,5
17283,http://www.wikidata.org/entity/Q4593062,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q1726,ingoing,5
17301,http://www.wikidata.org/entity/Q819645,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q1726,ingoing,5
17303,http://www.wikidata.org/entity/Q8438,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q1726,ingoing,5
17382,http://www.wikidata.org/entity/Q882143,http://www.wikidata.org/prop/direct/P291,http://www.wikidata.org/entity/Q1726,ingoing,5
17510,http://www.wikidata.org/entity/Q1674829,http://www.wikidata.org/prop/direct/P559,http://www.wikidata.org/entity/Q1726,ingoing,5
17511,http://www.wikidata.org/entity/Q421053,http://www.wikidata.org/prop/direct/P559,http://www.wikidata.org/entity/Q1726,ingoing,5
17668,http://www.wikidata.org/entity/Q372317,http://www.wikidata.org/prop/direct/P931,http://www.wikidata.org/entity/Q1726,ingoing,5
