,subject,predicate,object,type_df,iteration
2,http://www.wikidata.org/entity/Q2887789,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q829875,ingoing,1
74,http://www.wikidata.org/entity/Q1072889,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,4
929,http://www.wikidata.org/entity/Q1419536,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,4
969,http://www.wikidata.org/entity/Q14947304,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,4
1207,http://www.wikidata.org/entity/Q16057029,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,4
2736,http://www.wikidata.org/entity/Q244932,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,4
2987,http://www.wikidata.org/entity/Q28925560,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,4
3312,http://www.wikidata.org/entity/Q3883973,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,4
3546,http://www.wikidata.org/entity/Q4572926,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,4
3547,http://www.wikidata.org/entity/Q4573777,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,4
3548,http://www.wikidata.org/entity/Q4574278,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,4
3948,http://www.wikidata.org/entity/Q4872660,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,4
4188,http://www.wikidata.org/entity/Q521199,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,4
4723,http://www.wikidata.org/entity/Q7097714,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,4
4739,http://www.wikidata.org/entity/Q7127419,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,4
4809,http://www.wikidata.org/entity/Q7359741,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q180684,ingoing,4
24,http://www.wikidata.org/entity/Q9068547,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q124734,ingoing,5
51,http://www.wikidata.org/entity/Q1052771,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q124734,ingoing,5
144,http://www.wikidata.org/entity/Q192408,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q124734,ingoing,5
149,http://www.wikidata.org/entity/Q1968043,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q124734,ingoing,5
183,http://www.wikidata.org/entity/Q23661625,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q124734,ingoing,5
219,http://www.wikidata.org/entity/Q28554205,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q124734,ingoing,5
225,http://www.wikidata.org/entity/Q2992586,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q124734,ingoing,5
226,http://www.wikidata.org/entity/Q29983310,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q124734,ingoing,5
295,http://www.wikidata.org/entity/Q4555645,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q124734,ingoing,5
328,http://www.wikidata.org/entity/Q600898,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q124734,ingoing,5
338,http://www.wikidata.org/entity/Q6445763,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q124734,ingoing,5
