,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q12573825,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q4692,ingoing,[]
1,http://www.wikidata.org/entity/Q12896099,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q4692,ingoing,[]
2,http://www.wikidata.org/entity/Q19269585,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q4692,ingoing,[]
3,http://www.wikidata.org/entity/Q20616650,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q4692,ingoing,[]
4,http://www.wikidata.org/entity/Q13830551,http://www.wikidata.org/prop/direct/P1204,http://www.wikidata.org/entity/Q4692,ingoing,[]
5,http://www.wikidata.org/entity/Q13410523,http://www.wikidata.org/prop/direct/P1264,http://www.wikidata.org/entity/Q4692,ingoing,[]
6,http://www.wikidata.org/entity/Q876031,http://www.wikidata.org/prop/direct/P1264,http://www.wikidata.org/entity/Q4692,ingoing,[]
7,http://www.wikidata.org/entity/Q1110146,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
10,http://www.wikidata.org/entity/Q113089,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
11,http://www.wikidata.org/entity/Q11935346,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
12,http://www.wikidata.org/entity/Q1226833,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
13,http://www.wikidata.org/entity/Q128027,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
14,http://www.wikidata.org/entity/Q1287248,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
15,http://www.wikidata.org/entity/Q128910,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
16,http://www.wikidata.org/entity/Q1358762,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
17,http://www.wikidata.org/entity/Q1406889,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
18,http://www.wikidata.org/entity/Q151047,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
19,http://www.wikidata.org/entity/Q1638622,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
20,http://www.wikidata.org/entity/Q1669633,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
21,http://www.wikidata.org/entity/Q17169,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
22,http://www.wikidata.org/entity/Q17334335,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
23,http://www.wikidata.org/entity/Q17493174,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
24,http://www.wikidata.org/entity/Q18508924,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
25,http://www.wikidata.org/entity/Q18551786,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
26,http://www.wikidata.org/entity/Q18572509,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
27,http://www.wikidata.org/entity/Q18745315,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
28,http://www.wikidata.org/entity/Q1918667,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
29,http://www.wikidata.org/entity/Q192958,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
30,http://www.wikidata.org/entity/Q19521874,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
31,http://www.wikidata.org/entity/Q195655,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
32,http://www.wikidata.org/entity/Q2066739,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
33,http://www.wikidata.org/entity/Q20723539,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
34,http://www.wikidata.org/entity/Q20809031,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
35,http://www.wikidata.org/entity/Q2104369,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
36,http://www.wikidata.org/entity/Q21706964,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
37,http://www.wikidata.org/entity/Q219502,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
38,http://www.wikidata.org/entity/Q22661822,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
39,http://www.wikidata.org/entity/Q23534384,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
40,http://www.wikidata.org/entity/Q236122,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
41,http://www.wikidata.org/entity/Q23663343,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
42,http://www.wikidata.org/entity/Q23691982,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
43,http://www.wikidata.org/entity/Q269342,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
44,http://www.wikidata.org/entity/Q27058605,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
45,http://www.wikidata.org/entity/Q27928469,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
46,http://www.wikidata.org/entity/Q2849049,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
47,http://www.wikidata.org/entity/Q2900992,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
48,http://www.wikidata.org/entity/Q29538275,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
49,http://www.wikidata.org/entity/Q2956370,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
50,http://www.wikidata.org/entity/Q2984746,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
51,http://www.wikidata.org/entity/Q30310406,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
52,http://www.wikidata.org/entity/Q30312526,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q4692,ingoing,[]
