,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q4692,http://www.wikidata.org/prop/direct/P1151,http://www.wikidata.org/entity/Q13830551,outgoing,[]
1,http://www.wikidata.org/entity/Q4692,http://www.wikidata.org/prop/direct/P155,http://www.wikidata.org/entity/Q12554,outgoing,[]
2,http://www.wikidata.org/entity/Q4692,http://www.wikidata.org/prop/direct/P155,http://www.wikidata.org/entity/Q46825,outgoing,[]
3,http://www.wikidata.org/entity/Q4692,http://www.wikidata.org/prop/direct/P156,http://www.wikidata.org/entity/Q37853,outgoing,[]
4,http://www.wikidata.org/entity/Q4692,http://www.wikidata.org/prop/direct/P2579,http://www.wikidata.org/entity/Q25111456,outgoing,[]
5,http://www.wikidata.org/entity/Q4692,http://www.wikidata.org/prop/direct/P2959,http://www.wikidata.org/entity/Q26356570,outgoing,[]
6,http://www.wikidata.org/entity/Q4692,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q32880,outgoing,[]
7,http://www.wikidata.org/entity/Q4692,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q968159,outgoing,[]
8,http://www.wikidata.org/entity/Q4692,http://www.wikidata.org/prop/direct/P972,http://www.wikidata.org/entity/Q5460604,outgoing,[]
0,http://www.wikidata.org/entity/Q2886650,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q8717,outgoing,[]
2,http://www.wikidata.org/entity/Q2886650,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q29,outgoing,[]
3,http://www.wikidata.org/entity/Q2886650,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1128397,outgoing,[]
4,http://www.wikidata.org/entity/Q2886650,http://www.wikidata.org/prop/direct/P708,http://www.wikidata.org/entity/Q1365579,outgoing,[]
0,http://www.wikidata.org/entity/Q4301554,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q36036,outgoing,[]
1,http://www.wikidata.org/entity/Q4301554,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q46825,outgoing,[]
3,http://www.wikidata.org/entity/Q4301554,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q212,outgoing,[]
4,http://www.wikidata.org/entity/Q4301554,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q16970,outgoing,[]
