,subject,predicate,object,type_df,iteration
263,http://www.wikidata.org/entity/Q37853,http://www.wikidata.org/prop/direct/P155,http://www.wikidata.org/entity/Q4692,ingoing,1
264,http://www.wikidata.org/entity/Q12554,http://www.wikidata.org/prop/direct/P156,http://www.wikidata.org/entity/Q4692,ingoing,1
274,http://www.wikidata.org/entity/Q1247349,http://www.wikidata.org/prop/direct/P2348,http://www.wikidata.org/entity/Q4692,ingoing,1
312,http://www.wikidata.org/entity/Q131808,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q4692,ingoing,1
315,http://www.wikidata.org/entity/Q1474884,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q4692,ingoing,1
1,http://www.wikidata.org/entity/Q4692,http://www.wikidata.org/prop/direct/P155,http://www.wikidata.org/entity/Q12554,outgoing,1
3,http://www.wikidata.org/entity/Q4692,http://www.wikidata.org/prop/direct/P156,http://www.wikidata.org/entity/Q37853,outgoing,1
1,http://www.wikidata.org/entity/Q2886650,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
2,http://www.wikidata.org/entity/Q4301554,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
2,http://www.wikidata.org/entity/Q8350494,http://www.wikidata.org/prop/direct/P1435,http://www.wikidata.org/entity/Q29438396,outgoing,2
3,http://www.wikidata.org/entity/Q8350494,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
2,http://www.wikidata.org/entity/Q19800586,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
1,http://www.wikidata.org/entity/Q5910617,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
2,http://www.wikidata.org/entity/Q28667927,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q37853,outgoing,2
3,http://www.wikidata.org/entity/Q28667927,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
2,http://www.wikidata.org/entity/Q28792146,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
5,http://www.wikidata.org/entity/Q315853,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
2,http://www.wikidata.org/entity/Q21992966,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
2,http://www.wikidata.org/entity/Q12030544,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
2,http://www.wikidata.org/entity/Q1473716,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
1,http://www.wikidata.org/entity/Q26963573,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
2,http://www.wikidata.org/entity/Q21034348,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
1,http://www.wikidata.org/entity/Q20646305,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
3,http://www.wikidata.org/entity/Q18227890,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
2,http://www.wikidata.org/entity/Q12030926,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
3,http://www.wikidata.org/entity/Q1397624,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q37853,outgoing,2
4,http://www.wikidata.org/entity/Q1397624,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
2,http://www.wikidata.org/entity/Q12030886,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
1,http://www.wikidata.org/entity/Q12088290,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
2,http://www.wikidata.org/entity/Q12030564,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
2,http://www.wikidata.org/entity/Q3668321,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
2,http://www.wikidata.org/entity/Q12030546,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
2,http://www.wikidata.org/entity/Q5912934,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
4,http://www.wikidata.org/entity/Q28807553,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
1,http://www.wikidata.org/entity/Q5785681,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
4,http://www.wikidata.org/entity/Q29464438,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q37853,outgoing,2
5,http://www.wikidata.org/entity/Q29464438,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
1,http://www.wikidata.org/entity/Q5785963,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
3,http://www.wikidata.org/entity/Q11746911,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
2,http://www.wikidata.org/entity/Q19915001,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
2,http://www.wikidata.org/entity/Q12030935,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
2,http://www.wikidata.org/entity/Q18249206,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
3,http://www.wikidata.org/entity/Q18286060,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q4692,outgoing,2
