,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q10806,http://www.wikidata.org/prop/direct/P1151,http://www.wikidata.org/entity/Q24712259,outgoing,[]
1,http://www.wikidata.org/entity/Q10806,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,outgoing,[]
2,http://www.wikidata.org/entity/Q10806,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q107126,outgoing,[]
3,http://www.wikidata.org/entity/Q10806,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q11299,outgoing,[]
4,http://www.wikidata.org/entity/Q10806,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q490908,outgoing,[]
5,http://www.wikidata.org/entity/Q10806,http://www.wikidata.org/prop/direct/P2959,http://www.wikidata.org/entity/Q21199792,outgoing,[]
6,http://www.wikidata.org/entity/Q10806,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q217327,outgoing,[]
8,http://www.wikidata.org/entity/Q10806,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q750215,outgoing,[]
9,http://www.wikidata.org/entity/Q10806,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q898712,outgoing,[]
10,http://www.wikidata.org/entity/Q10806,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q7703957,outgoing,[]
11,http://www.wikidata.org/entity/Q10806,http://www.wikidata.org/prop/direct/P520,http://www.wikidata.org/entity/Q197,outgoing,[]
12,http://www.wikidata.org/entity/Q10806,http://www.wikidata.org/prop/direct/P533,http://www.wikidata.org/entity/Q11208,outgoing,[]
14,http://www.wikidata.org/entity/Q10806,http://www.wikidata.org/prop/direct/P533,http://www.wikidata.org/entity/Q270066,outgoing,[]
15,http://www.wikidata.org/entity/Q10806,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q207,outgoing,[]
0,http://www.wikidata.org/entity/Q21549180,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,outgoing,[]
1,http://www.wikidata.org/entity/Q21549180,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q11299,outgoing,[]
2,http://www.wikidata.org/entity/Q21549180,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q27686,outgoing,[]
0,http://www.wikidata.org/entity/Q1278748,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q908666,outgoing,[]
1,http://www.wikidata.org/entity/Q1278748,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q11299,outgoing,[]
2,http://www.wikidata.org/entity/Q1278748,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q245188,outgoing,[]
3,http://www.wikidata.org/entity/Q1278748,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,outgoing,[]
4,http://www.wikidata.org/entity/Q1278748,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q18142,outgoing,[]
6,http://www.wikidata.org/entity/Q1278748,http://www.wikidata.org/prop/direct/P84,http://www.wikidata.org/entity/Q18672430,outgoing,[]
0,http://www.wikidata.org/entity/Q11235,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q908666,outgoing,[]
1,http://www.wikidata.org/entity/Q11235,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q11299,outgoing,[]
2,http://www.wikidata.org/entity/Q11235,http://www.wikidata.org/prop/direct/P167,http://www.wikidata.org/entity/Q20861677,outgoing,[]
3,http://www.wikidata.org/entity/Q11235,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,outgoing,[]
4,http://www.wikidata.org/entity/Q11235,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q11253,outgoing,[]
5,http://www.wikidata.org/entity/Q11235,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1497364,outgoing,[]
6,http://www.wikidata.org/entity/Q11235,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q19860854,outgoing,[]
0,http://www.wikidata.org/entity/Q1631191,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q11299,outgoing,[]
1,http://www.wikidata.org/entity/Q1631191,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,outgoing,[]
2,http://www.wikidata.org/entity/Q1631191,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q41176,outgoing,[]
4,http://www.wikidata.org/entity/Q1631191,http://www.wikidata.org/prop/direct/P84,http://www.wikidata.org/entity/Q459464,outgoing,[]
0,http://www.wikidata.org/entity/Q23071484,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q771,outgoing,[]
2,http://www.wikidata.org/entity/Q23071484,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581072,outgoing,[]
3,http://www.wikidata.org/entity/Q23071484,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q30,outgoing,[]
4,http://www.wikidata.org/entity/Q23071484,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,outgoing,[]
5,http://www.wikidata.org/entity/Q23071484,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q2087646,outgoing,[]
0,http://www.wikidata.org/entity/Q601424,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q250867,outgoing,[]
1,http://www.wikidata.org/entity/Q601424,http://www.wikidata.org/prop/direct/P1196,http://www.wikidata.org/entity/Q149086,outgoing,[]
2,http://www.wikidata.org/entity/Q601424,http://www.wikidata.org/prop/direct/P140,http://www.wikidata.org/entity/Q9592,outgoing,[]
3,http://www.wikidata.org/entity/Q601424,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q163700,outgoing,[]
4,http://www.wikidata.org/entity/Q601424,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q18419,outgoing,[]
6,http://www.wikidata.org/entity/Q601424,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097,outgoing,[]
7,http://www.wikidata.org/entity/Q601424,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q30,outgoing,[]
8,http://www.wikidata.org/entity/Q601424,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,outgoing,[]
9,http://www.wikidata.org/entity/Q601424,http://www.wikidata.org/prop/direct/P69,http://www.wikidata.org/entity/Q93662,outgoing,[]
10,http://www.wikidata.org/entity/Q601424,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q22569259,outgoing,[]
0,http://www.wikidata.org/entity/Q2254875,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q101539,outgoing,[]
