,subject,predicate,object,type_df,iteration
5,http://www.wikidata.org/entity/Q185729,http://www.wikidata.org/prop/direct/P1478,http://www.wikidata.org/entity/Q10806,ingoing,1
11,http://www.wikidata.org/entity/Q62179,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q10806,ingoing,1
3,http://www.wikidata.org/entity/Q21549180,http://www.wikidata.org/prop/direct/P770,http://www.wikidata.org/entity/Q10806,outgoing,2
5,http://www.wikidata.org/entity/Q1278748,http://www.wikidata.org/prop/direct/P770,http://www.wikidata.org/entity/Q10806,outgoing,2
11,http://www.wikidata.org/entity/Q11694,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q11235,ingoing,2
17,http://www.wikidata.org/entity/Q10806,http://www.wikidata.org/prop/direct/P533,http://www.wikidata.org/entity/Q11235,ingoing,2
7,http://www.wikidata.org/entity/Q11235,http://www.wikidata.org/prop/direct/P770,http://www.wikidata.org/entity/Q10806,outgoing,2
3,http://www.wikidata.org/entity/Q1631191,http://www.wikidata.org/prop/direct/P770,http://www.wikidata.org/entity/Q10806,outgoing,2
20,http://www.wikidata.org/entity/Q10806,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5710433,ingoing,4
29,http://www.wikidata.org/entity/Q12410552,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5710433,ingoing,4
149,http://www.wikidata.org/entity/Q2903305,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5710433,ingoing,4
197,http://www.wikidata.org/entity/Q4598799,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5710433,ingoing,4
239,http://www.wikidata.org/entity/Q7136542,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5710433,ingoing,4
14,http://www.wikidata.org/entity/Q449027,http://www.wikidata.org/prop/direct/P366,http://www.wikidata.org/entity/Q331483,ingoing,4
