,iteration,path_expanded,nb_expanded,node_expanded,score
0,1,3-ingoing-http://www.wikidata.org/prop/direct/P770;http://www.wikidata.org/entity/Q10806,1,['http://www.wikidata.org/entity/Q10806'],4
1,2,3-ingoing-http://www.wikidata.org/prop/direct/P20;http://www.wikidata.org/entity/Q11235,4,"['http://www.wikidata.org/entity/Q21549180', 'http://www.wikidata.org/entity/Q1278748', 'http://www.wikidata.org/entity/Q11235', 'http://www.wikidata.org/entity/Q1631191']",6
2,3,3-outgoing-http://www.wikidata.org/entity/Q11235;http://www.wikidata.org/prop/direct/P793,6,"['http://www.wikidata.org/entity/Q23071484', 'http://www.wikidata.org/entity/Q601424', 'http://www.wikidata.org/entity/Q2254875', 'http://www.wikidata.org/entity/Q8014871', 'http://www.wikidata.org/entity/Q7547563', 'http://www.wikidata.org/entity/Q16015101']",5
3,4,3-ingoing-http://www.wikidata.org/prop/direct/P793;http://www.wikidata.org/entity/Q15051339,5,"['http://www.wikidata.org/entity/Q5710433', 'http://www.wikidata.org/entity/Q15051339', 'http://www.wikidata.org/entity/Q331483', 'http://www.wikidata.org/entity/Q1068633', 'http://www.wikidata.org/entity/Q385378']",138
4,5,3-ingoing-http://www.wikidata.org/prop/direct/P452;http://www.wikidata.org/entity/Q385378,137,"['http://www.wikidata.org/entity/Q2155684', 'http://www.wikidata.org/entity/Q1839805', 'http://www.wikidata.org/entity/Q2505952', 'http://www.wikidata.org/entity/Q3947495', 'http://www.wikidata.org/entity/Q17805285', 'http://www.wikidata.org/entity/Q10540509', 'http://www.wikidata.org/entity/Q12001499', 'http://www.wikidata.org/entity/Q19382883', 'http://www.wikidata.org/entity/Q3082266', 'http://www.wikidata.org/entity/Q1816488', 'http://www.wikidata.org/entity/Q1542258', 'http://www.wikidata.org/entity/Q1273046', 'http://www.wikidata.org/entity/Q71803', 'http://www.wikidata.org/entity/Q1481002', 'http://www.wikidata.org/entity/Q4741385', 'http://www.wikidata.org/entity/Q50711', 'http://www.wikidata.org/entity/Q11987266', 'http://www.wikidata.org/entity/Q5254379', 'http://www.wikidata.org/entity/Q822065', 'http://www.wikidata.org/entity/Q1827231', 'http://www.wikidata.org/entity/Q2027823', 'http://www.wikidata.org/entity/Q11983386', 'http://www.wikidata.org/entity/Q4691513', 'http://www.wikidata.org/entity/Q10575346', 'http://www.wikidata.org/entity/Q339850', 'http://www.wikidata.org/entity/Q562206', 'http://www.wikidata.org/entity/Q40605', 'http://www.wikidata.org/entity/Q2299624', 'http://www.wikidata.org/entity/Q4581985', 'http://www.wikidata.org/entity/Q17600543', 'http://www.wikidata.org/entity/Q17769452', 'http://www.wikidata.org/entity/Q1642279', 'http://www.wikidata.org/entity/Q11989110', 'http://www.wikidata.org/entity/Q17483325', 'http://www.wikidata.org/entity/Q4568545', 'http://www.wikidata.org/entity/Q1956912', 'http://www.wikidata.org/entity/Q2317221', 'http://www.wikidata.org/entity/Q20735329', 'http://www.wikidata.org/entity/Q1798440', 'http://www.wikidata.org/entity/Q17779819', 'http://www.wikidata.org/entity/Q11999802', 'http://www.wikidata.org/entity/Q2282817', 'http://www.wikidata.org/entity/Q2856272', 'http://www.wikidata.org/entity/Q6479997', 'http://www.wikidata.org/entity/Q31814132', 'http://www.wikidata.org/entity/Q7230415', 'http://www.wikidata.org/entity/Q18071188', 'http://www.wikidata.org/entity/Q15077481', 'http://www.wikidata.org/entity/Q17773643', 'http://www.wikidata.org/entity/Q2220755', 'http://www.wikidata.org/entity/Q28121567', 'http://www.wikidata.org/entity/Q18674890', 'http://www.wikidata.org/entity/Q19375897', 'http://www.wikidata.org/entity/Q929964', 'http://www.wikidata.org/entity/Q21055659', 'http://www.wikidata.org/entity/Q265463', 'http://www.wikidata.org/entity/Q314159', 'http://www.wikidata.org/entity/Q5393756', 'http://www.wikidata.org/entity/Q22925668', 'http://www.wikidata.org/entity/Q13740399', 'http://www.wikidata.org/entity/Q6744417', 'http://www.wikidata.org/entity/Q437610', 'http://www.wikidata.org/entity/Q6940539', 'http://www.wikidata.org/entity/Q674032', 'http://www.wikidata.org/entity/Q1403785', 'http://www.wikidata.org/entity/Q835090', 'http://www.wikidata.org/entity/Q686569', 'http://www.wikidata.org/entity/Q2496891', 'http://www.wikidata.org/entity/Q675214', 'http://www.wikidata.org/entity/Q17388821', 'http://www.wikidata.org/entity/Q19387207', 'http://www.wikidata.org/entity/Q13740026', 'http://www.wikidata.org/entity/Q10292830', 'http://www.wikidata.org/entity/Q11971755', 'http://www.wikidata.org/entity/Q1406124', 'http://www.wikidata.org/entity/Q15962410', 'http://www.wikidata.org/entity/Q4794182', 'http://www.wikidata.org/entity/Q435519', 'http://www.wikidata.org/entity/Q702771', 'http://www.wikidata.org/entity/Q19380541', 'http://www.wikidata.org/entity/Q217652', 'http://www.wikidata.org/entity/Q15875889', 'http://www.wikidata.org/entity/Q17519357', 'http://www.wikidata.org/entity/Q1278103', 'http://www.wikidata.org/entity/Q48353', 'http://www.wikidata.org/entity/Q597408', 'http://www.wikidata.org/entity/Q3116857', 'http://www.wikidata.org/entity/Q324404', 'http://www.wikidata.org/entity/Q7862379', 'http://www.wikidata.org/entity/Q320094', 'http://www.wikidata.org/entity/Q15712685', 'http://www.wikidata.org/entity/Q182864', 'http://www.wikidata.org/entity/Q15874602', 'http://www.wikidata.org/entity/Q331996', 'http://www.wikidata.org/entity/Q2498675', 'http://www.wikidata.org/entity/Q1813523', 'http://www.wikidata.org/entity/Q878022', 'http://www.wikidata.org/entity/Q774616', 'http://www.wikidata.org/entity/Q907366', 'http://www.wikidata.org/entity/Q19380913', 'http://www.wikidata.org/entity/Q9188', 'http://www.wikidata.org/entity/Q889399', 'http://www.wikidata.org/entity/Q1880823', 'http://www.wikidata.org/entity/Q21834551', 'http://www.wikidata.org/entity/Q18016326', 'http://www.wikidata.org/entity/Q19386198', 'http://www.wikidata.org/entity/Q19382626', 'http://www.wikidata.org/entity/Q6542576', 'http://www.wikidata.org/entity/Q6387054', 'http://www.wikidata.org/entity/Q3566221', 'http://www.wikidata.org/entity/Q2683137', 'http://www.wikidata.org/entity/Q3241211', 'http://www.wikidata.org/entity/Q17750821', 'http://www.wikidata.org/entity/Q4582035', 'http://www.wikidata.org/entity/Q14708180', 'http://www.wikidata.org/entity/Q19377427', 'http://www.wikidata.org/entity/Q17423040', 'http://www.wikidata.org/entity/Q17609037', 'http://www.wikidata.org/entity/Q375365', 'http://www.wikidata.org/entity/Q2239472', 'http://www.wikidata.org/entity/Q788639', 'http://www.wikidata.org/entity/Q12317628', 'http://www.wikidata.org/entity/Q2495829', 'http://www.wikidata.org/entity/Q2515286', 'http://www.wikidata.org/entity/Q2882736', 'http://www.wikidata.org/entity/Q801555', 'http://www.wikidata.org/entity/Q190804', 'http://www.wikidata.org/entity/Q2161394', 'http://www.wikidata.org/entity/Q4839893', 'http://www.wikidata.org/entity/Q2392939', 'http://www.wikidata.org/entity/Q17513331', 'http://www.wikidata.org/entity/Q11971754', 'http://www.wikidata.org/entity/Q33204654', 'http://www.wikidata.org/entity/Q317837', 'http://www.wikidata.org/entity/Q57965', 'http://www.wikidata.org/entity/Q2656343', 'http://www.wikidata.org/entity/Q7303060']",68
5,6,3-ingoing-http://www.wikidata.org/prop/direct/P360;http://www.wikidata.org/entity/Q5710433,68,"['http://www.wikidata.org/entity/Q6030105', 'http://www.wikidata.org/entity/Q16652714', 'http://www.wikidata.org/entity/Q19910119', 'http://www.wikidata.org/entity/Q689129', 'http://www.wikidata.org/entity/Q47450716', 'http://www.wikidata.org/entity/Q5323756', 'http://www.wikidata.org/entity/Q6939094', 'http://www.wikidata.org/entity/Q7528260', 'http://www.wikidata.org/entity/Q19974140', 'http://www.wikidata.org/entity/Q12158686', 'http://www.wikidata.org/entity/Q19974146', 'http://www.wikidata.org/entity/Q19974038', 'http://www.wikidata.org/entity/Q3557006', 'http://www.wikidata.org/entity/Q20908893', 'http://www.wikidata.org/entity/Q3743456', 'http://www.wikidata.org/entity/Q17339823', 'http://www.wikidata.org/entity/Q1572363', 'http://www.wikidata.org/entity/Q3815952', 'http://www.wikidata.org/entity/Q28477893', 'http://www.wikidata.org/entity/Q3557020', 'http://www.wikidata.org/entity/Q19974138', 'http://www.wikidata.org/entity/Q3557041', 'http://www.wikidata.org/entity/Q42429901', 'http://www.wikidata.org/entity/Q19974139', 'http://www.wikidata.org/entity/Q5323760', 'http://www.wikidata.org/entity/Q5459585', 'http://www.wikidata.org/entity/Q691418', 'http://www.wikidata.org/entity/Q19974141', 'http://www.wikidata.org/entity/Q19974137', 'http://www.wikidata.org/entity/Q5323759', 'http://www.wikidata.org/entity/Q12808339', 'http://www.wikidata.org/entity/Q29469208', 'http://www.wikidata.org/entity/Q19974127', 'http://www.wikidata.org/entity/Q3557084', 'http://www.wikidata.org/entity/Q681316', 'http://www.wikidata.org/entity/Q1946054', 'http://www.wikidata.org/entity/Q37041138', 'http://www.wikidata.org/entity/Q19974136', 'http://www.wikidata.org/entity/Q3178370', 'http://www.wikidata.org/entity/Q19974147', 'http://www.wikidata.org/entity/Q19974129', 'http://www.wikidata.org/entity/Q11924756', 'http://www.wikidata.org/entity/Q24641075', 'http://www.wikidata.org/entity/Q33375497', 'http://www.wikidata.org/entity/Q14365850', 'http://www.wikidata.org/entity/Q20106140', 'http://www.wikidata.org/entity/Q1081154', 'http://www.wikidata.org/entity/Q27144897', 'http://www.wikidata.org/entity/Q3963762', 'http://www.wikidata.org/entity/Q30632128', 'http://www.wikidata.org/entity/Q4412653', 'http://www.wikidata.org/entity/Q50104513', 'http://www.wikidata.org/entity/Q19841293', 'http://www.wikidata.org/entity/Q29311', 'http://www.wikidata.org/entity/Q4444191', 'http://www.wikidata.org/entity/Q1972407', 'http://www.wikidata.org/entity/Q5323758', 'http://www.wikidata.org/entity/Q5754358', 'http://www.wikidata.org/entity/Q5365823', 'http://www.wikidata.org/entity/Q42563851', 'http://www.wikidata.org/entity/Q5323757', 'http://www.wikidata.org/entity/Q24035721', 'http://www.wikidata.org/entity/Q38796557', 'http://www.wikidata.org/entity/Q19974142', 'http://www.wikidata.org/entity/Q7394733', 'http://www.wikidata.org/entity/Q28945650', 'http://www.wikidata.org/entity/Q2224642', 'http://www.wikidata.org/entity/Q5323761']",64
6,7,3-ingoing-http://www.wikidata.org/prop/direct/P177;http://www.wikidata.org/entity/Q835090,64,"['http://www.wikidata.org/entity/Q6642929', 'http://www.wikidata.org/entity/Q6642896', 'http://www.wikidata.org/entity/Q6642898', 'http://www.wikidata.org/entity/Q6642924', 'http://www.wikidata.org/entity/Q16967906', 'http://www.wikidata.org/entity/Q6642912', 'http://www.wikidata.org/entity/Q11761802', 'http://www.wikidata.org/entity/Q18701646', 'http://www.wikidata.org/entity/Q16967903', 'http://www.wikidata.org/entity/Q6642885', 'http://www.wikidata.org/entity/Q6642899', 'http://www.wikidata.org/entity/Q2967147', 'http://www.wikidata.org/entity/Q11761801', 'http://www.wikidata.org/entity/Q16821102', 'http://www.wikidata.org/entity/Q265857', 'http://www.wikidata.org/entity/Q6642923', 'http://www.wikidata.org/entity/Q2870021', 'http://www.wikidata.org/entity/Q6642887', 'http://www.wikidata.org/entity/Q17097357', 'http://www.wikidata.org/entity/Q6642880', 'http://www.wikidata.org/entity/Q6642882', 'http://www.wikidata.org/entity/Q6642905', 'http://www.wikidata.org/entity/Q16251308', 'http://www.wikidata.org/entity/Q6642908', 'http://www.wikidata.org/entity/Q1638200', 'http://www.wikidata.org/entity/Q6642925', 'http://www.wikidata.org/entity/Q16820734', 'http://www.wikidata.org/entity/Q6642872', 'http://www.wikidata.org/entity/Q6642881', 'http://www.wikidata.org/entity/Q12846510', 'http://www.wikidata.org/entity/Q6642914', 'http://www.wikidata.org/entity/Q6642888', 'http://www.wikidata.org/entity/Q6642927', 'http://www.wikidata.org/entity/Q3518866', 'http://www.wikidata.org/entity/Q6642922', 'http://www.wikidata.org/entity/Q27663029', 'http://www.wikidata.org/entity/Q6642897', 'http://www.wikidata.org/entity/Q6642894', 'http://www.wikidata.org/entity/Q6642902', 'http://www.wikidata.org/entity/Q6642903', 'http://www.wikidata.org/entity/Q6642919', 'http://www.wikidata.org/entity/Q17005170', 'http://www.wikidata.org/entity/Q6642901', 'http://www.wikidata.org/entity/Q6642879', 'http://www.wikidata.org/entity/Q6642931', 'http://www.wikidata.org/entity/Q6642893', 'http://www.wikidata.org/entity/Q16057196', 'http://www.wikidata.org/entity/Q6642886', 'http://www.wikidata.org/entity/Q6642891', 'http://www.wikidata.org/entity/Q6642878', 'http://www.wikidata.org/entity/Q15711723', 'http://www.wikidata.org/entity/Q3544481', 'http://www.wikidata.org/entity/Q33125928', 'http://www.wikidata.org/entity/Q6642920', 'http://www.wikidata.org/entity/Q16967900', 'http://www.wikidata.org/entity/Q6642906', 'http://www.wikidata.org/entity/Q6642915', 'http://www.wikidata.org/entity/Q6642895', 'http://www.wikidata.org/entity/Q6642892', 'http://www.wikidata.org/entity/Q6642874', 'http://www.wikidata.org/entity/Q514053', 'http://www.wikidata.org/entity/Q6642875', 'http://www.wikidata.org/entity/Q17111805', 'http://www.wikidata.org/entity/Q5114217']",62
7,8,3-ingoing-http://www.wikidata.org/prop/direct/P69;http://www.wikidata.org/entity/Q2495829,62,"['http://www.wikidata.org/entity/Q2469842', 'http://www.wikidata.org/entity/Q2315626', 'http://www.wikidata.org/entity/Q2144554', 'http://www.wikidata.org/entity/Q2914568', 'http://www.wikidata.org/entity/Q130095', 'http://www.wikidata.org/entity/Q1986860', 'http://www.wikidata.org/entity/Q1811995', 'http://www.wikidata.org/entity/Q2499335', 'http://www.wikidata.org/entity/Q2101067', 'http://www.wikidata.org/entity/Q1989965', 'http://www.wikidata.org/entity/Q2014340', 'http://www.wikidata.org/entity/Q2653578', 'http://www.wikidata.org/entity/Q2220124', 'http://www.wikidata.org/entity/Q2077974', 'http://www.wikidata.org/entity/Q2335975', 'http://www.wikidata.org/entity/Q4937925', 'http://www.wikidata.org/entity/Q2103978', 'http://www.wikidata.org/entity/Q1876338', 'http://www.wikidata.org/entity/Q1825854', 'http://www.wikidata.org/entity/Q3396980', 'http://www.wikidata.org/entity/Q2265650', 'http://www.wikidata.org/entity/Q2306369', 'http://www.wikidata.org/entity/Q1952900', 'http://www.wikidata.org/entity/Q2665574', 'http://www.wikidata.org/entity/Q2442358', 'http://www.wikidata.org/entity/Q23775215', 'http://www.wikidata.org/entity/Q2422830', 'http://www.wikidata.org/entity/Q2207986', 'http://www.wikidata.org/entity/Q1880171', 'http://www.wikidata.org/entity/Q2274965', 'http://www.wikidata.org/entity/Q2238476', 'http://www.wikidata.org/entity/Q13445766', 'http://www.wikidata.org/entity/Q47006306', 'http://www.wikidata.org/entity/Q1958161', 'http://www.wikidata.org/entity/Q2145848', 'http://www.wikidata.org/entity/Q2517845', 'http://www.wikidata.org/entity/Q2204877', 'http://www.wikidata.org/entity/Q2553270', 'http://www.wikidata.org/entity/Q2533764', 'http://www.wikidata.org/entity/Q2671748', 'http://www.wikidata.org/entity/Q2133592', 'http://www.wikidata.org/entity/Q2442626', 'http://www.wikidata.org/entity/Q4292420', 'http://www.wikidata.org/entity/Q2355698', 'http://www.wikidata.org/entity/Q2717672', 'http://www.wikidata.org/entity/Q3201088', 'http://www.wikidata.org/entity/Q2669975', 'http://www.wikidata.org/entity/Q2624479', 'http://www.wikidata.org/entity/Q50303690', 'http://www.wikidata.org/entity/Q2319000', 'http://www.wikidata.org/entity/Q2735389', 'http://www.wikidata.org/entity/Q2315709', 'http://www.wikidata.org/entity/Q2213289', 'http://www.wikidata.org/entity/Q3028093', 'http://www.wikidata.org/entity/Q4474342', 'http://www.wikidata.org/entity/Q2145344', 'http://www.wikidata.org/entity/Q1936083', 'http://www.wikidata.org/entity/Q2435830', 'http://www.wikidata.org/entity/Q2680769', 'http://www.wikidata.org/entity/Q2121231', 'http://www.wikidata.org/entity/Q2378167', 'http://www.wikidata.org/entity/Q1985269']",44
8,9,3-outgoing-http://www.wikidata.org/entity/Q7747;http://www.wikidata.org/prop/direct/P1344,44,"['http://www.wikidata.org/entity/Q22919537', 'http://www.wikidata.org/entity/Q7747', 'http://www.wikidata.org/entity/Q16629739', 'http://www.wikidata.org/entity/Q368947', 'http://www.wikidata.org/entity/Q4147631', 'http://www.wikidata.org/entity/Q1188596', 'http://www.wikidata.org/entity/Q4209144', 'http://www.wikidata.org/entity/Q4263588', 'http://www.wikidata.org/entity/Q4429309', 'http://www.wikidata.org/entity/Q24010838', 'http://www.wikidata.org/entity/Q4443447', 'http://www.wikidata.org/entity/Q4133950', 'http://www.wikidata.org/entity/Q4236593', 'http://www.wikidata.org/entity/Q4400114', 'http://www.wikidata.org/entity/Q4089283', 'http://www.wikidata.org/entity/Q28097220', 'http://www.wikidata.org/entity/Q13124462', 'http://www.wikidata.org/entity/Q4484109', 'http://www.wikidata.org/entity/Q15063191', 'http://www.wikidata.org/entity/Q1805456', 'http://www.wikidata.org/entity/Q24010215', 'http://www.wikidata.org/entity/Q4425786', 'http://www.wikidata.org/entity/Q9140096', 'http://www.wikidata.org/entity/Q15065463', 'http://www.wikidata.org/entity/Q12083724', 'http://www.wikidata.org/entity/Q12090780', 'http://www.wikidata.org/entity/Q4394233', 'http://www.wikidata.org/entity/Q21092695', 'http://www.wikidata.org/entity/Q4199890', 'http://www.wikidata.org/entity/Q4416826', 'http://www.wikidata.org/entity/Q15074426', 'http://www.wikidata.org/entity/Q17043689', 'http://www.wikidata.org/entity/Q4225603', 'http://www.wikidata.org/entity/Q4525366', 'http://www.wikidata.org/entity/Q4096576', 'http://www.wikidata.org/entity/Q2914853', 'http://www.wikidata.org/entity/Q4190180', 'http://www.wikidata.org/entity/Q21636550', 'http://www.wikidata.org/entity/Q13478602', 'http://www.wikidata.org/entity/Q502041', 'http://www.wikidata.org/entity/Q4526785', 'http://www.wikidata.org/entity/Q4149704', 'http://www.wikidata.org/entity/Q19907657', 'http://www.wikidata.org/entity/Q4523827']",59
9,10,3-outgoing-http://www.wikidata.org/entity/Q7747;http://www.wikidata.org/prop/direct/P166,59,"['http://www.wikidata.org/entity/Q1143209', 'http://www.wikidata.org/entity/Q120843', 'http://www.wikidata.org/entity/Q27494264', 'http://www.wikidata.org/entity/Q4344825', 'http://www.wikidata.org/entity/Q4344822', 'http://www.wikidata.org/entity/Q1450649', 'http://www.wikidata.org/entity/Q17941946', 'http://www.wikidata.org/entity/Q19761738', 'http://www.wikidata.org/entity/Q20311427', 'http://www.wikidata.org/entity/Q28052871', 'http://www.wikidata.org/entity/Q27332322', 'http://www.wikidata.org/entity/Q27494262', 'http://www.wikidata.org/entity/Q15913279', 'http://www.wikidata.org/entity/Q13043861', 'http://www.wikidata.org/entity/Q17935491', 'http://www.wikidata.org/entity/Q1980740', 'http://www.wikidata.org/entity/Q24711669', 'http://www.wikidata.org/entity/Q1091656', 'http://www.wikidata.org/entity/Q27511152', 'http://www.wikidata.org/entity/Q27494275', 'http://www.wikidata.org/entity/Q28133900', 'http://www.wikidata.org/entity/Q27496595', 'http://www.wikidata.org/entity/Q2895553', 'http://www.wikidata.org/entity/Q27496594', 'http://www.wikidata.org/entity/Q18416034', 'http://www.wikidata.org/entity/Q27494278', 'http://www.wikidata.org/entity/Q28052666', 'http://www.wikidata.org/entity/Q27494258', 'http://www.wikidata.org/entity/Q10772297', 'http://www.wikidata.org/entity/Q27496591', 'http://www.wikidata.org/entity/Q18400943', 'http://www.wikidata.org/entity/Q23002817', 'http://www.wikidata.org/entity/Q18890075', 'http://www.wikidata.org/entity/Q27512950', 'http://www.wikidata.org/entity/Q20013143', 'http://www.wikidata.org/entity/Q27511125', 'http://www.wikidata.org/entity/Q2819323', 'http://www.wikidata.org/entity/Q28052855', 'http://www.wikidata.org/entity/Q27496593', 'http://www.wikidata.org/entity/Q24711235', 'http://www.wikidata.org/entity/Q27494255', 'http://www.wikidata.org/entity/Q28133799', 'http://www.wikidata.org/entity/Q170418', 'http://www.wikidata.org/entity/Q24714557', 'http://www.wikidata.org/entity/Q27494266', 'http://www.wikidata.org/entity/Q4344820', 'http://www.wikidata.org/entity/Q4406609', 'http://www.wikidata.org/entity/Q24907493', 'http://www.wikidata.org/entity/Q16829464', 'http://www.wikidata.org/entity/Q27494277', 'http://www.wikidata.org/entity/Q31454090', 'http://www.wikidata.org/entity/Q27494261', 'http://www.wikidata.org/entity/Q4388316', 'http://www.wikidata.org/entity/Q19206998', 'http://www.wikidata.org/entity/Q27494259', 'http://www.wikidata.org/entity/Q20736139', 'http://www.wikidata.org/entity/Q16057427', 'http://www.wikidata.org/entity/Q28133864', 'http://www.wikidata.org/entity/Q23044813']",41
