,subject,predicate,object,type_df,superclass
4,http://www.wikidata.org/entity/Q49077,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q198,outgoing,[]
5,http://www.wikidata.org/entity/Q49077,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q8669,outgoing,[]
0,http://www.wikidata.org/entity/Q796,http://www.wikidata.org/prop/direct/P1151,http://www.wikidata.org/entity/Q14614958,outgoing,[]
1,http://www.wikidata.org/entity/Q796,http://www.wikidata.org/prop/direct/P122,http://www.wikidata.org/entity/Q512187,outgoing,[]
2,http://www.wikidata.org/entity/Q796,http://www.wikidata.org/prop/direct/P1313,http://www.wikidata.org/entity/Q1476165,outgoing,[]
3,http://www.wikidata.org/entity/Q796,http://www.wikidata.org/prop/direct/P1464,http://www.wikidata.org/entity/Q7463303,outgoing,[]
4,http://www.wikidata.org/entity/Q796,http://www.wikidata.org/prop/direct/P1465,http://www.wikidata.org/entity/Q8366505,outgoing,[]
5,http://www.wikidata.org/entity/Q796,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q187334,outgoing,[]
6,http://www.wikidata.org/entity/Q796,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q189352,outgoing,[]
7,http://www.wikidata.org/entity/Q796,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q189541,outgoing,[]
8,http://www.wikidata.org/entity/Q796,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q189747,outgoing,[]
9,http://www.wikidata.org/entity/Q796,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q190131,outgoing,[]
10,http://www.wikidata.org/entity/Q796,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q191075,outgoing,[]
11,http://www.wikidata.org/entity/Q796,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q192882,outgoing,[]
12,http://www.wikidata.org/entity/Q796,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q193268,outgoing,[]
13,http://www.wikidata.org/entity/Q796,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q193551,outgoing,[]
14,http://www.wikidata.org/entity/Q796,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q212761,outgoing,[]
15,http://www.wikidata.org/entity/Q796,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q213170,outgoing,[]
16,http://www.wikidata.org/entity/Q796,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q213182,outgoing,[]
17,http://www.wikidata.org/entity/Q796,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q213189,outgoing,[]
18,http://www.wikidata.org/entity/Q796,http://www.wikidata.org/prop/direct/P150,http://www.wikidata.org/entity/Q214104,outgoing,[]
