,subject,predicate,object,type_df,iteration
4,http://www.wikidata.org/entity/Q16133140,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q49077,ingoing,1
5,http://www.wikidata.org/entity/Q2336243,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q49077,ingoing,1
6,http://www.wikidata.org/entity/Q2887798,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q49077,ingoing,1
7,http://www.wikidata.org/entity/Q40040586,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q49077,ingoing,1
14199,http://www.wikidata.org/entity/Q6445763,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q796,ingoing,2
14326,http://www.wikidata.org/entity/Q49077,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q796,ingoing,2
4680,http://www.wikidata.org/entity/Q49077,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q810,ingoing,2
5625,http://www.wikidata.org/entity/Q322607,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q810,ingoing,2
5626,http://www.wikidata.org/entity/Q49077,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q810,ingoing,2
121,http://www.wikidata.org/entity/Q21279715,http://www.wikidata.org/prop/direct/P137,http://www.wikidata.org/entity/Q801,ingoing,2
1580,http://www.wikidata.org/entity/Q12404574,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q801,ingoing,2
2205,http://www.wikidata.org/entity/Q15283528,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q801,ingoing,2
2720,http://www.wikidata.org/entity/Q1674712,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q801,ingoing,2
3394,http://www.wikidata.org/entity/Q20501872,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q801,ingoing,2
3858,http://www.wikidata.org/entity/Q2336243,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q801,ingoing,2
4065,http://www.wikidata.org/entity/Q2532517,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q801,ingoing,2
6732,http://www.wikidata.org/entity/Q276172,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q801,ingoing,2
7045,http://www.wikidata.org/entity/Q28735990,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q801,ingoing,2
9755,http://www.wikidata.org/entity/Q44962,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q801,ingoing,2
10035,http://www.wikidata.org/entity/Q47520058,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q801,ingoing,2
10036,http://www.wikidata.org/entity/Q47522440,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q801,ingoing,2
10115,http://www.wikidata.org/entity/Q49077,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q801,ingoing,2
11569,http://www.wikidata.org/entity/Q6909969,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q801,ingoing,2
12108,http://www.wikidata.org/entity/Q7212421,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q801,ingoing,2
12584,http://www.wikidata.org/entity/Q967649,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q801,ingoing,2
31910,http://www.wikidata.org/entity/Q151622,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q801,ingoing,2
32208,http://www.wikidata.org/entity/Q15283528,http://www.wikidata.org/prop/direct/P495,http://www.wikidata.org/entity/Q801,ingoing,2
32434,http://www.wikidata.org/entity/Q19595903,http://www.wikidata.org/prop/direct/P495,http://www.wikidata.org/entity/Q801,ingoing,2
32448,http://www.wikidata.org/entity/Q2037921,http://www.wikidata.org/prop/direct/P495,http://www.wikidata.org/entity/Q801,ingoing,2
32555,http://www.wikidata.org/entity/Q2532517,http://www.wikidata.org/prop/direct/P495,http://www.wikidata.org/entity/Q801,ingoing,2
32751,http://www.wikidata.org/entity/Q2910532,http://www.wikidata.org/prop/direct/P495,http://www.wikidata.org/entity/Q801,ingoing,2
32901,http://www.wikidata.org/entity/Q3672535,http://www.wikidata.org/prop/direct/P495,http://www.wikidata.org/entity/Q801,ingoing,2
33306,http://www.wikidata.org/entity/Q6646123,http://www.wikidata.org/prop/direct/P495,http://www.wikidata.org/entity/Q801,ingoing,2
33634,http://www.wikidata.org/entity/Q6995154,http://www.wikidata.org/prop/direct/P495,http://www.wikidata.org/entity/Q801,ingoing,2
33980,http://www.wikidata.org/entity/Q322607,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q801,ingoing,2
33988,http://www.wikidata.org/entity/Q49077,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q801,ingoing,2
265,http://www.wikidata.org/entity/Q11939187,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q79,ingoing,2
16837,http://www.wikidata.org/entity/Q36155,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q79,ingoing,2
16957,http://www.wikidata.org/entity/Q40040586,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q79,ingoing,2
17066,http://www.wikidata.org/entity/Q4120726,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q79,ingoing,2
17344,http://www.wikidata.org/entity/Q49077,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q79,ingoing,2
27544,http://www.wikidata.org/entity/Q322607,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q79,ingoing,2
27545,http://www.wikidata.org/entity/Q3299864,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q79,ingoing,2
27546,http://www.wikidata.org/entity/Q4120726,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q79,ingoing,2
27548,http://www.wikidata.org/entity/Q49077,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q79,ingoing,2
17969,http://www.wikidata.org/entity/Q49077,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q822,ingoing,2
14987,http://www.wikidata.org/entity/Q49077,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q858,ingoing,2
15425,http://www.wikidata.org/entity/Q797481,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q858,ingoing,2
17312,http://www.wikidata.org/entity/Q18324560,http://www.wikidata.org/prop/direct/P495,http://www.wikidata.org/entity/Q858,ingoing,2
17473,http://www.wikidata.org/entity/Q322607,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q858,ingoing,2
17476,http://www.wikidata.org/entity/Q49077,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q858,ingoing,2
1,http://www.wikidata.org/entity/Q521199,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q307226,ingoing,3
7,http://www.wikidata.org/entity/Q7723360,http://www.wikidata.org/prop/direct/P449,http://www.wikidata.org/entity/Q216108,outgoing,6
37,http://www.wikidata.org/entity/Q673517,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q1276579,ingoing,8
