,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q16931464,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q6539,ingoing,[]
1,http://www.wikidata.org/entity/Q16941430,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q6539,ingoing,[]
2,http://www.wikidata.org/entity/Q1706363,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q6539,ingoing,[]
3,http://www.wikidata.org/entity/Q1865480,http://www.wikidata.org/prop/direct/P793,http://www.wikidata.org/entity/Q6539,ingoing,[]
4,http://www.wikidata.org/entity/Q6534,http://www.wikidata.org/prop/direct/P793,http://www.wikidata.org/entity/Q6539,ingoing,[]
0,http://www.wikidata.org/entity/Q1549592,http://www.wikidata.org/prop/direct/P1001,http://www.wikidata.org/entity/Q70972,ingoing,[]
1,http://www.wikidata.org/entity/Q22922748,http://www.wikidata.org/prop/direct/P1001,http://www.wikidata.org/entity/Q70972,ingoing,[]
2,http://www.wikidata.org/entity/Q23719423,http://www.wikidata.org/prop/direct/P1001,http://www.wikidata.org/entity/Q70972,ingoing,[]
5,http://www.wikidata.org/entity/Q205367,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q70972,ingoing,[]
6,http://www.wikidata.org/entity/Q1142326,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q70972,ingoing,[]
7,http://www.wikidata.org/entity/Q157070,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q70972,ingoing,[]
8,http://www.wikidata.org/entity/Q849324,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q70972,ingoing,[]
11,http://www.wikidata.org/entity/Q170604,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q70972,ingoing,[]
12,http://www.wikidata.org/entity/Q19153385,http://www.wikidata.org/prop/direct/P1433,http://www.wikidata.org/entity/Q70972,ingoing,[]
14,http://www.wikidata.org/entity/Q69323,http://www.wikidata.org/prop/direct/P155,http://www.wikidata.org/entity/Q70972,ingoing,[]
16,http://www.wikidata.org/entity/Q46370,http://www.wikidata.org/prop/direct/P156,http://www.wikidata.org/entity/Q70972,ingoing,[]
104,http://www.wikidata.org/entity/Q164393,http://www.wikidata.org/prop/direct/P1891,http://www.wikidata.org/entity/Q70972,ingoing,[]
119,http://www.wikidata.org/entity/Q2960721,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/entity/Q70972,ingoing,[]
450,http://www.wikidata.org/entity/Q7807502,http://www.wikidata.org/prop/direct/P301,http://www.wikidata.org/entity/Q70972,ingoing,[]
451,http://www.wikidata.org/entity/Q7849982,http://www.wikidata.org/prop/direct/P301,http://www.wikidata.org/entity/Q70972,ingoing,[]
