,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q6539,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q142,outgoing,[]
1,http://www.wikidata.org/entity/Q6539,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q90,outgoing,[]
2,http://www.wikidata.org/entity/Q6539,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q124757,outgoing,[]
3,http://www.wikidata.org/entity/Q6539,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q6534,outgoing,[]
0,http://www.wikidata.org/entity/Q70972,http://www.wikidata.org/prop/direct/P122,http://www.wikidata.org/entity/Q184558,outgoing,[]
2,http://www.wikidata.org/entity/Q70972,http://www.wikidata.org/prop/direct/P155,http://www.wikidata.org/entity/Q46370,outgoing,[]
4,http://www.wikidata.org/entity/Q70972,http://www.wikidata.org/prop/direct/P156,http://www.wikidata.org/entity/Q69323,outgoing,[]
5,http://www.wikidata.org/entity/Q70972,http://www.wikidata.org/prop/direct/P194,http://www.wikidata.org/entity/Q207304,outgoing,[]
6,http://www.wikidata.org/entity/Q70972,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q28050776,outgoing,[]
7,http://www.wikidata.org/entity/Q70972,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3024240,outgoing,[]
8,http://www.wikidata.org/entity/Q70972,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3624078,outgoing,[]
9,http://www.wikidata.org/entity/Q70972,http://www.wikidata.org/prop/direct/P3179,http://www.wikidata.org/entity/Q142,outgoing,[]
10,http://www.wikidata.org/entity/Q70972,http://www.wikidata.org/prop/direct/P36,http://www.wikidata.org/entity/Q90,outgoing,[]
11,http://www.wikidata.org/entity/Q70972,http://www.wikidata.org/prop/direct/P37,http://www.wikidata.org/entity/Q150,outgoing,[]
12,http://www.wikidata.org/entity/Q70972,http://www.wikidata.org/prop/direct/P38,http://www.wikidata.org/entity/Q607248,outgoing,[]
13,http://www.wikidata.org/entity/Q70972,http://www.wikidata.org/prop/direct/P85,http://www.wikidata.org/entity/Q1136397,outgoing,[]
0,http://www.wikidata.org/entity/Q507083,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q189290,outgoing,[]
1,http://www.wikidata.org/entity/Q507083,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q47064,outgoing,[]
2,http://www.wikidata.org/entity/Q507083,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q150,outgoing,[]
3,http://www.wikidata.org/entity/Q507083,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q10855216,outgoing,[]
4,http://www.wikidata.org/entity/Q507083,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q19689642,outgoing,[]
5,http://www.wikidata.org/entity/Q507083,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q90,outgoing,[]
6,http://www.wikidata.org/entity/Q507083,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/entity/Q90,outgoing,[]
7,http://www.wikidata.org/entity/Q507083,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097,outgoing,[]
8,http://www.wikidata.org/entity/Q507083,http://www.wikidata.org/prop/direct/P241,http://www.wikidata.org/entity/Q29171,outgoing,[]
9,http://www.wikidata.org/entity/Q507083,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q142,outgoing,[]
10,http://www.wikidata.org/entity/Q507083,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,outgoing,[]
11,http://www.wikidata.org/entity/Q507083,http://www.wikidata.org/prop/direct/P410,http://www.wikidata.org/entity/Q2487961,outgoing,[]
12,http://www.wikidata.org/entity/Q507083,http://www.wikidata.org/prop/direct/P598,http://www.wikidata.org/entity/Q2813630,outgoing,[]
13,http://www.wikidata.org/entity/Q507083,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q3382871,outgoing,[]
0,http://www.wikidata.org/entity/Q822225,http://www.wikidata.org/prop/direct/P1196,http://www.wikidata.org/entity/Q149086,outgoing,[]
1,http://www.wikidata.org/entity/Q822225,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q90,outgoing,[]
2,http://www.wikidata.org/entity/Q822225,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/entity/Q90,outgoing,[]
3,http://www.wikidata.org/entity/Q822225,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097,outgoing,[]
4,http://www.wikidata.org/entity/Q822225,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q142,outgoing,[]
5,http://www.wikidata.org/entity/Q822225,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,outgoing,[]
6,http://www.wikidata.org/entity/Q822225,http://www.wikidata.org/prop/direct/P39,http://www.wikidata.org/entity/Q21065832,outgoing,[]
7,http://www.wikidata.org/entity/Q822225,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q18156008,outgoing,[]
8,http://www.wikidata.org/entity/Q822225,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q14649171,outgoing,[]
0,http://www.wikidata.org/entity/Q1079501,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q142,outgoing,[]
1,http://www.wikidata.org/entity/Q1079501,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q52371,outgoing,[]
0,http://www.wikidata.org/entity/Q1059047,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q142,outgoing,[]
