,subject,predicate,object,type_df,iteration
4,http://www.wikidata.org/entity/Q6534,http://www.wikidata.org/prop/direct/P793,http://www.wikidata.org/entity/Q6539,ingoing,1
3,http://www.wikidata.org/entity/Q6539,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q6534,outgoing,1
44,http://www.wikidata.org/entity/Q2250551,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q70972,ingoing,2
98,http://www.wikidata.org/entity/Q60022,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q70972,ingoing,2
456,http://www.wikidata.org/entity/Q1723442,http://www.wikidata.org/prop/direct/P495,http://www.wikidata.org/entity/Q70972,ingoing,2
526,http://www.wikidata.org/entity/Q6539,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q70972,ingoing,2
12,http://www.wikidata.org/entity/Q70972,http://www.wikidata.org/prop/direct/P38,http://www.wikidata.org/entity/Q607248,outgoing,2
1,http://www.wikidata.org/entity/Q6539,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q507083,ingoing,2
1,http://www.wikidata.org/entity/Q6539,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q822225,ingoing,2
2,http://www.wikidata.org/entity/Q6539,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q1079501,ingoing,2
12,http://www.wikidata.org/entity/Q6539,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q1059047,ingoing,2
3,http://www.wikidata.org/entity/Q3172639,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q264323,outgoing,3
2,http://www.wikidata.org/entity/Q2119254,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q576434,outgoing,3
5,http://www.wikidata.org/entity/Q3385717,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q576434,outgoing,3
0,http://www.wikidata.org/entity/Q28819543,http://www.wikidata.org/prop/direct/P112,http://www.wikidata.org/entity/Q7758,ingoing,5
20,http://www.wikidata.org/entity/Q372652,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/entity/Q1792159,outgoing,5
4,http://www.wikidata.org/entity/Q20266330,http://www.wikidata.org/prop/direct/P112,http://www.wikidata.org/entity/Q37134,ingoing,5
12,http://www.wikidata.org/entity/Q20266330,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q37134,ingoing,5
18,http://www.wikidata.org/entity/Q2006877,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q130586,ingoing,5
35,http://www.wikidata.org/entity/Q49767,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/entity/Q2985590,outgoing,5
14,http://www.wikidata.org/entity/Q2842363,http://www.wikidata.org/prop/direct/P39,http://www.wikidata.org/entity/Q3780304,outgoing,5
7,http://www.wikidata.org/entity/Q3260947,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/entity/Q234364,outgoing,5
15,http://www.wikidata.org/entity/Q347372,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/entity/Q1792159,outgoing,5
24,http://www.wikidata.org/entity/Q45662,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/entity/Q1792159,outgoing,5
16,http://www.wikidata.org/entity/Q1361059,http://www.wikidata.org/prop/direct/P39,http://www.wikidata.org/entity/Q3780304,outgoing,5
24,http://www.wikidata.org/entity/Q350662,http://www.wikidata.org/prop/direct/P39,http://www.wikidata.org/entity/Q3780304,outgoing,5
0,http://www.wikidata.org/entity/Q3123133,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
0,http://www.wikidata.org/entity/Q3123115,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
0,http://www.wikidata.org/entity/Q3123136,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
0,http://www.wikidata.org/entity/Q3123102,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
0,http://www.wikidata.org/entity/Q3123121,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
0,http://www.wikidata.org/entity/Q3123099,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
0,http://www.wikidata.org/entity/Q3123101,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
0,http://www.wikidata.org/entity/Q3123138,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
1,http://www.wikidata.org/entity/Q3123103,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
0,http://www.wikidata.org/entity/Q3123123,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
0,http://www.wikidata.org/entity/Q3123118,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
0,http://www.wikidata.org/entity/Q3123096,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
0,http://www.wikidata.org/entity/Q3123125,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
0,http://www.wikidata.org/entity/Q3123097,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
0,http://www.wikidata.org/entity/Q3123105,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
0,http://www.wikidata.org/entity/Q3123104,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
1,http://www.wikidata.org/entity/Q3123109,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
0,http://www.wikidata.org/entity/Q3123114,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
0,http://www.wikidata.org/entity/Q3123112,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
1,http://www.wikidata.org/entity/Q3123120,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
0,http://www.wikidata.org/entity/Q3123131,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
0,http://www.wikidata.org/entity/Q3123128,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
0,http://www.wikidata.org/entity/Q3123127,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
0,http://www.wikidata.org/entity/Q3123122,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
0,http://www.wikidata.org/entity/Q3123094,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
0,http://www.wikidata.org/entity/Q3123130,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
0,http://www.wikidata.org/entity/Q3123108,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
1,http://www.wikidata.org/entity/Q3123092,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
0,http://www.wikidata.org/entity/Q3123113,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
0,http://www.wikidata.org/entity/Q19956008,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
0,http://www.wikidata.org/entity/Q3123119,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
0,http://www.wikidata.org/entity/Q3123107,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
0,http://www.wikidata.org/entity/Q3123111,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2250551,outgoing,9
