,iteration,path_expanded,nb_expanded,node_expanded,score
0,1,3-outgoing-http://www.wikidata.org/entity/Q6539;http://www.wikidata.org/prop/direct/P710,1,['http://www.wikidata.org/entity/Q6539'],5
1,2,3-ingoing-http://www.wikidata.org/prop/direct/P27;http://www.wikidata.org/entity/Q70972,5,"['http://www.wikidata.org/entity/Q70972', 'http://www.wikidata.org/entity/Q507083', 'http://www.wikidata.org/entity/Q822225', 'http://www.wikidata.org/entity/Q1079501', 'http://www.wikidata.org/entity/Q1059047']",81
2,3,3-ingoing-http://www.wikidata.org/prop/direct/P17;http://www.wikidata.org/entity/Q70972,81,"['http://www.wikidata.org/entity/Q39607', 'http://www.wikidata.org/entity/Q48693070', 'http://www.wikidata.org/entity/Q355979', 'http://www.wikidata.org/entity/Q48673306', 'http://www.wikidata.org/entity/Q17355776', 'http://www.wikidata.org/entity/Q2839900', 'http://www.wikidata.org/entity/Q3340690', 'http://www.wikidata.org/entity/Q24982149', 'http://www.wikidata.org/entity/Q27666585', 'http://www.wikidata.org/entity/Q12257300', 'http://www.wikidata.org/entity/Q640198', 'http://www.wikidata.org/entity/Q236554', 'http://www.wikidata.org/entity/Q30728323', 'http://www.wikidata.org/entity/Q656230', 'http://www.wikidata.org/entity/Q1159403', 'http://www.wikidata.org/entity/Q28486131', 'http://www.wikidata.org/entity/Q3119556', 'http://www.wikidata.org/entity/Q19325138', 'http://www.wikidata.org/entity/Q3260291', 'http://www.wikidata.org/entity/Q18508602', 'http://www.wikidata.org/entity/Q46378713', 'http://www.wikidata.org/entity/Q33052449', 'http://www.wikidata.org/entity/Q3439532', 'http://www.wikidata.org/entity/Q165534', 'http://www.wikidata.org/entity/Q3382780', 'http://www.wikidata.org/entity/Q1063339', 'http://www.wikidata.org/entity/Q3166457', 'http://www.wikidata.org/entity/Q24263015', 'http://www.wikidata.org/entity/Q3172639', 'http://www.wikidata.org/entity/Q31393025', 'http://www.wikidata.org/entity/Q2884658', 'http://www.wikidata.org/entity/Q16230289', 'http://www.wikidata.org/entity/Q3085773', 'http://www.wikidata.org/entity/Q2119254', 'http://www.wikidata.org/entity/Q21545933', 'http://www.wikidata.org/entity/Q205783', 'http://www.wikidata.org/entity/Q42404373', 'http://www.wikidata.org/entity/Q47492704', 'http://www.wikidata.org/entity/Q3275244', 'http://www.wikidata.org/entity/Q27669509', 'http://www.wikidata.org/entity/Q29561796', 'http://www.wikidata.org/entity/Q3085121', 'http://www.wikidata.org/entity/Q26593901', 'http://www.wikidata.org/entity/Q30729543', 'http://www.wikidata.org/entity/Q19629062', 'http://www.wikidata.org/entity/Q41462174', 'http://www.wikidata.org/entity/Q20961738', 'http://www.wikidata.org/entity/Q28645607', 'http://www.wikidata.org/entity/Q18670781', 'http://www.wikidata.org/entity/Q18526887', 'http://www.wikidata.org/entity/Q3303310', 'http://www.wikidata.org/entity/Q5620681', 'http://www.wikidata.org/entity/Q35384049', 'http://www.wikidata.org/entity/Q30244380', 'http://www.wikidata.org/entity/Q2849880', 'http://www.wikidata.org/entity/Q47492678', 'http://www.wikidata.org/entity/Q2827908', 'http://www.wikidata.org/entity/Q24014304', 'http://www.wikidata.org/entity/Q21406128', 'http://www.wikidata.org/entity/Q5740405', 'http://www.wikidata.org/entity/Q43185383', 'http://www.wikidata.org/entity/Q1677992', 'http://www.wikidata.org/entity/Q27430415', 'http://www.wikidata.org/entity/Q31202325', 'http://www.wikidata.org/entity/Q46731401', 'http://www.wikidata.org/entity/Q3385717', 'http://www.wikidata.org/entity/Q22952607', 'http://www.wikidata.org/entity/Q3158515', 'http://www.wikidata.org/entity/Q18671517', 'http://www.wikidata.org/entity/Q316736', 'http://www.wikidata.org/entity/Q18559777', 'http://www.wikidata.org/entity/Q947485', 'http://www.wikidata.org/entity/Q27652820', 'http://www.wikidata.org/entity/Q50085562', 'http://www.wikidata.org/entity/Q440160', 'http://www.wikidata.org/entity/Q39408087', 'http://www.wikidata.org/entity/Q38871610', 'http://www.wikidata.org/entity/Q5359', 'http://www.wikidata.org/entity/Q30542843', 'http://www.wikidata.org/entity/Q126462', 'http://www.wikidata.org/entity/Q3220014']",79
3,4,3-ingoing-http://www.wikidata.org/prop/direct/P166;http://www.wikidata.org/entity/Q11599352,79,"['http://www.wikidata.org/entity/Q3365529', 'http://www.wikidata.org/entity/Q3455424', 'http://www.wikidata.org/entity/Q16009063', 'http://www.wikidata.org/entity/Q836484', 'http://www.wikidata.org/entity/Q16684361', 'http://www.wikidata.org/entity/Q2859616', 'http://www.wikidata.org/entity/Q15149915', 'http://www.wikidata.org/entity/Q2983591', 'http://www.wikidata.org/entity/Q30045370', 'http://www.wikidata.org/entity/Q2638620', 'http://www.wikidata.org/entity/Q1748506', 'http://www.wikidata.org/entity/Q30107050', 'http://www.wikidata.org/entity/Q17174556', 'http://www.wikidata.org/entity/Q378193', 'http://www.wikidata.org/entity/Q37613311', 'http://www.wikidata.org/entity/Q3455325', 'http://www.wikidata.org/entity/Q30106701', 'http://www.wikidata.org/entity/Q4393883', 'http://www.wikidata.org/entity/Q11598948', 'http://www.wikidata.org/entity/Q3455319', 'http://www.wikidata.org/entity/Q17173874', 'http://www.wikidata.org/entity/Q2006248', 'http://www.wikidata.org/entity/Q3455242', 'http://www.wikidata.org/entity/Q21427080', 'http://www.wikidata.org/entity/Q31107579', 'http://www.wikidata.org/entity/Q3366273', 'http://www.wikidata.org/entity/Q3455221', 'http://www.wikidata.org/entity/Q3414561', 'http://www.wikidata.org/entity/Q21662516', 'http://www.wikidata.org/entity/Q174013', 'http://www.wikidata.org/entity/Q15971933', 'http://www.wikidata.org/entity/Q3455271', 'http://www.wikidata.org/entity/Q7263709', 'http://www.wikidata.org/entity/Q1937108', 'http://www.wikidata.org/entity/Q28496651', 'http://www.wikidata.org/entity/Q2971428', 'http://www.wikidata.org/entity/Q23498167', 'http://www.wikidata.org/entity/Q33291377', 'http://www.wikidata.org/entity/Q18415117', 'http://www.wikidata.org/entity/Q7170064', 'http://www.wikidata.org/entity/Q3245611', 'http://www.wikidata.org/entity/Q38566130', 'http://www.wikidata.org/entity/Q1423196', 'http://www.wikidata.org/entity/Q17175258', 'http://www.wikidata.org/entity/Q11598688', 'http://www.wikidata.org/entity/Q15261833', 'http://www.wikidata.org/entity/Q11609173', 'http://www.wikidata.org/entity/Q30243324', 'http://www.wikidata.org/entity/Q3455260', 'http://www.wikidata.org/entity/Q5914756', 'http://www.wikidata.org/entity/Q3455169', 'http://www.wikidata.org/entity/Q4950099', 'http://www.wikidata.org/entity/Q3062164', 'http://www.wikidata.org/entity/Q2059800', 'http://www.wikidata.org/entity/Q184646', 'http://www.wikidata.org/entity/Q21099923', 'http://www.wikidata.org/entity/Q39207212', 'http://www.wikidata.org/entity/Q47245351', 'http://www.wikidata.org/entity/Q2250551', 'http://www.wikidata.org/entity/Q3501270', 'http://www.wikidata.org/entity/Q3455158', 'http://www.wikidata.org/entity/Q1335445', 'http://www.wikidata.org/entity/Q3455159', 'http://www.wikidata.org/entity/Q3383460', 'http://www.wikidata.org/entity/Q11599352', 'http://www.wikidata.org/entity/Q58389', 'http://www.wikidata.org/entity/Q3455237', 'http://www.wikidata.org/entity/Q3397402', 'http://www.wikidata.org/entity/Q3455172', 'http://www.wikidata.org/entity/Q30243381', 'http://www.wikidata.org/entity/Q60022', 'http://www.wikidata.org/entity/Q3439798', 'http://www.wikidata.org/entity/Q3455317', 'http://www.wikidata.org/entity/Q442404', 'http://www.wikidata.org/entity/Q30045238', 'http://www.wikidata.org/entity/Q21095876', 'http://www.wikidata.org/entity/Q27158192', 'http://www.wikidata.org/entity/Q37011795', 'http://www.wikidata.org/entity/Q3421910']",164
4,5,3-ingoing-http://www.wikidata.org/prop/direct/P945;http://www.wikidata.org/entity/Q70972,163,"['http://www.wikidata.org/entity/Q2847951', 'http://www.wikidata.org/entity/Q3529040', 'http://www.wikidata.org/entity/Q692540', 'http://www.wikidata.org/entity/Q430775', 'http://www.wikidata.org/entity/Q2087492', 'http://www.wikidata.org/entity/Q72038', 'http://www.wikidata.org/entity/Q927020', 'http://www.wikidata.org/entity/Q2959107', 'http://www.wikidata.org/entity/Q3188483', 'http://www.wikidata.org/entity/Q2960596', 'http://www.wikidata.org/entity/Q320383', 'http://www.wikidata.org/entity/Q695929', 'http://www.wikidata.org/entity/Q2861840', 'http://www.wikidata.org/entity/Q7750', 'http://www.wikidata.org/entity/Q350613', 'http://www.wikidata.org/entity/Q117637', 'http://www.wikidata.org/entity/Q464657', 'http://www.wikidata.org/entity/Q562934', 'http://www.wikidata.org/entity/Q3383254', 'http://www.wikidata.org/entity/Q3052522', 'http://www.wikidata.org/entity/Q696039', 'http://www.wikidata.org/entity/Q2756699', 'http://www.wikidata.org/entity/Q3175490', 'http://www.wikidata.org/entity/Q3378943', 'http://www.wikidata.org/entity/Q1932165', 'http://www.wikidata.org/entity/Q130822', 'http://www.wikidata.org/entity/Q3261488', 'http://www.wikidata.org/entity/Q314196', 'http://www.wikidata.org/entity/Q3580044', 'http://www.wikidata.org/entity/Q183226', 'http://www.wikidata.org/entity/Q2844619', 'http://www.wikidata.org/entity/Q2960742', 'http://www.wikidata.org/entity/Q3260342', 'http://www.wikidata.org/entity/Q2856841', 'http://www.wikidata.org/entity/Q2850743', 'http://www.wikidata.org/entity/Q3304977', 'http://www.wikidata.org/entity/Q459197', 'http://www.wikidata.org/entity/Q3175220', 'http://www.wikidata.org/entity/Q7758', 'http://www.wikidata.org/entity/Q2861739', 'http://www.wikidata.org/entity/Q3064015', 'http://www.wikidata.org/entity/Q2958273', 'http://www.wikidata.org/entity/Q3382964', 'http://www.wikidata.org/entity/Q1777234', 'http://www.wikidata.org/entity/Q160499', 'http://www.wikidata.org/entity/Q2959404', 'http://www.wikidata.org/entity/Q2959512', 'http://www.wikidata.org/entity/Q1349502', 'http://www.wikidata.org/entity/Q3262180', 'http://www.wikidata.org/entity/Q3157970', 'http://www.wikidata.org/entity/Q3592298', 'http://www.wikidata.org/entity/Q3264929', 'http://www.wikidata.org/entity/Q130834', 'http://www.wikidata.org/entity/Q2874991', 'http://www.wikidata.org/entity/Q3260479', 'http://www.wikidata.org/entity/Q214217', 'http://www.wikidata.org/entity/Q372652', 'http://www.wikidata.org/entity/Q37134', 'http://www.wikidata.org/entity/Q130586', 'http://www.wikidata.org/entity/Q3132341', 'http://www.wikidata.org/entity/Q311637', 'http://www.wikidata.org/entity/Q2862021', 'http://www.wikidata.org/entity/Q1685855', 'http://www.wikidata.org/entity/Q3132389', 'http://www.wikidata.org/entity/Q2976782', 'http://www.wikidata.org/entity/Q296023', 'http://www.wikidata.org/entity/Q676301', 'http://www.wikidata.org/entity/Q3436675', 'http://www.wikidata.org/entity/Q2960522', 'http://www.wikidata.org/entity/Q2978366', 'http://www.wikidata.org/entity/Q3133944', 'http://www.wikidata.org/entity/Q697609', 'http://www.wikidata.org/entity/Q3184328', 'http://www.wikidata.org/entity/Q2851225', 'http://www.wikidata.org/entity/Q445056', 'http://www.wikidata.org/entity/Q326179', 'http://www.wikidata.org/entity/Q343621', 'http://www.wikidata.org/entity/Q3573827', 'http://www.wikidata.org/entity/Q156373', 'http://www.wikidata.org/entity/Q49767', 'http://www.wikidata.org/entity/Q3420945', 'http://www.wikidata.org/entity/Q7771', 'http://www.wikidata.org/entity/Q538645', 'http://www.wikidata.org/entity/Q964210', 'http://www.wikidata.org/entity/Q2851315', 'http://www.wikidata.org/entity/Q444290', 'http://www.wikidata.org/entity/Q3052519', 'http://www.wikidata.org/entity/Q694048', 'http://www.wikidata.org/entity/Q2960589', 'http://www.wikidata.org/entity/Q713664', 'http://www.wikidata.org/entity/Q3370289', 'http://www.wikidata.org/entity/Q3291805', 'http://www.wikidata.org/entity/Q2842363', 'http://www.wikidata.org/entity/Q2857114', 'http://www.wikidata.org/entity/Q959645', 'http://www.wikidata.org/entity/Q250003', 'http://www.wikidata.org/entity/Q3175731', 'http://www.wikidata.org/entity/Q1879870', 'http://www.wikidata.org/entity/Q3260947', 'http://www.wikidata.org/entity/Q347372', 'http://www.wikidata.org/entity/Q289491', 'http://www.wikidata.org/entity/Q3083388', 'http://www.wikidata.org/entity/Q3260698', 'http://www.wikidata.org/entity/Q186256', 'http://www.wikidata.org/entity/Q2966514', 'http://www.wikidata.org/entity/Q289113', 'http://www.wikidata.org/entity/Q45662', 'http://www.wikidata.org/entity/Q161106', 'http://www.wikidata.org/entity/Q116019', 'http://www.wikidata.org/entity/Q705917', 'http://www.wikidata.org/entity/Q3166582', 'http://www.wikidata.org/entity/Q298784', 'http://www.wikidata.org/entity/Q376637', 'http://www.wikidata.org/entity/Q372750', 'http://www.wikidata.org/entity/Q202289', 'http://www.wikidata.org/entity/Q941947', 'http://www.wikidata.org/entity/Q3262391', 'http://www.wikidata.org/entity/Q573577', 'http://www.wikidata.org/entity/Q3083593', 'http://www.wikidata.org/entity/Q2851179', 'http://www.wikidata.org/entity/Q222606', 'http://www.wikidata.org/entity/Q1361059', 'http://www.wikidata.org/entity/Q2871293', 'http://www.wikidata.org/entity/Q546705', 'http://www.wikidata.org/entity/Q742723', 'http://www.wikidata.org/entity/Q15193', 'http://www.wikidata.org/entity/Q2960641', 'http://www.wikidata.org/entity/Q3580080', 'http://www.wikidata.org/entity/Q343990', 'http://www.wikidata.org/entity/Q506769', 'http://www.wikidata.org/entity/Q3351471', 'http://www.wikidata.org/entity/Q508363', 'http://www.wikidata.org/entity/Q2976889', 'http://www.wikidata.org/entity/Q1374377', 'http://www.wikidata.org/entity/Q128488', 'http://www.wikidata.org/entity/Q2871371', 'http://www.wikidata.org/entity/Q13508509', 'http://www.wikidata.org/entity/Q2340995', 'http://www.wikidata.org/entity/Q773658', 'http://www.wikidata.org/entity/Q984608', 'http://www.wikidata.org/entity/Q2853507', 'http://www.wikidata.org/entity/Q3175745', 'http://www.wikidata.org/entity/Q3093836', 'http://www.wikidata.org/entity/Q2959676', 'http://www.wikidata.org/entity/Q3592369', 'http://www.wikidata.org/entity/Q350662', 'http://www.wikidata.org/entity/Q155002', 'http://www.wikidata.org/entity/Q281781', 'http://www.wikidata.org/entity/Q2850775', 'http://www.wikidata.org/entity/Q131691', 'http://www.wikidata.org/entity/Q7732', 'http://www.wikidata.org/entity/Q3216961', 'http://www.wikidata.org/entity/Q2415701', 'http://www.wikidata.org/entity/Q316518', 'http://www.wikidata.org/entity/Q312676', 'http://www.wikidata.org/entity/Q454837', 'http://www.wikidata.org/entity/Q312325', 'http://www.wikidata.org/entity/Q2958020', 'http://www.wikidata.org/entity/Q163755', 'http://www.wikidata.org/entity/Q888353', 'http://www.wikidata.org/entity/Q312305', 'http://www.wikidata.org/entity/Q1654307', 'http://www.wikidata.org/entity/Q2856703']",46
5,6,3-ingoing-http://www.wikidata.org/prop/direct/P50;http://www.wikidata.org/entity/Q165534,45,"['http://www.wikidata.org/entity/Q1345264', 'http://www.wikidata.org/entity/Q20950078', 'http://www.wikidata.org/entity/Q339926', 'http://www.wikidata.org/entity/Q15967480', 'http://www.wikidata.org/entity/Q2980713', 'http://www.wikidata.org/entity/Q15967763', 'http://www.wikidata.org/entity/Q165794', 'http://www.wikidata.org/entity/Q1872067', 'http://www.wikidata.org/entity/Q2871664', 'http://www.wikidata.org/entity/Q1451071', 'http://www.wikidata.org/entity/Q47501919', 'http://www.wikidata.org/entity/Q320453', 'http://www.wikidata.org/entity/Q3172488', 'http://www.wikidata.org/entity/Q3592104', 'http://www.wikidata.org/entity/Q3262518', 'http://www.wikidata.org/entity/Q15430530', 'http://www.wikidata.org/entity/Q3385144', 'http://www.wikidata.org/entity/Q376344', 'http://www.wikidata.org/entity/Q3102138', 'http://www.wikidata.org/entity/Q3260904', 'http://www.wikidata.org/entity/Q15967486', 'http://www.wikidata.org/entity/Q2853869', 'http://www.wikidata.org/entity/Q3083791', 'http://www.wikidata.org/entity/Q3135553', 'http://www.wikidata.org/entity/Q3051897', 'http://www.wikidata.org/entity/Q1653358', 'http://www.wikidata.org/entity/Q15967477', 'http://www.wikidata.org/entity/Q358757', 'http://www.wikidata.org/entity/Q2834479', 'http://www.wikidata.org/entity/Q3370224', 'http://www.wikidata.org/entity/Q3158937', 'http://www.wikidata.org/entity/Q3261048', 'http://www.wikidata.org/entity/Q3311151', 'http://www.wikidata.org/entity/Q16029423', 'http://www.wikidata.org/entity/Q673800', 'http://www.wikidata.org/entity/Q2844717', 'http://www.wikidata.org/entity/Q2977406', 'http://www.wikidata.org/entity/Q14510990', 'http://www.wikidata.org/entity/Q3384594', 'http://www.wikidata.org/entity/Q3074094', 'http://www.wikidata.org/entity/Q3158720', 'http://www.wikidata.org/entity/Q2960698', 'http://www.wikidata.org/entity/Q877593', 'http://www.wikidata.org/entity/Q2851096', 'http://www.wikidata.org/entity/Q543276']",43
6,7,3-ingoing-http://www.wikidata.org/prop/direct/P50;http://www.wikidata.org/entity/Q49767,43,"['http://www.wikidata.org/entity/Q3819014', 'http://www.wikidata.org/entity/Q735078', 'http://www.wikidata.org/entity/Q769831', 'http://www.wikidata.org/entity/Q3232564', 'http://www.wikidata.org/entity/Q3795979', 'http://www.wikidata.org/entity/Q19177839', 'http://www.wikidata.org/entity/Q3828676', 'http://www.wikidata.org/entity/Q3235201', 'http://www.wikidata.org/entity/Q4004187', 'http://www.wikidata.org/entity/Q3208618', 'http://www.wikidata.org/entity/Q3772047', 'http://www.wikidata.org/entity/Q3791124', 'http://www.wikidata.org/entity/Q3824142', 'http://www.wikidata.org/entity/Q44006792', 'http://www.wikidata.org/entity/Q549625', 'http://www.wikidata.org/entity/Q3201760', 'http://www.wikidata.org/entity/Q3793386', 'http://www.wikidata.org/entity/Q3823761', 'http://www.wikidata.org/entity/Q3713527', 'http://www.wikidata.org/entity/Q3995097', 'http://www.wikidata.org/entity/Q1169224', 'http://www.wikidata.org/entity/Q3224496', 'http://www.wikidata.org/entity/Q3984255', 'http://www.wikidata.org/entity/Q3225061', 'http://www.wikidata.org/entity/Q1237362', 'http://www.wikidata.org/entity/Q3822419', 'http://www.wikidata.org/entity/Q3961954', 'http://www.wikidata.org/entity/Q15733485', 'http://www.wikidata.org/entity/Q3220600', 'http://www.wikidata.org/entity/Q3821491', 'http://www.wikidata.org/entity/Q3822132', 'http://www.wikidata.org/entity/Q3793229', 'http://www.wikidata.org/entity/Q3818875', 'http://www.wikidata.org/entity/Q3222754', 'http://www.wikidata.org/entity/Q17635967', 'http://www.wikidata.org/entity/Q3205644', 'http://www.wikidata.org/entity/Q3232021', 'http://www.wikidata.org/entity/Q19177975', 'http://www.wikidata.org/entity/Q28914624', 'http://www.wikidata.org/entity/Q3822008', 'http://www.wikidata.org/entity/Q21193941', 'http://www.wikidata.org/entity/Q1232053', 'http://www.wikidata.org/entity/Q3213544']",41
7,8,3-ingoing-http://www.wikidata.org/prop/direct/P31;http://www.wikidata.org/entity/Q2250551,41,"['http://www.wikidata.org/entity/Q19234196', 'http://www.wikidata.org/entity/Q19211720', 'http://www.wikidata.org/entity/Q753251', 'http://www.wikidata.org/entity/Q2263221', 'http://www.wikidata.org/entity/Q19175048', 'http://www.wikidata.org/entity/Q19179183', 'http://www.wikidata.org/entity/Q19224609', 'http://www.wikidata.org/entity/Q29186080', 'http://www.wikidata.org/entity/Q19220932', 'http://www.wikidata.org/entity/Q19128810', 'http://www.wikidata.org/entity/Q19211723', 'http://www.wikidata.org/entity/Q1097238', 'http://www.wikidata.org/entity/Q19184600', 'http://www.wikidata.org/entity/Q29187862', 'http://www.wikidata.org/entity/Q19211998', 'http://www.wikidata.org/entity/Q19212885', 'http://www.wikidata.org/entity/Q19234677', 'http://www.wikidata.org/entity/Q19198018', 'http://www.wikidata.org/entity/Q29189282', 'http://www.wikidata.org/entity/Q19208400', 'http://www.wikidata.org/entity/Q29248730', 'http://www.wikidata.org/entity/Q47461229', 'http://www.wikidata.org/entity/Q19215004', 'http://www.wikidata.org/entity/Q19192870', 'http://www.wikidata.org/entity/Q19208339', 'http://www.wikidata.org/entity/Q2693509', 'http://www.wikidata.org/entity/Q19177045', 'http://www.wikidata.org/entity/Q19183626', 'http://www.wikidata.org/entity/Q19223096', 'http://www.wikidata.org/entity/Q19231862', 'http://www.wikidata.org/entity/Q3155952', 'http://www.wikidata.org/entity/Q19219139', 'http://www.wikidata.org/entity/Q19199856', 'http://www.wikidata.org/entity/Q19220939', 'http://www.wikidata.org/entity/Q19199823', 'http://www.wikidata.org/entity/Q19194259', 'http://www.wikidata.org/entity/Q23317798', 'http://www.wikidata.org/entity/Q3233736', 'http://www.wikidata.org/entity/Q19224085', 'http://www.wikidata.org/entity/Q19213986', 'http://www.wikidata.org/entity/Q19224195']",35
8,9,3-outgoing-http://www.wikidata.org/entity/Q130586;http://www.wikidata.org/prop/direct/P166,35,"['http://www.wikidata.org/entity/Q3123133', 'http://www.wikidata.org/entity/Q3123115', 'http://www.wikidata.org/entity/Q3123136', 'http://www.wikidata.org/entity/Q3123102', 'http://www.wikidata.org/entity/Q3123121', 'http://www.wikidata.org/entity/Q3123099', 'http://www.wikidata.org/entity/Q3123101', 'http://www.wikidata.org/entity/Q3123138', 'http://www.wikidata.org/entity/Q3123103', 'http://www.wikidata.org/entity/Q3123123', 'http://www.wikidata.org/entity/Q3123118', 'http://www.wikidata.org/entity/Q3123096', 'http://www.wikidata.org/entity/Q3123125', 'http://www.wikidata.org/entity/Q3123097', 'http://www.wikidata.org/entity/Q3123105', 'http://www.wikidata.org/entity/Q3123104', 'http://www.wikidata.org/entity/Q3123109', 'http://www.wikidata.org/entity/Q3123114', 'http://www.wikidata.org/entity/Q3123112', 'http://www.wikidata.org/entity/Q3123120', 'http://www.wikidata.org/entity/Q3123131', 'http://www.wikidata.org/entity/Q3123128', 'http://www.wikidata.org/entity/Q3123127', 'http://www.wikidata.org/entity/Q3123122', 'http://www.wikidata.org/entity/Q3123094', 'http://www.wikidata.org/entity/Q3123130', 'http://www.wikidata.org/entity/Q3123108', 'http://www.wikidata.org/entity/Q3123092', 'http://www.wikidata.org/entity/Q3123113', 'http://www.wikidata.org/entity/Q19956008', 'http://www.wikidata.org/entity/Q3123119', 'http://www.wikidata.org/entity/Q3123107', 'http://www.wikidata.org/entity/Q3123111', 'http://www.wikidata.org/entity/Q3123134', 'http://www.wikidata.org/entity/Q3123117']",34
9,10,3-ingoing-http://www.wikidata.org/prop/direct/P166;http://www.wikidata.org/entity/Q18579585,31,"['http://www.wikidata.org/entity/Q1521491', 'http://www.wikidata.org/entity/Q1147717', 'http://www.wikidata.org/entity/Q705153', 'http://www.wikidata.org/entity/Q12177451', 'http://www.wikidata.org/entity/Q18579585', 'http://www.wikidata.org/entity/Q1326038', 'http://www.wikidata.org/entity/Q15117228', 'http://www.wikidata.org/entity/Q465774', 'http://www.wikidata.org/entity/Q751275', 'http://www.wikidata.org/entity/Q347377', 'http://www.wikidata.org/entity/Q506369', 'http://www.wikidata.org/entity/Q94145', 'http://www.wikidata.org/entity/Q10514065', 'http://www.wikidata.org/entity/Q721030', 'http://www.wikidata.org/entity/Q2045149', 'http://www.wikidata.org/entity/Q2295418', 'http://www.wikidata.org/entity/Q93932', 'http://www.wikidata.org/entity/Q285071', 'http://www.wikidata.org/entity/Q585087', 'http://www.wikidata.org/entity/Q1683024', 'http://www.wikidata.org/entity/Q12177423', 'http://www.wikidata.org/entity/Q699459', 'http://www.wikidata.org/entity/Q93713', 'http://www.wikidata.org/entity/Q2424158', 'http://www.wikidata.org/entity/Q215248', 'http://www.wikidata.org/entity/Q1347889', 'http://www.wikidata.org/entity/Q1126563', 'http://www.wikidata.org/entity/Q15972369', 'http://www.wikidata.org/entity/Q976544', 'http://www.wikidata.org/entity/Q93732', 'http://www.wikidata.org/entity/Q757097']",165
