,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q192408,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q124734,outgoing,[]
1,http://www.wikidata.org/entity/Q8826697,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q4167836,outgoing,[]
0,http://www.wikidata.org/entity/Q3493762,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q178561,outgoing,[]
2,http://www.wikidata.org/entity/Q20919506,http://www.wikidata.org/prop/direct/P1441,http://www.wikidata.org/entity/Q1214433,outgoing,[]
3,http://www.wikidata.org/entity/Q20919506,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q33977,outgoing,[]
4,http://www.wikidata.org/entity/Q20919506,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097,outgoing,[]
5,http://www.wikidata.org/entity/Q20919506,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q29520,outgoing,[]
6,http://www.wikidata.org/entity/Q20919506,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15632617,outgoing,[]
7,http://www.wikidata.org/entity/Q20919506,http://www.wikidata.org/prop/direct/P551,http://www.wikidata.org/entity/Q8686,outgoing,[]
9,http://www.wikidata.org/entity/Q20919506,http://www.wikidata.org/prop/direct/P802,http://www.wikidata.org/entity/Q3196946,outgoing,[]
0,http://www.wikidata.org/entity/Q609016,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q19631939,outgoing,[]
1,http://www.wikidata.org/entity/Q609016,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q28640,outgoing,[]
0,http://www.wikidata.org/entity/Q4964182,http://www.wikidata.org/prop/direct/P1424,http://www.wikidata.org/entity/Q6182610,outgoing,[]
1,http://www.wikidata.org/entity/Q4964182,http://www.wikidata.org/prop/direct/P1542,http://www.wikidata.org/entity/Q30046560,outgoing,[]
2,http://www.wikidata.org/entity/Q4964182,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q16727193,outgoing,[]
3,http://www.wikidata.org/entity/Q4964182,http://www.wikidata.org/prop/direct/P2959,http://www.wikidata.org/entity/Q21287469,outgoing,[]
4,http://www.wikidata.org/entity/Q4964182,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q28640,outgoing,[]
9,http://www.wikidata.org/entity/Q4964182,http://www.wikidata.org/prop/direct/P425,http://www.wikidata.org/entity/Q5891,outgoing,[]
1,http://www.wikidata.org/entity/Q693186,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q1722,outgoing,[]
2,http://www.wikidata.org/entity/Q693186,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/entity/Q1741,outgoing,[]
3,http://www.wikidata.org/entity/Q693186,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097,outgoing,[]
4,http://www.wikidata.org/entity/Q693186,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,outgoing,[]
5,http://www.wikidata.org/entity/Q693186,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q11687769,outgoing,[]
