,subject,predicate,object,type_df,iteration
0,http://www.wikidata.org/entity/Q8826697,http://www.wikidata.org/prop/direct/P301,http://www.wikidata.org/entity/Q192408,outgoing,2
1,http://www.wikidata.org/entity/Q3493762,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q192408,outgoing,3
8,http://www.wikidata.org/entity/Q20919506,http://www.wikidata.org/prop/direct/P793,http://www.wikidata.org/entity/Q192408,outgoing,4
4,http://www.wikidata.org/entity/Q1583454,http://www.wikidata.org/prop/direct/P39,http://www.wikidata.org/entity/Q18627576,outgoing,6
5,http://www.wikidata.org/entity/Q29643341,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q333,outgoing,7
14884,http://www.wikidata.org/entity/Q797481,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q44539,ingoing,9
130,http://www.wikidata.org/entity/Q39505644,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2761147,ingoing,9
5,http://www.wikidata.org/entity/Q144,http://www.wikidata.org/prop/direct/P366,http://www.wikidata.org/entity/Q36963,outgoing,9
59,http://www.wikidata.org/entity/Q638290,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q10289,ingoing,9
2691,http://www.wikidata.org/entity/Q139564,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q515,ingoing,9
3662,http://www.wikidata.org/entity/Q160544,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q515,ingoing,9
7848,http://www.wikidata.org/entity/Q21711493,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q515,ingoing,9
7969,http://www.wikidata.org/entity/Q21979688,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q515,ingoing,9
9178,http://www.wikidata.org/entity/Q23915191,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q515,ingoing,9
9940,http://www.wikidata.org/entity/Q2566850,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q515,ingoing,9
9973,http://www.wikidata.org/entity/Q257536,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q515,ingoing,9
12613,http://www.wikidata.org/entity/Q40340,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q515,ingoing,9
13029,http://www.wikidata.org/entity/Q43788,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q515,ingoing,9
13160,http://www.wikidata.org/entity/Q462161,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q515,ingoing,9
13242,http://www.wikidata.org/entity/Q47430,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q515,ingoing,9
18518,http://www.wikidata.org/entity/Q936741,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q515,ingoing,9
18521,http://www.wikidata.org/entity/Q936780,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q515,ingoing,9
18668,http://www.wikidata.org/entity/Q94928,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q515,ingoing,9
20461,http://www.wikidata.org/entity/Q984577,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q515,ingoing,9
20472,http://www.wikidata.org/entity/Q984834,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q515,ingoing,9
20548,http://www.wikidata.org/entity/Q985584,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q515,ingoing,9
1,http://www.wikidata.org/entity/Q31167579,http://www.wikidata.org/prop/direct/P971,http://www.wikidata.org/entity/Q12107,outgoing,10
