,iteration,path_expanded,nb_expanded,node_expanded,score
0,1,3-ingoing-http://www.wikidata.org/prop/direct/P301;http://www.wikidata.org/entity/Q192408,1,['http://www.wikidata.org/entity/Q192408'],1
1,2,3-ingoing-http://www.wikidata.org/prop/direct/P361;http://www.wikidata.org/entity/Q192408,1,['http://www.wikidata.org/entity/Q8826697'],1
2,3,3-ingoing-http://www.wikidata.org/prop/direct/P793;http://www.wikidata.org/entity/Q192408,1,['http://www.wikidata.org/entity/Q3493762'],1
3,4,3-outgoing-http://www.wikidata.org/entity/Q20919506;http://www.wikidata.org/prop/direct/P106,1,['http://www.wikidata.org/entity/Q20919506'],2
4,5,3-ingoing-http://www.wikidata.org/prop/direct/P106;http://www.wikidata.org/entity/Q609016,2,"['http://www.wikidata.org/entity/Q609016', 'http://www.wikidata.org/entity/Q4964182']",41
5,6,3-ingoing-http://www.wikidata.org/prop/direct/P180;http://www.wikidata.org/entity/Q4964182,40,"['http://www.wikidata.org/entity/Q693186', 'http://www.wikidata.org/entity/Q2063830', 'http://www.wikidata.org/entity/Q3440629', 'http://www.wikidata.org/entity/Q35948926', 'http://www.wikidata.org/entity/Q1930364', 'http://www.wikidata.org/entity/Q3260380', 'http://www.wikidata.org/entity/Q6218766', 'http://www.wikidata.org/entity/Q18067668', 'http://www.wikidata.org/entity/Q1706153', 'http://www.wikidata.org/entity/Q16465757', 'http://www.wikidata.org/entity/Q4282764', 'http://www.wikidata.org/entity/Q1583532', 'http://www.wikidata.org/entity/Q4316390', 'http://www.wikidata.org/entity/Q1530709', 'http://www.wikidata.org/entity/Q1583454', 'http://www.wikidata.org/entity/Q19298527', 'http://www.wikidata.org/entity/Q11780887', 'http://www.wikidata.org/entity/Q3060400', 'http://www.wikidata.org/entity/Q1462848', 'http://www.wikidata.org/entity/Q17057650', 'http://www.wikidata.org/entity/Q15065421', 'http://www.wikidata.org/entity/Q15240763', 'http://www.wikidata.org/entity/Q4444316', 'http://www.wikidata.org/entity/Q3170326', 'http://www.wikidata.org/entity/Q4093641', 'http://www.wikidata.org/entity/Q27535068', 'http://www.wikidata.org/entity/Q765039', 'http://www.wikidata.org/entity/Q12300561', 'http://www.wikidata.org/entity/Q4531769', 'http://www.wikidata.org/entity/Q3188805', 'http://www.wikidata.org/entity/Q3440672', 'http://www.wikidata.org/entity/Q4402259', 'http://www.wikidata.org/entity/Q18276874', 'http://www.wikidata.org/entity/Q18412408', 'http://www.wikidata.org/entity/Q12303153', 'http://www.wikidata.org/entity/Q4395503', 'http://www.wikidata.org/entity/Q1312591', 'http://www.wikidata.org/entity/Q15628923', 'http://www.wikidata.org/entity/Q4240875', 'http://www.wikidata.org/entity/Q1583449']",24
6,7,3-ingoing-http://www.wikidata.org/prop/direct/P279;http://www.wikidata.org/entity/Q4964182,24,"['http://www.wikidata.org/entity/Q877191', 'http://www.wikidata.org/entity/Q18573366', 'http://www.wikidata.org/entity/Q29648016', 'http://www.wikidata.org/entity/Q19204877', 'http://www.wikidata.org/entity/Q29648026', 'http://www.wikidata.org/entity/Q29864606', 'http://www.wikidata.org/entity/Q29651115', 'http://www.wikidata.org/entity/Q28732552', 'http://www.wikidata.org/entity/Q19606318', 'http://www.wikidata.org/entity/Q29654702', 'http://www.wikidata.org/entity/Q27980274', 'http://www.wikidata.org/entity/Q17495002', 'http://www.wikidata.org/entity/Q29643341', 'http://www.wikidata.org/entity/Q30095444', 'http://www.wikidata.org/entity/Q21741447', 'http://www.wikidata.org/entity/Q29648022', 'http://www.wikidata.org/entity/Q7496806', 'http://www.wikidata.org/entity/Q17582526', 'http://www.wikidata.org/entity/Q1651874', 'http://www.wikidata.org/entity/Q18783185', 'http://www.wikidata.org/entity/Q21853518', 'http://www.wikidata.org/entity/Q19966446', 'http://www.wikidata.org/entity/Q19943528', 'http://www.wikidata.org/entity/Q29850743']",19
7,8,3-outgoing-http://www.wikidata.org/entity/Q19606318;http://www.wikidata.org/prop/direct/P180,19,"['http://www.wikidata.org/entity/Q2088191', 'http://www.wikidata.org/entity/Q5403434', 'http://www.wikidata.org/entity/Q15632482', 'http://www.wikidata.org/entity/Q23760244', 'http://www.wikidata.org/entity/Q18930236', 'http://www.wikidata.org/entity/Q18930418', 'http://www.wikidata.org/entity/Q16889429', 'http://www.wikidata.org/entity/Q16897774', 'http://www.wikidata.org/entity/Q14565331', 'http://www.wikidata.org/entity/Q16003550', 'http://www.wikidata.org/entity/Q58968', 'http://www.wikidata.org/entity/Q18930007', 'http://www.wikidata.org/entity/Q16389557', 'http://www.wikidata.org/entity/Q23957324', 'http://www.wikidata.org/entity/Q16743941', 'http://www.wikidata.org/entity/Q80866', 'http://www.wikidata.org/entity/Q16263353', 'http://www.wikidata.org/entity/Q28045801', 'http://www.wikidata.org/entity/Q18543182']",17
8,9,3-ingoing-http://www.wikidata.org/prop/direct/P971;http://www.wikidata.org/entity/Q515,16,"['http://www.wikidata.org/entity/Q10791', 'http://www.wikidata.org/entity/Q103011', 'http://www.wikidata.org/entity/Q173603', 'http://www.wikidata.org/entity/Q191089', 'http://www.wikidata.org/entity/Q44539', 'http://www.wikidata.org/entity/Q4817', 'http://www.wikidata.org/entity/Q1144593', 'http://www.wikidata.org/entity/Q179226', 'http://www.wikidata.org/entity/Q2761147', 'http://www.wikidata.org/entity/Q726', 'http://www.wikidata.org/entity/Q144', 'http://www.wikidata.org/entity/Q131559', 'http://www.wikidata.org/entity/Q4991371', 'http://www.wikidata.org/entity/Q485027', 'http://www.wikidata.org/entity/Q10289', 'http://www.wikidata.org/entity/Q515']",194
9,10,3-ingoing-http://www.wikidata.org/prop/direct/P31;http://www.wikidata.org/entity/Q144,194,"['http://www.wikidata.org/entity/Q17451832', 'http://www.wikidata.org/entity/Q10927345', 'http://www.wikidata.org/entity/Q13425851', 'http://www.wikidata.org/entity/Q31837685', 'http://www.wikidata.org/entity/Q31878650', 'http://www.wikidata.org/entity/Q22948001', 'http://www.wikidata.org/entity/Q31838042', 'http://www.wikidata.org/entity/Q8866433', 'http://www.wikidata.org/entity/Q31837915', 'http://www.wikidata.org/entity/Q17516928', 'http://www.wikidata.org/entity/Q9056787', 'http://www.wikidata.org/entity/Q8867125', 'http://www.wikidata.org/entity/Q9962927', 'http://www.wikidata.org/entity/Q31167579', 'http://www.wikidata.org/entity/Q27983253', 'http://www.wikidata.org/entity/Q10220592', 'http://www.wikidata.org/entity/Q29853677', 'http://www.wikidata.org/entity/Q9440093', 'http://www.wikidata.org/entity/Q9441096', 'http://www.wikidata.org/entity/Q9305285', 'http://www.wikidata.org/entity/Q31837806', 'http://www.wikidata.org/entity/Q31878518', 'http://www.wikidata.org/entity/Q13298041', 'http://www.wikidata.org/entity/Q8865978', 'http://www.wikidata.org/entity/Q10220967', 'http://www.wikidata.org/entity/Q8870504', 'http://www.wikidata.org/entity/Q27983268', 'http://www.wikidata.org/entity/Q10220773', 'http://www.wikidata.org/entity/Q31878529', 'http://www.wikidata.org/entity/Q31838161', 'http://www.wikidata.org/entity/Q8819154', 'http://www.wikidata.org/entity/Q25243219', 'http://www.wikidata.org/entity/Q8865928', 'http://www.wikidata.org/entity/Q29853666', 'http://www.wikidata.org/entity/Q16271517', 'http://www.wikidata.org/entity/Q27683208', 'http://www.wikidata.org/entity/Q31837954', 'http://www.wikidata.org/entity/Q13425954', 'http://www.wikidata.org/entity/Q31837943', 'http://www.wikidata.org/entity/Q31837676', 'http://www.wikidata.org/entity/Q31838090', 'http://www.wikidata.org/entity/Q31837905', 'http://www.wikidata.org/entity/Q17516930', 'http://www.wikidata.org/entity/Q19359721', 'http://www.wikidata.org/entity/Q21407321', 'http://www.wikidata.org/entity/Q8311320', 'http://www.wikidata.org/entity/Q31838242', 'http://www.wikidata.org/entity/Q16811122', 'http://www.wikidata.org/entity/Q27534985', 'http://www.wikidata.org/entity/Q9131130', 'http://www.wikidata.org/entity/Q31837863', 'http://www.wikidata.org/entity/Q7214677', 'http://www.wikidata.org/entity/Q31878579', 'http://www.wikidata.org/entity/Q22925499', 'http://www.wikidata.org/entity/Q31838229', 'http://www.wikidata.org/entity/Q31878487', 'http://www.wikidata.org/entity/Q31837710', 'http://www.wikidata.org/entity/Q8629703', 'http://www.wikidata.org/entity/Q8802774', 'http://www.wikidata.org/entity/Q31837847', 'http://www.wikidata.org/entity/Q22348455', 'http://www.wikidata.org/entity/Q6903710', 'http://www.wikidata.org/entity/Q18686753', 'http://www.wikidata.org/entity/Q7214689', 'http://www.wikidata.org/entity/Q29853683', 'http://www.wikidata.org/entity/Q31878609', 'http://www.wikidata.org/entity/Q29853637', 'http://www.wikidata.org/entity/Q6439037', 'http://www.wikidata.org/entity/Q27116353', 'http://www.wikidata.org/entity/Q10220709', 'http://www.wikidata.org/entity/Q7214646', 'http://www.wikidata.org/entity/Q8866494', 'http://www.wikidata.org/entity/Q31878599', 'http://www.wikidata.org/entity/Q13425855', 'http://www.wikidata.org/entity/Q21407273', 'http://www.wikidata.org/entity/Q25231744', 'http://www.wikidata.org/entity/Q31837637', 'http://www.wikidata.org/entity/Q24879223', 'http://www.wikidata.org/entity/Q7703720', 'http://www.wikidata.org/entity/Q9676237', 'http://www.wikidata.org/entity/Q10221061', 'http://www.wikidata.org/entity/Q7287406', 'http://www.wikidata.org/entity/Q8819227', 'http://www.wikidata.org/entity/Q8866168', 'http://www.wikidata.org/entity/Q31837891', 'http://www.wikidata.org/entity/Q8866146', 'http://www.wikidata.org/entity/Q10104176', 'http://www.wikidata.org/entity/Q31837647', 'http://www.wikidata.org/entity/Q27534751', 'http://www.wikidata.org/entity/Q32244658', 'http://www.wikidata.org/entity/Q10220556', 'http://www.wikidata.org/entity/Q9057983', 'http://www.wikidata.org/entity/Q9163694', 'http://www.wikidata.org/entity/Q31838103', 'http://www.wikidata.org/entity/Q8866972', 'http://www.wikidata.org/entity/Q28043934', 'http://www.wikidata.org/entity/Q31838059', 'http://www.wikidata.org/entity/Q8866197', 'http://www.wikidata.org/entity/Q13425885', 'http://www.wikidata.org/entity/Q24920990', 'http://www.wikidata.org/entity/Q13350395', 'http://www.wikidata.org/entity/Q31837785', 'http://www.wikidata.org/entity/Q9676703', 'http://www.wikidata.org/entity/Q28043931', 'http://www.wikidata.org/entity/Q31837936', 'http://www.wikidata.org/entity/Q9440340', 'http://www.wikidata.org/entity/Q25333153', 'http://www.wikidata.org/entity/Q7287743', 'http://www.wikidata.org/entity/Q31838265', 'http://www.wikidata.org/entity/Q17328007', 'http://www.wikidata.org/entity/Q22949120', 'http://www.wikidata.org/entity/Q31838079', 'http://www.wikidata.org/entity/Q13769063', 'http://www.wikidata.org/entity/Q31838000', 'http://www.wikidata.org/entity/Q31878499', 'http://www.wikidata.org/entity/Q31837747', 'http://www.wikidata.org/entity/Q31838153', 'http://www.wikidata.org/entity/Q31837977', 'http://www.wikidata.org/entity/Q7214659', 'http://www.wikidata.org/entity/Q10220239', 'http://www.wikidata.org/entity/Q25333402', 'http://www.wikidata.org/entity/Q29853658', 'http://www.wikidata.org/entity/Q31838024', 'http://www.wikidata.org/entity/Q29853651', 'http://www.wikidata.org/entity/Q31837882', 'http://www.wikidata.org/entity/Q13298136', 'http://www.wikidata.org/entity/Q23649182', 'http://www.wikidata.org/entity/Q31837697', 'http://www.wikidata.org/entity/Q16271483', 'http://www.wikidata.org/entity/Q9872927', 'http://www.wikidata.org/entity/Q29853700', 'http://www.wikidata.org/entity/Q8866858', 'http://www.wikidata.org/entity/Q8866178', 'http://www.wikidata.org/entity/Q4992948', 'http://www.wikidata.org/entity/Q6978643', 'http://www.wikidata.org/entity/Q13435795', 'http://www.wikidata.org/entity/Q7293431', 'http://www.wikidata.org/entity/Q22670022', 'http://www.wikidata.org/entity/Q29853692', 'http://www.wikidata.org/entity/Q8791374', 'http://www.wikidata.org/entity/Q31878634', 'http://www.wikidata.org/entity/Q8866278', 'http://www.wikidata.org/entity/Q8866861', 'http://www.wikidata.org/entity/Q8866309', 'http://www.wikidata.org/entity/Q10220666', 'http://www.wikidata.org/entity/Q31837991', 'http://www.wikidata.org/entity/Q24920992', 'http://www.wikidata.org/entity/Q22343464', 'http://www.wikidata.org/entity/Q31838122', 'http://www.wikidata.org/entity/Q31838216', 'http://www.wikidata.org/entity/Q8866829', 'http://www.wikidata.org/entity/Q25334768', 'http://www.wikidata.org/entity/Q21408047', 'http://www.wikidata.org/entity/Q31878508', 'http://www.wikidata.org/entity/Q31838253', 'http://www.wikidata.org/entity/Q8311321', 'http://www.wikidata.org/entity/Q24921028', 'http://www.wikidata.org/entity/Q8311319', 'http://www.wikidata.org/entity/Q8865646', 'http://www.wikidata.org/entity/Q29853643', 'http://www.wikidata.org/entity/Q13340495', 'http://www.wikidata.org/entity/Q6927920', 'http://www.wikidata.org/entity/Q31837985', 'http://www.wikidata.org/entity/Q8865717', 'http://www.wikidata.org/entity/Q31838185', 'http://www.wikidata.org/entity/Q10220358', 'http://www.wikidata.org/entity/Q31838139', 'http://www.wikidata.org/entity/Q31838203', 'http://www.wikidata.org/entity/Q8867143', 'http://www.wikidata.org/entity/Q9873459', 'http://www.wikidata.org/entity/Q28043902', 'http://www.wikidata.org/entity/Q24921035', 'http://www.wikidata.org/entity/Q31838034', 'http://www.wikidata.org/entity/Q13298133', 'http://www.wikidata.org/entity/Q31878475', 'http://www.wikidata.org/entity/Q31163742', 'http://www.wikidata.org/entity/Q7031738', 'http://www.wikidata.org/entity/Q9976474', 'http://www.wikidata.org/entity/Q31878588', 'http://www.wikidata.org/entity/Q26257520', 'http://www.wikidata.org/entity/Q9109538', 'http://www.wikidata.org/entity/Q4992950', 'http://www.wikidata.org/entity/Q31837723', 'http://www.wikidata.org/entity/Q9873393', 'http://www.wikidata.org/entity/Q31878622', 'http://www.wikidata.org/entity/Q10220952', 'http://www.wikidata.org/entity/Q7297750', 'http://www.wikidata.org/entity/Q10220834', 'http://www.wikidata.org/entity/Q9519821', 'http://www.wikidata.org/entity/Q8866743', 'http://www.wikidata.org/entity/Q22946038', 'http://www.wikidata.org/entity/Q31156508', 'http://www.wikidata.org/entity/Q10220567', 'http://www.wikidata.org/entity/Q8311327']",177
