,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q13167004,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q361,ingoing,[]
1,http://www.wikidata.org/entity/Q20892115,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q361,ingoing,[]
2,http://www.wikidata.org/entity/Q31233,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q361,ingoing,[]
6,http://www.wikidata.org/entity/Q28935202,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q361,ingoing,[]
10,http://www.wikidata.org/entity/Q20539063,http://www.wikidata.org/prop/direct/P1196,http://www.wikidata.org/entity/Q361,ingoing,[]
11,http://www.wikidata.org/entity/Q20897950,http://www.wikidata.org/prop/direct/P1196,http://www.wikidata.org/entity/Q361,ingoing,[]
12,http://www.wikidata.org/entity/Q10651811,http://www.wikidata.org/prop/direct/P1204,http://www.wikidata.org/entity/Q361,ingoing,[]
13,http://www.wikidata.org/entity/Q1553590,http://www.wikidata.org/prop/direct/P1344,http://www.wikidata.org/entity/Q361,ingoing,[]
14,http://www.wikidata.org/entity/Q25553885,http://www.wikidata.org/prop/direct/P1344,http://www.wikidata.org/entity/Q361,ingoing,[]
15,http://www.wikidata.org/entity/Q408,http://www.wikidata.org/prop/direct/P1344,http://www.wikidata.org/entity/Q361,ingoing,[]
16,http://www.wikidata.org/entity/Q4497234,http://www.wikidata.org/prop/direct/P1344,http://www.wikidata.org/entity/Q361,ingoing,[]
17,http://www.wikidata.org/entity/Q62428,http://www.wikidata.org/prop/direct/P1344,http://www.wikidata.org/entity/Q361,ingoing,[]
18,http://www.wikidata.org/entity/Q948758,http://www.wikidata.org/prop/direct/P1344,http://www.wikidata.org/entity/Q361,ingoing,[]
19,http://www.wikidata.org/entity/Q3422662,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q361,ingoing,[]
20,http://www.wikidata.org/entity/Q4122581,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q361,ingoing,[]
21,http://www.wikidata.org/entity/Q5463383,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q361,ingoing,[]
23,http://www.wikidata.org/entity/Q5909782,http://www.wikidata.org/prop/direct/P1423,http://www.wikidata.org/entity/Q361,ingoing,[]
24,http://www.wikidata.org/entity/Q50294864,http://www.wikidata.org/prop/direct/P1534,http://www.wikidata.org/entity/Q361,ingoing,[]
25,http://www.wikidata.org/entity/Q4763720,http://www.wikidata.org/prop/direct/P1537,http://www.wikidata.org/entity/Q361,ingoing,[]
26,http://www.wikidata.org/entity/Q310802,http://www.wikidata.org/prop/direct/P1542,http://www.wikidata.org/entity/Q361,ingoing,[]
43,http://www.wikidata.org/entity/Q17327137,http://www.wikidata.org/prop/direct/P2348,http://www.wikidata.org/entity/Q361,ingoing,[]
44,http://www.wikidata.org/entity/Q2553050,http://www.wikidata.org/prop/direct/P2348,http://www.wikidata.org/entity/Q361,ingoing,[]
45,http://www.wikidata.org/entity/Q4241182,http://www.wikidata.org/prop/direct/P2348,http://www.wikidata.org/entity/Q361,ingoing,[]
46,http://www.wikidata.org/entity/Q696908,http://www.wikidata.org/prop/direct/P2348,http://www.wikidata.org/entity/Q361,ingoing,[]
47,http://www.wikidata.org/entity/Q3549003,http://www.wikidata.org/prop/direct/P2408,http://www.wikidata.org/entity/Q361,ingoing,[]
48,http://www.wikidata.org/entity/Q19974077,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q361,ingoing,[]
49,http://www.wikidata.org/entity/Q28056845,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q361,ingoing,[]
50,http://www.wikidata.org/entity/Q21200344,http://www.wikidata.org/prop/direct/P2959,http://www.wikidata.org/entity/Q361,ingoing,[]
51,http://www.wikidata.org/entity/Q29950537,http://www.wikidata.org/prop/direct/P2959,http://www.wikidata.org/entity/Q361,ingoing,[]
52,http://www.wikidata.org/entity/Q29577093,http://www.wikidata.org/prop/direct/P301,http://www.wikidata.org/entity/Q361,ingoing,[]
53,http://www.wikidata.org/entity/Q6816935,http://www.wikidata.org/prop/direct/P301,http://www.wikidata.org/entity/Q361,ingoing,[]
