,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q361,http://www.wikidata.org/prop/direct/P1151,http://www.wikidata.org/entity/Q10651811,outgoing,[]
1,http://www.wikidata.org/entity/Q361,http://www.wikidata.org/prop/direct/P1424,http://www.wikidata.org/entity/Q5909782,outgoing,[]
2,http://www.wikidata.org/entity/Q361,http://www.wikidata.org/prop/direct/P1478,http://www.wikidata.org/entity/Q192050,outgoing,[]
3,http://www.wikidata.org/entity/Q361,http://www.wikidata.org/prop/direct/P1479,http://www.wikidata.org/entity/Q153867,outgoing,[]
4,http://www.wikidata.org/entity/Q361,http://www.wikidata.org/prop/direct/P1479,http://www.wikidata.org/entity/Q155144,outgoing,[]
5,http://www.wikidata.org/entity/Q361,http://www.wikidata.org/prop/direct/P1479,http://www.wikidata.org/entity/Q177859,outgoing,[]
6,http://www.wikidata.org/entity/Q361,http://www.wikidata.org/prop/direct/P1479,http://www.wikidata.org/entity/Q179848,outgoing,[]
8,http://www.wikidata.org/entity/Q361,http://www.wikidata.org/prop/direct/P1479,http://www.wikidata.org/entity/Q4763720,outgoing,[]
10,http://www.wikidata.org/entity/Q361,http://www.wikidata.org/prop/direct/P1792,http://www.wikidata.org/entity/Q8756687,outgoing,[]
11,http://www.wikidata.org/entity/Q361,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q15,outgoing,[]
12,http://www.wikidata.org/entity/Q361,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q46,outgoing,[]
13,http://www.wikidata.org/entity/Q361,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q48,outgoing,[]
14,http://www.wikidata.org/entity/Q361,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q55643,outgoing,[]
15,http://www.wikidata.org/entity/Q361,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q7204,outgoing,[]
16,http://www.wikidata.org/entity/Q361,http://www.wikidata.org/prop/direct/P2959,http://www.wikidata.org/entity/Q21200344,outgoing,[]
17,http://www.wikidata.org/entity/Q361,http://www.wikidata.org/prop/direct/P2959,http://www.wikidata.org/entity/Q29950537,outgoing,[]
18,http://www.wikidata.org/entity/Q361,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q103495,outgoing,[]
19,http://www.wikidata.org/entity/Q361,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q152283,outgoing,[]
20,http://www.wikidata.org/entity/Q361,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q215669,outgoing,[]
21,http://www.wikidata.org/entity/Q361,http://www.wikidata.org/prop/direct/P828,http://www.wikidata.org/entity/Q18121382,outgoing,[]
22,http://www.wikidata.org/entity/Q361,http://www.wikidata.org/prop/direct/P972,http://www.wikidata.org/entity/Q5460604,outgoing,[]
0,http://www.wikidata.org/entity/Q26846987,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q214127,outgoing,[]
1,http://www.wikidata.org/entity/Q26846987,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q26846975,outgoing,[]
2,http://www.wikidata.org/entity/Q26846987,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q1340307,outgoing,[]
3,http://www.wikidata.org/entity/Q26846987,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q13430821,outgoing,[]
5,http://www.wikidata.org/entity/Q26846987,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q467,outgoing,[]
6,http://www.wikidata.org/entity/Q26846987,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q7561,outgoing,[]
7,http://www.wikidata.org/entity/Q26846987,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q998,outgoing,[]
8,http://www.wikidata.org/entity/Q26846987,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q296955,outgoing,[]
9,http://www.wikidata.org/entity/Q26846987,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q4259259,outgoing,[]
10,http://www.wikidata.org/entity/Q26846987,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q3329050,outgoing,[]
11,http://www.wikidata.org/entity/Q26846987,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q3329050,outgoing,[]
12,http://www.wikidata.org/entity/Q26846987,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3305213,outgoing,[]
0,http://www.wikidata.org/entity/Q28041724,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q639706,outgoing,[]
2,http://www.wikidata.org/entity/Q28041724,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q700751,outgoing,[]
3,http://www.wikidata.org/entity/Q28041724,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q700751,outgoing,[]
4,http://www.wikidata.org/entity/Q28041724,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3305213,outgoing,[]
0,http://www.wikidata.org/entity/Q1057998,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q714699,outgoing,[]
1,http://www.wikidata.org/entity/Q1057998,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q851045,outgoing,[]
2,http://www.wikidata.org/entity/Q1057998,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q28,outgoing,[]
3,http://www.wikidata.org/entity/Q1057998,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q1287752,outgoing,[]
5,http://www.wikidata.org/entity/Q1057998,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q870165,outgoing,[]
6,http://www.wikidata.org/entity/Q1057998,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q179700,outgoing,[]
1,http://www.wikidata.org/entity/Q21980620,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5185279,outgoing,[]
2,http://www.wikidata.org/entity/Q21980620,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q78476,outgoing,[]
0,http://www.wikidata.org/entity/Q26847004,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q1400853,outgoing,[]
1,http://www.wikidata.org/entity/Q26847004,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q26846975,outgoing,[]
2,http://www.wikidata.org/entity/Q26847004,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q13430821,outgoing,[]
3,http://www.wikidata.org/entity/Q26847004,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q1760271,outgoing,[]
5,http://www.wikidata.org/entity/Q26847004,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q4991371,outgoing,[]
6,http://www.wikidata.org/entity/Q26847004,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q7434,outgoing,[]
7,http://www.wikidata.org/entity/Q26847004,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q8441,outgoing,[]
8,http://www.wikidata.org/entity/Q26847004,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q296955,outgoing,[]
9,http://www.wikidata.org/entity/Q26847004,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q389782,outgoing,[]
10,http://www.wikidata.org/entity/Q26847004,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q3329050,outgoing,[]
11,http://www.wikidata.org/entity/Q26847004,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q3329050,outgoing,[]
12,http://www.wikidata.org/entity/Q26847004,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3305213,outgoing,[]
0,http://www.wikidata.org/entity/Q17491289,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q191163,outgoing,[]
1,http://www.wikidata.org/entity/Q17491289,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q123740,outgoing,[]
2,http://www.wikidata.org/entity/Q17491289,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q109607,outgoing,[]
4,http://www.wikidata.org/entity/Q17491289,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q296955,outgoing,[]
5,http://www.wikidata.org/entity/Q17491289,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q4259259,outgoing,[]
6,http://www.wikidata.org/entity/Q17491289,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q23402,outgoing,[]
7,http://www.wikidata.org/entity/Q17491289,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q23402,outgoing,[]
8,http://www.wikidata.org/entity/Q17491289,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3305213,outgoing,[]
0,http://www.wikidata.org/entity/Q47543307,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q123740,outgoing,[]
2,http://www.wikidata.org/entity/Q47543307,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q194622,outgoing,[]
3,http://www.wikidata.org/entity/Q47543307,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3305213,outgoing,[]
0,http://www.wikidata.org/entity/Q26861851,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q214127,outgoing,[]
1,http://www.wikidata.org/entity/Q26861851,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q706041,outgoing,[]
2,http://www.wikidata.org/entity/Q26861851,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q35831,outgoing,[]
4,http://www.wikidata.org/entity/Q26861851,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q4991371,outgoing,[]
5,http://www.wikidata.org/entity/Q26861851,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q7434,outgoing,[]
6,http://www.wikidata.org/entity/Q26861851,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q8441,outgoing,[]
7,http://www.wikidata.org/entity/Q26861851,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q9166501,outgoing,[]
8,http://www.wikidata.org/entity/Q26861851,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q296955,outgoing,[]
9,http://www.wikidata.org/entity/Q26861851,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q4259259,outgoing,[]
10,http://www.wikidata.org/entity/Q26861851,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q3329050,outgoing,[]
11,http://www.wikidata.org/entity/Q26861851,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q3329050,outgoing,[]
12,http://www.wikidata.org/entity/Q26861851,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3305213,outgoing,[]
0,http://www.wikidata.org/entity/Q47676707,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q123740,outgoing,[]
1,http://www.wikidata.org/entity/Q47676707,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q109607,outgoing,[]
3,http://www.wikidata.org/entity/Q47676707,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q544505,outgoing,[]
4,http://www.wikidata.org/entity/Q47676707,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q768717,outgoing,[]
5,http://www.wikidata.org/entity/Q47676707,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3305213,outgoing,[]
0,http://www.wikidata.org/entity/Q28797211,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q191163,outgoing,[]
2,http://www.wikidata.org/entity/Q28797211,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q11436,outgoing,[]
3,http://www.wikidata.org/entity/Q28797211,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q207734,outgoing,[]
5,http://www.wikidata.org/entity/Q28797211,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q42537,outgoing,[]
6,http://www.wikidata.org/entity/Q28797211,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q4991371,outgoing,[]
7,http://www.wikidata.org/entity/Q28797211,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q296955,outgoing,[]
8,http://www.wikidata.org/entity/Q28797211,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q4259259,outgoing,[]
9,http://www.wikidata.org/entity/Q28797211,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q153306,outgoing,[]
10,http://www.wikidata.org/entity/Q28797211,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q153306,outgoing,[]
11,http://www.wikidata.org/entity/Q28797211,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3305213,outgoing,[]
0,http://www.wikidata.org/entity/Q47933719,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q192110,outgoing,[]
1,http://www.wikidata.org/entity/Q47933719,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q2746848,outgoing,[]
2,http://www.wikidata.org/entity/Q47933719,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q1028181,outgoing,[]
3,http://www.wikidata.org/entity/Q47933719,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q1144593,outgoing,[]
4,http://www.wikidata.org/entity/Q47933719,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q1198413,outgoing,[]
5,http://www.wikidata.org/entity/Q47933719,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q163700,outgoing,[]
6,http://www.wikidata.org/entity/Q47933719,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q170544,outgoing,[]
7,http://www.wikidata.org/entity/Q47933719,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q173603,outgoing,[]
8,http://www.wikidata.org/entity/Q47933719,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q193897,outgoing,[]
