,subject,predicate,object,type_df,iteration
62,http://www.wikidata.org/entity/Q3297473,http://www.wikidata.org/prop/direct/P2348,http://www.wikidata.org/entity/Q362,ingoing,1
64,http://www.wikidata.org/entity/Q40328198,http://www.wikidata.org/prop/direct/P2348,http://www.wikidata.org/entity/Q362,ingoing,1
80,http://www.wikidata.org/entity/Q15769736,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q362,ingoing,1
86,http://www.wikidata.org/entity/Q1052651,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q362,ingoing,1
87,http://www.wikidata.org/entity/Q1061048,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q362,ingoing,1
90,http://www.wikidata.org/entity/Q1132971,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q362,ingoing,1
91,http://www.wikidata.org/entity/Q1141380,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q362,ingoing,1
121,http://www.wikidata.org/entity/Q12007951,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q362,ingoing,1
122,http://www.wikidata.org/entity/Q122100,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q362,ingoing,1
126,http://www.wikidata.org/entity/Q1278544,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q362,ingoing,1
127,http://www.wikidata.org/entity/Q1280169,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q362,ingoing,1
128,http://www.wikidata.org/entity/Q1324220,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q362,ingoing,1
129,http://www.wikidata.org/entity/Q1332237,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q362,ingoing,1
130,http://www.wikidata.org/entity/Q134949,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q362,ingoing,1
131,http://www.wikidata.org/entity/Q1361210,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q362,ingoing,1
132,http://www.wikidata.org/entity/Q13622762,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q362,ingoing,1
135,http://www.wikidata.org/entity/Q1391945,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q362,ingoing,1
136,http://www.wikidata.org/entity/Q1410792,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q362,ingoing,1
137,http://www.wikidata.org/entity/Q1419973,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q362,ingoing,1
138,http://www.wikidata.org/entity/Q14303815,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q362,ingoing,1
139,http://www.wikidata.org/entity/Q1440764,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q362,ingoing,1
