,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q18116653,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q214813,ingoing,[]
1,http://www.wikidata.org/entity/Q21083622,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q214813,ingoing,[]
5,http://www.wikidata.org/entity/Q9525308,http://www.wikidata.org/prop/direct/P301,http://www.wikidata.org/entity/Q214813,ingoing,[]
7,http://www.wikidata.org/entity/Q2750504,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q214813,ingoing,[]
0,http://www.wikidata.org/entity/Q1647865,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q238465,ingoing,[]
1,http://www.wikidata.org/entity/Q20760285,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q238465,ingoing,[]
2,http://www.wikidata.org/entity/Q2870410,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q238465,ingoing,[]
3,http://www.wikidata.org/entity/Q3010827,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q238465,ingoing,[]
4,http://www.wikidata.org/entity/Q3053532,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q238465,ingoing,[]
5,http://www.wikidata.org/entity/Q3053839,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q238465,ingoing,[]
6,http://www.wikidata.org/entity/Q3143106,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q238465,ingoing,[]
7,http://www.wikidata.org/entity/Q3144694,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q238465,ingoing,[]
8,http://www.wikidata.org/entity/Q3204889,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q238465,ingoing,[]
9,http://www.wikidata.org/entity/Q3319948,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q238465,ingoing,[]
10,http://www.wikidata.org/entity/Q3365605,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q238465,ingoing,[]
11,http://www.wikidata.org/entity/Q3412889,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q238465,ingoing,[]
12,http://www.wikidata.org/entity/Q5364654,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q238465,ingoing,[]
14,http://www.wikidata.org/entity/Q5964279,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q238465,ingoing,[]
15,http://www.wikidata.org/entity/Q5996825,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q238465,ingoing,[]
16,http://www.wikidata.org/entity/Q6168711,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q238465,ingoing,[]
17,http://www.wikidata.org/entity/Q62272,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q238465,ingoing,[]
18,http://www.wikidata.org/entity/Q7850567,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q238465,ingoing,[]
19,http://www.wikidata.org/entity/Q23830452,http://www.wikidata.org/prop/direct/P2959,http://www.wikidata.org/entity/Q238465,ingoing,[]
20,http://www.wikidata.org/entity/Q9266047,http://www.wikidata.org/prop/direct/P971,http://www.wikidata.org/entity/Q238465,ingoing,[]
0,http://www.wikidata.org/entity/Q16467451,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q2134234,ingoing,[]
