,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q214813,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q177220,outgoing,[]
1,http://www.wikidata.org/entity/Q214813,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q33999,outgoing,[]
2,http://www.wikidata.org/entity/Q214813,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q639669,outgoing,[]
3,http://www.wikidata.org/entity/Q214813,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q185676,outgoing,[]
4,http://www.wikidata.org/entity/Q214813,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q5146,outgoing,[]
5,http://www.wikidata.org/entity/Q214813,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q1024927,outgoing,[]
6,http://www.wikidata.org/entity/Q214813,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/entity/Q597,outgoing,[]
7,http://www.wikidata.org/entity/Q214813,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581072,outgoing,[]
8,http://www.wikidata.org/entity/Q214813,http://www.wikidata.org/prop/direct/P264,http://www.wikidata.org/entity/Q1128840,outgoing,[]
9,http://www.wikidata.org/entity/Q214813,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q45,outgoing,[]
10,http://www.wikidata.org/entity/Q214813,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,outgoing,[]
11,http://www.wikidata.org/entity/Q214813,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q18171842,outgoing,[]
12,http://www.wikidata.org/entity/Q214813,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q453020,outgoing,[]
1,http://www.wikidata.org/entity/Q5033820,http://www.wikidata.org/prop/direct/P264,http://www.wikidata.org/entity/Q183387,outgoing,[]
2,http://www.wikidata.org/entity/Q5033820,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q482994,outgoing,[]
3,http://www.wikidata.org/entity/Q5033820,http://www.wikidata.org/prop/direct/P407,http://www.wikidata.org/entity/Q5146,outgoing,[]
0,http://www.wikidata.org/entity/Q5656854,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q185676,outgoing,[]
