,subject,predicate,object,type_df,iteration
7,http://www.wikidata.org/entity/Q2750504,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q214813,ingoing,1
0,http://www.wikidata.org/entity/Q5033820,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q214813,outgoing,2
3,http://www.wikidata.org/entity/Q5656854,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q151814,outgoing,2
4,http://www.wikidata.org/entity/Q5656854,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q2134234,outgoing,2
5,http://www.wikidata.org/entity/Q5656854,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q214813,outgoing,2
6,http://www.wikidata.org/entity/Q5656854,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q234024,outgoing,2
7,http://www.wikidata.org/entity/Q5656854,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q238465,outgoing,2
14,http://www.wikidata.org/entity/Q5656854,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q214813,outgoing,2
0,http://www.wikidata.org/entity/Q16484493,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q214813,outgoing,2
18,http://www.wikidata.org/entity/Q151814,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q180975,outgoing,3
2,http://www.wikidata.org/entity/Q4659099,http://www.wikidata.org/prop/direct/P162,http://www.wikidata.org/entity/Q62896,outgoing,4
3,http://www.wikidata.org/entity/Q4659099,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q151814,outgoing,4
7,http://www.wikidata.org/entity/Q4659099,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q62896,outgoing,4
0,http://www.wikidata.org/entity/Q5283774,http://www.wikidata.org/prop/direct/P162,http://www.wikidata.org/entity/Q62896,outgoing,4
1,http://www.wikidata.org/entity/Q5283774,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q151814,outgoing,4
2,http://www.wikidata.org/entity/Q5128379,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q151814,outgoing,4
1,http://www.wikidata.org/entity/Q871825,http://www.wikidata.org/prop/direct/P162,http://www.wikidata.org/entity/Q180975,outgoing,4
2,http://www.wikidata.org/entity/Q871825,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q151814,outgoing,4
3,http://www.wikidata.org/entity/Q871825,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q485165,outgoing,4
