,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q18456,http://www.wikidata.org/prop/direct/P119,http://www.wikidata.org/entity/Q18333443,outgoing,[]
1,http://www.wikidata.org/entity/Q18456,http://www.wikidata.org/prop/direct/P1196,http://www.wikidata.org/entity/Q3739104,outgoing,[]
2,http://www.wikidata.org/entity/Q18456,http://www.wikidata.org/prop/direct/P1411,http://www.wikidata.org/entity/Q35637,outgoing,[]
3,http://www.wikidata.org/entity/Q18456,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q188,outgoing,[]
4,http://www.wikidata.org/entity/Q18456,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q35637,outgoing,[]
5,http://www.wikidata.org/entity/Q18456,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q1085,outgoing,[]
6,http://www.wikidata.org/entity/Q18456,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/entity/Q1741,outgoing,[]
7,http://www.wikidata.org/entity/Q18456,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581072,outgoing,[]
8,http://www.wikidata.org/entity/Q18456,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q33148798,outgoing,[]
9,http://www.wikidata.org/entity/Q18456,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q40,outgoing,[]
10,http://www.wikidata.org/entity/Q18456,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,outgoing,[]
11,http://www.wikidata.org/entity/Q18456,http://www.wikidata.org/prop/direct/P53,http://www.wikidata.org/entity/Q873772,outgoing,[]
12,http://www.wikidata.org/entity/Q18456,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q16420820,outgoing,[]
0,http://www.wikidata.org/entity/Q827668,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1741,outgoing,[]
1,http://www.wikidata.org/entity/Q827668,http://www.wikidata.org/prop/direct/P137,http://www.wikidata.org/entity/Q1741,outgoing,[]
3,http://www.wikidata.org/entity/Q827668,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q40,outgoing,[]
4,http://www.wikidata.org/entity/Q827668,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q11446,outgoing,[]
5,http://www.wikidata.org/entity/Q827668,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q55043,outgoing,[]
1,http://www.wikidata.org/entity/Q137526,http://www.wikidata.org/prop/direct/P156,http://www.wikidata.org/entity/Q2625673,outgoing,[]
2,http://www.wikidata.org/entity/Q137526,http://www.wikidata.org/prop/direct/P196,http://www.wikidata.org/entity/Q2179,outgoing,[]
3,http://www.wikidata.org/entity/Q137526,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3863,outgoing,[]
4,http://www.wikidata.org/entity/Q137526,http://www.wikidata.org/prop/direct/P61,http://www.wikidata.org/entity/Q1347780,outgoing,[]
5,http://www.wikidata.org/entity/Q137526,http://www.wikidata.org/prop/direct/P65,http://www.wikidata.org/entity/Q1347780,outgoing,[]
1,http://www.wikidata.org/entity/Q29353533,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q183,outgoing,[]
2,http://www.wikidata.org/entity/Q29353533,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3914,outgoing,[]
1,http://www.wikidata.org/entity/Q27737699,http://www.wikidata.org/prop/direct/P3005,http://www.wikidata.org/entity/Q2865,outgoing,[]
