,subject,predicate,object,type_df,iteration
11,http://www.wikidata.org/entity/Q33148798,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q18456,ingoing,1
8,http://www.wikidata.org/entity/Q18456,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q33148798,outgoing,1
2,http://www.wikidata.org/entity/Q827668,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q18456,outgoing,2
0,http://www.wikidata.org/entity/Q137526,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q18456,outgoing,2
0,http://www.wikidata.org/entity/Q29353533,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q18456,outgoing,2
0,http://www.wikidata.org/entity/Q27737699,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q18456,outgoing,2
0,http://www.wikidata.org/entity/Q827666,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q18456,outgoing,2
1,http://www.wikidata.org/entity/Q18950260,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q18456,outgoing,2
0,http://www.wikidata.org/entity/Q15299313,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q18456,outgoing,2
1,http://www.wikidata.org/entity/Q827673,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q18456,outgoing,2
3,http://www.wikidata.org/entity/Q212687,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q18456,outgoing,3
2,http://www.wikidata.org/entity/Q12349326,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q12706,outgoing,3
3,http://www.wikidata.org/entity/Q12349326,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q18456,outgoing,3
5,http://www.wikidata.org/entity/Q12349326,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q3505543,outgoing,3
6,http://www.wikidata.org/entity/Q12349326,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q38337,outgoing,3
7,http://www.wikidata.org/entity/Q12349326,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q384594,outgoing,3
8,http://www.wikidata.org/entity/Q12349326,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q5685,outgoing,3
9,http://www.wikidata.org/entity/Q12349326,http://www.wikidata.org/prop/direct/P98,http://www.wikidata.org/entity/Q12749,outgoing,3
