,subject,predicate,object,type_df,superclass
47,http://www.wikidata.org/entity/Q17335591,http://www.wikidata.org/prop/direct/P112,http://www.wikidata.org/entity/Q882,ingoing,[]
48,http://www.wikidata.org/entity/Q219400,http://www.wikidata.org/prop/direct/P112,http://www.wikidata.org/entity/Q882,ingoing,[]
49,http://www.wikidata.org/entity/Q3286151,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q882,ingoing,[]
50,http://www.wikidata.org/entity/Q787148,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q882,ingoing,[]
51,http://www.wikidata.org/entity/Q974780,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q882,ingoing,[]
52,http://www.wikidata.org/entity/Q10448547,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q882,ingoing,[]
53,http://www.wikidata.org/entity/Q1046567,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q882,ingoing,[]
54,http://www.wikidata.org/entity/Q30278299,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q882,ingoing,[]
55,http://www.wikidata.org/entity/Q37994366,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q882,ingoing,[]
78,http://www.wikidata.org/entity/Q2713941,http://www.wikidata.org/prop/direct/P162,http://www.wikidata.org/entity/Q882,ingoing,[]
90,http://www.wikidata.org/entity/Q765880,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q882,ingoing,[]
91,http://www.wikidata.org/entity/Q18116446,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q882,ingoing,[]
92,http://www.wikidata.org/entity/Q120593,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q882,ingoing,[]
93,http://www.wikidata.org/entity/Q230636,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q882,ingoing,[]
94,http://www.wikidata.org/entity/Q2966564,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q882,ingoing,[]
95,http://www.wikidata.org/entity/Q433683,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q882,ingoing,[]
96,http://www.wikidata.org/entity/Q453804,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q882,ingoing,[]
97,http://www.wikidata.org/entity/Q461259,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q882,ingoing,[]
98,http://www.wikidata.org/entity/Q48102246,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q882,ingoing,[]
99,http://www.wikidata.org/entity/Q546008,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q882,ingoing,[]
100,http://www.wikidata.org/entity/Q729356,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q882,ingoing,[]
102,http://www.wikidata.org/entity/Q137808,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q882,ingoing,[]
103,http://www.wikidata.org/entity/Q241019,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q882,ingoing,[]
104,http://www.wikidata.org/entity/Q32337,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q882,ingoing,[]
105,http://www.wikidata.org/entity/Q95050,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q882,ingoing,[]
106,http://www.wikidata.org/entity/Q7333372,http://www.wikidata.org/prop/direct/P301,http://www.wikidata.org/entity/Q882,ingoing,[]
107,http://www.wikidata.org/entity/Q3567655,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q882,ingoing,[]
108,http://www.wikidata.org/entity/Q606780,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q882,ingoing,[]
109,http://www.wikidata.org/entity/Q153658,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q882,ingoing,[]
110,http://www.wikidata.org/entity/Q4391952,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q882,ingoing,[]
111,http://www.wikidata.org/entity/Q6204838,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q882,ingoing,[]
112,http://www.wikidata.org/entity/Q3065301,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q882,ingoing,[]
190,http://www.wikidata.org/entity/Q104340,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q882,ingoing,[]
191,http://www.wikidata.org/entity/Q157191,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q882,ingoing,[]
192,http://www.wikidata.org/entity/Q200228,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q882,ingoing,[]
193,http://www.wikidata.org/entity/Q6075016,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q882,ingoing,[]
194,http://www.wikidata.org/entity/Q7371,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q882,ingoing,[]
202,http://www.wikidata.org/entity/Q1152776,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q882,ingoing,[]
204,http://www.wikidata.org/entity/Q15732538,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q882,ingoing,[]
211,http://www.wikidata.org/entity/Q4375144,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q882,ingoing,[]
217,http://www.wikidata.org/entity/Q27996576,http://www.wikidata.org/prop/direct/P941,http://www.wikidata.org/entity/Q882,ingoing,[]
218,http://www.wikidata.org/entity/Q29917621,http://www.wikidata.org/prop/direct/P967,http://www.wikidata.org/entity/Q882,ingoing,[]
219,http://www.wikidata.org/entity/Q8453315,http://www.wikidata.org/prop/direct/P971,http://www.wikidata.org/entity/Q882,ingoing,[]
0,http://www.wikidata.org/entity/Q16108883,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q2445896,ingoing,[]
0,http://www.wikidata.org/entity/Q11855202,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q2291409,ingoing,[]
0,http://www.wikidata.org/entity/Q4329487,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q3986814,ingoing,[]
0,http://www.wikidata.org/entity/Q20793075,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q109116,ingoing,[]
1,http://www.wikidata.org/entity/Q16020881,http://www.wikidata.org/prop/direct/P1441,http://www.wikidata.org/entity/Q109116,ingoing,[]
2,http://www.wikidata.org/entity/Q17636505,http://www.wikidata.org/prop/direct/P1441,http://www.wikidata.org/entity/Q109116,ingoing,[]
0,http://www.wikidata.org/entity/Q14906722,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q214723,ingoing,[]
1,http://www.wikidata.org/entity/P577,http://www.wikidata.org/prop/direct/P1855,http://www.wikidata.org/entity/Q214723,ingoing,[]
0,http://www.wikidata.org/entity/Q1629902,http://www.wikidata.org/prop/direct/P1889,http://www.wikidata.org/entity/Q2294948,ingoing,[]
0,http://www.wikidata.org/entity/Q3859617,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q10331225,ingoing,[]
0,http://www.wikidata.org/entity/Q762203,http://www.wikidata.org/prop/direct/P1889,http://www.wikidata.org/entity/Q2718259,ingoing,[]
0,http://www.wikidata.org/entity/Q15836705,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q9049883,ingoing,[]
0,http://www.wikidata.org/entity/Q2960922,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q947297,ingoing,[]
0,http://www.wikidata.org/entity/Q6682349,http://www.wikidata.org/prop/direct/P123,http://www.wikidata.org/entity/Q238211,ingoing,[]
1,http://www.wikidata.org/entity/Q6826232,http://www.wikidata.org/prop/direct/P123,http://www.wikidata.org/entity/Q238211,ingoing,[]
2,http://www.wikidata.org/entity/Q6911024,http://www.wikidata.org/prop/direct/P123,http://www.wikidata.org/entity/Q238211,ingoing,[]
3,http://www.wikidata.org/entity/Q7231832,http://www.wikidata.org/prop/direct/P123,http://www.wikidata.org/entity/Q238211,ingoing,[]
4,http://www.wikidata.org/entity/Q7413970,http://www.wikidata.org/prop/direct/P123,http://www.wikidata.org/entity/Q238211,ingoing,[]
5,http://www.wikidata.org/entity/Q7718338,http://www.wikidata.org/prop/direct/P123,http://www.wikidata.org/entity/Q238211,ingoing,[]
6,http://www.wikidata.org/entity/Q11573283,http://www.wikidata.org/prop/direct/P155,http://www.wikidata.org/entity/Q238211,ingoing,[]
7,http://www.wikidata.org/entity/Q28914120,http://www.wikidata.org/prop/direct/P1889,http://www.wikidata.org/entity/Q238211,ingoing,[]
