,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P103,http://www.wikidata.org/entity/Q1860,outgoing,[]
1,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q10800557,outgoing,[]
2,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q1415090,outgoing,[]
3,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q18814623,outgoing,[]
4,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q2259451,outgoing,[]
5,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q245068,outgoing,[]
6,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q2526255,outgoing,[]
7,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q28389,outgoing,[]
8,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q3282637,outgoing,[]
9,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q33999,outgoing,[]
10,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q36834,outgoing,[]
11,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q674067,outgoing,[]
12,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q7042855,outgoing,[]
13,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P119,http://www.wikidata.org/entity/Q21451869,outgoing,[]
14,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P1283,http://www.wikidata.org/entity/Q1152989,outgoing,[]
15,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P1411,http://www.wikidata.org/entity/Q103916,outgoing,[]
16,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P1411,http://www.wikidata.org/entity/Q22235329,outgoing,[]
17,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P1411,http://www.wikidata.org/entity/Q41417,outgoing,[]
18,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P1411,http://www.wikidata.org/entity/Q787148,outgoing,[]
19,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q1860,outgoing,[]
20,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P1455,http://www.wikidata.org/entity/Q16208800,outgoing,[]
21,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q10855212,outgoing,[]
22,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q12201445,outgoing,[]
23,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q12344311,outgoing,[]
24,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q1258149,outgoing,[]
25,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q13601550,outgoing,[]
26,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q14420,outgoing,[]
27,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q1523014,outgoing,[]
28,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q1966054,outgoing,[]
29,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q209459,outgoing,[]
30,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q22235329,outgoing,[]
31,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q488651,outgoing,[]
32,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q727328,outgoing,[]
33,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q787148,outgoing,[]
34,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q974780,outgoing,[]
35,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P172,http://www.wikidata.org/entity/Q842438,outgoing,[]
36,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q84,outgoing,[]
37,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/entity/Q68160,outgoing,[]
38,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097,outgoing,[]
39,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q4391952,outgoing,[]
40,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/entity/Q153658,outgoing,[]
41,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q137808,outgoing,[]
42,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q241019,outgoing,[]
43,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q32337,outgoing,[]
44,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q95050,outgoing,[]
45,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q145,outgoing,[]
46,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,outgoing,[]
47,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q3567655,outgoing,[]
48,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q606780,outgoing,[]
49,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q120593,outgoing,[]
50,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q230636,outgoing,[]
51,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q2966564,outgoing,[]
52,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q433683,outgoing,[]
53,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q453804,outgoing,[]
54,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q461259,outgoing,[]
55,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q48102246,outgoing,[]
56,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q546008,outgoing,[]
57,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q729356,outgoing,[]
58,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/entity/Q15646111,outgoing,[]
59,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/entity/Q414110,outgoing,[]
60,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P509,http://www.wikidata.org/entity/Q1368943,outgoing,[]
61,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P734,http://www.wikidata.org/entity/Q5073230,outgoing,[]
62,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q2958359,outgoing,[]
63,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P972,http://www.wikidata.org/entity/Q5460604,outgoing,[]
0,http://www.wikidata.org/entity/Q2294264,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.wikidata.org/prop/novalue/P364,outgoing,[]
1,http://www.wikidata.org/entity/Q2294264,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q157443,outgoing,[]
2,http://www.wikidata.org/entity/Q2294264,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q226730,outgoing,[]
3,http://www.wikidata.org/entity/Q2294264,http://www.wikidata.org/prop/direct/P162,http://www.wikidata.org/entity/Q3177591,outgoing,[]
4,http://www.wikidata.org/entity/Q2294264,http://www.wikidata.org/prop/direct/P2061,http://www.wikidata.org/entity/Q20970432,outgoing,[]
5,http://www.wikidata.org/entity/Q2294264,http://www.wikidata.org/prop/direct/P272,http://www.wikidata.org/entity/Q1368540,outgoing,[]
6,http://www.wikidata.org/entity/Q2294264,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q20667187,outgoing,[]
7,http://www.wikidata.org/entity/Q2294264,http://www.wikidata.org/prop/direct/P462,http://www.wikidata.org/entity/Q838368,outgoing,[]
8,http://www.wikidata.org/entity/Q2294264,http://www.wikidata.org/prop/direct/P495,http://www.wikidata.org/entity/Q30,outgoing,[]
10,http://www.wikidata.org/entity/Q2294264,http://www.wikidata.org/prop/direct/P750,http://www.wikidata.org/entity/Q1368540,outgoing,[]
11,http://www.wikidata.org/entity/Q2294264,http://www.wikidata.org/prop/direct/P915,http://www.wikidata.org/entity/Q1297,outgoing,[]
0,http://www.wikidata.org/entity/Q669929,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.wikidata.org/prop/novalue/P364,outgoing,[]
2,http://www.wikidata.org/entity/Q669929,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q157443,outgoing,[]
3,http://www.wikidata.org/entity/Q669929,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q226730,outgoing,[]
4,http://www.wikidata.org/entity/Q669929,http://www.wikidata.org/prop/direct/P1552,http://www.wikidata.org/entity/Q45172088,outgoing,[]
6,http://www.wikidata.org/entity/Q669929,http://www.wikidata.org/prop/direct/P1981,http://www.wikidata.org/entity/Q20644795,outgoing,[]
7,http://www.wikidata.org/entity/Q669929,http://www.wikidata.org/prop/direct/P2061,http://www.wikidata.org/entity/Q20970432,outgoing,[]
8,http://www.wikidata.org/entity/Q669929,http://www.wikidata.org/prop/direct/P2554,http://www.wikidata.org/entity/Q598772,outgoing,[]
9,http://www.wikidata.org/entity/Q669929,http://www.wikidata.org/prop/direct/P272,http://www.wikidata.org/entity/Q219400,outgoing,[]
10,http://www.wikidata.org/entity/Q669929,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q11424,outgoing,[]
11,http://www.wikidata.org/entity/Q669929,http://www.wikidata.org/prop/direct/P344,http://www.wikidata.org/entity/Q179581,outgoing,[]
12,http://www.wikidata.org/entity/Q669929,http://www.wikidata.org/prop/direct/P364,http://www.wikidata.org/entity/Q1860,outgoing,[]
13,http://www.wikidata.org/entity/Q669929,http://www.wikidata.org/prop/direct/P462,http://www.wikidata.org/entity/Q838368,outgoing,[]
14,http://www.wikidata.org/entity/Q669929,http://www.wikidata.org/prop/direct/P495,http://www.wikidata.org/entity/Q30,outgoing,[]
16,http://www.wikidata.org/entity/Q669929,http://www.wikidata.org/prop/direct/P750,http://www.wikidata.org/entity/Q219400,outgoing,[]
0,http://www.wikidata.org/entity/Q1923676,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.wikidata.org/prop/novalue/P364,outgoing,[]
2,http://www.wikidata.org/entity/Q1923676,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q157443,outgoing,[]
3,http://www.wikidata.org/entity/Q1923676,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q226730,outgoing,[]
4,http://www.wikidata.org/entity/Q1923676,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q40831,outgoing,[]
6,http://www.wikidata.org/entity/Q1923676,http://www.wikidata.org/prop/direct/P2061,http://www.wikidata.org/entity/Q20970432,outgoing,[]
7,http://www.wikidata.org/entity/Q1923676,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q20667187,outgoing,[]
8,http://www.wikidata.org/entity/Q1923676,http://www.wikidata.org/prop/direct/P344,http://www.wikidata.org/entity/Q179581,outgoing,[]
9,http://www.wikidata.org/entity/Q1923676,http://www.wikidata.org/prop/direct/P364,http://www.wikidata.org/entity/Q1860,outgoing,[]
10,http://www.wikidata.org/entity/Q1923676,http://www.wikidata.org/prop/direct/P462,http://www.wikidata.org/entity/Q2254548,outgoing,[]
11,http://www.wikidata.org/entity/Q1923676,http://www.wikidata.org/prop/direct/P462,http://www.wikidata.org/entity/Q838368,outgoing,[]
12,http://www.wikidata.org/entity/Q1923676,http://www.wikidata.org/prop/direct/P495,http://www.wikidata.org/entity/Q30,outgoing,[]
14,http://www.wikidata.org/entity/Q1923676,http://www.wikidata.org/prop/direct/P750,http://www.wikidata.org/entity/Q540590,outgoing,[]
0,http://www.wikidata.org/entity/Q519668,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.wikidata.org/prop/novalue/P364,outgoing,[]
2,http://www.wikidata.org/entity/Q519668,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q157443,outgoing,[]
3,http://www.wikidata.org/entity/Q519668,http://www.wikidata.org/prop/direct/P162,http://www.wikidata.org/entity/Q317574,outgoing,[]
4,http://www.wikidata.org/entity/Q519668,http://www.wikidata.org/prop/direct/P272,http://www.wikidata.org/entity/Q1740372,outgoing,[]
