,subject,predicate,object,type_df,iteration
92,http://www.wikidata.org/entity/Q120593,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q882,ingoing,1
93,http://www.wikidata.org/entity/Q230636,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q882,ingoing,1
94,http://www.wikidata.org/entity/Q2966564,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q882,ingoing,1
95,http://www.wikidata.org/entity/Q433683,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q882,ingoing,1
96,http://www.wikidata.org/entity/Q453804,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q882,ingoing,1
97,http://www.wikidata.org/entity/Q461259,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q882,ingoing,1
98,http://www.wikidata.org/entity/Q48102246,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q882,ingoing,1
99,http://www.wikidata.org/entity/Q546008,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q882,ingoing,1
100,http://www.wikidata.org/entity/Q729356,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q882,ingoing,1
102,http://www.wikidata.org/entity/Q137808,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q882,ingoing,1
103,http://www.wikidata.org/entity/Q241019,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q882,ingoing,1
104,http://www.wikidata.org/entity/Q32337,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q882,ingoing,1
105,http://www.wikidata.org/entity/Q95050,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q882,ingoing,1
107,http://www.wikidata.org/entity/Q3567655,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q882,ingoing,1
108,http://www.wikidata.org/entity/Q606780,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q882,ingoing,1
109,http://www.wikidata.org/entity/Q153658,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q882,ingoing,1
110,http://www.wikidata.org/entity/Q4391952,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q882,ingoing,1
111,http://www.wikidata.org/entity/Q6204838,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q882,ingoing,1
190,http://www.wikidata.org/entity/Q104340,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q882,ingoing,1
191,http://www.wikidata.org/entity/Q157191,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q882,ingoing,1
192,http://www.wikidata.org/entity/Q200228,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q882,ingoing,1
193,http://www.wikidata.org/entity/Q6075016,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q882,ingoing,1
194,http://www.wikidata.org/entity/Q7371,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q882,ingoing,1
39,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q4391952,outgoing,1
40,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/entity/Q153658,outgoing,1
41,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q137808,outgoing,1
42,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q241019,outgoing,1
43,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q32337,outgoing,1
44,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q95050,outgoing,1
47,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q3567655,outgoing,1
48,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q606780,outgoing,1
49,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q120593,outgoing,1
50,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q230636,outgoing,1
51,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q2966564,outgoing,1
52,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q433683,outgoing,1
53,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q453804,outgoing,1
54,http://www.wikidata.org/entity/Q882,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q461259,outgoing,1
