,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q26907202,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q11571,ingoing,[]
1,http://www.wikidata.org/entity/Q28745392,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q11571,ingoing,[]
4,http://www.wikidata.org/entity/Q3494048,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q11571,ingoing,[]
7,http://www.wikidata.org/entity/Q24202018,http://www.wikidata.org/prop/direct/P1363,http://www.wikidata.org/entity/Q11571,ingoing,[]
8,http://www.wikidata.org/entity/Q2614328,http://www.wikidata.org/prop/direct/P1363,http://www.wikidata.org/entity/Q11571,ingoing,[]
9,http://www.wikidata.org/entity/Q639161,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q11571,ingoing,[]
10,http://www.wikidata.org/entity/Q132134,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q11571,ingoing,[]
11,http://www.wikidata.org/entity/Q21027936,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q11571,ingoing,[]
12,http://www.wikidata.org/entity/Q3794302,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q11571,ingoing,[]
13,http://www.wikidata.org/entity/P2446,http://www.wikidata.org/prop/direct/P1855,http://www.wikidata.org/entity/Q11571,ingoing,[]
14,http://www.wikidata.org/entity/P859,http://www.wikidata.org/prop/direct/P1855,http://www.wikidata.org/entity/Q11571,ingoing,[]
15,http://www.wikidata.org/entity/Q21467440,http://www.wikidata.org/prop/direct/P2959,http://www.wikidata.org/entity/Q11571,ingoing,[]
16,http://www.wikidata.org/entity/Q11306107,http://www.wikidata.org/prop/direct/P3279,http://www.wikidata.org/entity/Q11571,ingoing,[]
17,http://www.wikidata.org/entity/Q13406398,http://www.wikidata.org/prop/direct/P3279,http://www.wikidata.org/entity/Q11571,ingoing,[]
18,http://www.wikidata.org/entity/Q13416183,http://www.wikidata.org/prop/direct/P3279,http://www.wikidata.org/entity/Q11571,ingoing,[]
19,http://www.wikidata.org/entity/Q16839196,http://www.wikidata.org/prop/direct/P3279,http://www.wikidata.org/entity/Q11571,ingoing,[]
20,http://www.wikidata.org/entity/Q186489,http://www.wikidata.org/prop/direct/P3279,http://www.wikidata.org/entity/Q11571,ingoing,[]
21,http://www.wikidata.org/entity/Q18740961,http://www.wikidata.org/prop/direct/P3279,http://www.wikidata.org/entity/Q11571,ingoing,[]
22,http://www.wikidata.org/entity/Q22669,http://www.wikidata.org/prop/direct/P3279,http://www.wikidata.org/entity/Q11571,ingoing,[]
23,http://www.wikidata.org/entity/Q30608,http://www.wikidata.org/prop/direct/P3279,http://www.wikidata.org/entity/Q11571,ingoing,[]
24,http://www.wikidata.org/entity/Q485956,http://www.wikidata.org/prop/direct/P3279,http://www.wikidata.org/entity/Q11571,ingoing,[]
25,http://www.wikidata.org/entity/Q18388420,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q11571,ingoing,[]
26,http://www.wikidata.org/entity/Q234458,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q11571,ingoing,[]
27,http://www.wikidata.org/entity/Q33729164,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q11571,ingoing,[]
28,http://www.wikidata.org/entity/Q22002173,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q11571,ingoing,[]
29,http://www.wikidata.org/entity/Q25066563,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q11571,ingoing,[]
