,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P103,http://www.wikidata.org/entity/Q5146,outgoing,[]
1,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q937857,outgoing,[]
2,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P1344,http://www.wikidata.org/entity/Q102920,outgoing,[]
3,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P1344,http://www.wikidata.org/entity/Q176883,outgoing,[]
4,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P1344,http://www.wikidata.org/entity/Q189571,outgoing,[]
5,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P1344,http://www.wikidata.org/entity/Q22669,outgoing,[]
6,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P1344,http://www.wikidata.org/entity/Q241864,outgoing,[]
7,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P1344,http://www.wikidata.org/entity/Q324867,outgoing,[]
8,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P1344,http://www.wikidata.org/entity/Q37285,outgoing,[]
9,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P1344,http://www.wikidata.org/entity/Q79859,outgoing,[]
10,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P1344,http://www.wikidata.org/entity/Q8558,outgoing,[]
11,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P140,http://www.wikidata.org/entity/Q1841,outgoing,[]
12,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P1411,http://www.wikidata.org/entity/Q1808301,outgoing,[]
15,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q5146,outgoing,[]
39,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P172,http://www.wikidata.org/entity/Q178630,outgoing,[]
40,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q25444,outgoing,[]
41,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P1950,http://www.wikidata.org/entity/Q37487459,outgoing,[]
42,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097,outgoing,[]
43,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q45,outgoing,[]
44,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P2959,http://www.wikidata.org/entity/Q21467440,outgoing,[]
45,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,outgoing,[]
46,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P40,_:22f5fc5731ac44a87df4d1ff2eb49ea0,outgoing,[]
47,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P413,http://www.wikidata.org/entity/Q11681748,outgoing,[]
48,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P413,http://www.wikidata.org/entity/Q280658,outgoing,[]
49,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q234458,outgoing,[]
