,subject,predicate,object,type_df,iteration
25,http://www.wikidata.org/entity/Q18388420,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q11571,ingoing,1
26,http://www.wikidata.org/entity/Q234458,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q11571,ingoing,1
27,http://www.wikidata.org/entity/Q33729164,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q11571,ingoing,1
49,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q234458,outgoing,1
50,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q33729164,outgoing,1
0,http://www.wikidata.org/entity/Q10520,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q1187699,ingoing,2
1,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q1187699,ingoing,2
0,http://www.wikidata.org/entity/Q1187699,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q10520,outgoing,2
1,http://www.wikidata.org/entity/Q1187699,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q11571,outgoing,2
2,http://www.wikidata.org/entity/Q1187699,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q1835,outgoing,2
3,http://www.wikidata.org/entity/Q1187699,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q295456,outgoing,2
4,http://www.wikidata.org/entity/Q1187699,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q39444,outgoing,2
5,http://www.wikidata.org/entity/Q1187699,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q44522,outgoing,2
6,http://www.wikidata.org/entity/Q1187699,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q459830,outgoing,2
7,http://www.wikidata.org/entity/Q1187699,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q529207,outgoing,2
8,http://www.wikidata.org/entity/Q1187699,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q531814,outgoing,2
9,http://www.wikidata.org/entity/Q1187699,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q615,outgoing,2
10,http://www.wikidata.org/entity/Q1187699,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q659634,outgoing,2
11,http://www.wikidata.org/entity/Q1187699,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q68060,outgoing,2
12,http://www.wikidata.org/entity/Q1187699,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q76089,outgoing,2
1,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q2291862,ingoing,2
2,http://www.wikidata.org/entity/Q615,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q2291862,ingoing,2
0,http://www.wikidata.org/entity/Q102027,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
1,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
2,http://www.wikidata.org/entity/Q123118,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
3,http://www.wikidata.org/entity/Q128829,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
4,http://www.wikidata.org/entity/Q13494,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
5,http://www.wikidata.org/entity/Q152832,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
6,http://www.wikidata.org/entity/Q152871,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
7,http://www.wikidata.org/entity/Q153463,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
8,http://www.wikidata.org/entity/Q162043,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
9,http://www.wikidata.org/entity/Q164521,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
10,http://www.wikidata.org/entity/Q164546,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
11,http://www.wikidata.org/entity/Q167828,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
12,http://www.wikidata.org/entity/Q171295,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
13,http://www.wikidata.org/entity/Q171583,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
14,http://www.wikidata.org/entity/Q17163,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
15,http://www.wikidata.org/entity/Q173139,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
16,http://www.wikidata.org/entity/Q173972,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
17,http://www.wikidata.org/entity/Q178628,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
18,http://www.wikidata.org/entity/Q1835,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
19,http://www.wikidata.org/entity/Q186691,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
20,http://www.wikidata.org/entity/Q187125,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
21,http://www.wikidata.org/entity/Q201534,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
22,http://www.wikidata.org/entity/Q216140,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
23,http://www.wikidata.org/entity/Q220700,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
24,http://www.wikidata.org/entity/Q223158,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
25,http://www.wikidata.org/entity/Q230046,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
26,http://www.wikidata.org/entity/Q233565,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
27,http://www.wikidata.org/entity/Q270367,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
28,http://www.wikidata.org/entity/Q311410,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
29,http://www.wikidata.org/entity/Q36386,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
30,http://www.wikidata.org/entity/Q39444,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
31,http://www.wikidata.org/entity/Q41244,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
32,http://www.wikidata.org/entity/Q4261,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
33,http://www.wikidata.org/entity/Q43744,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
34,http://www.wikidata.org/entity/Q4457,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
35,http://www.wikidata.org/entity/Q483145,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
36,http://www.wikidata.org/entity/Q483577,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
37,http://www.wikidata.org/entity/Q483629,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
38,http://www.wikidata.org/entity/Q529207,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
39,http://www.wikidata.org/entity/Q531814,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
40,http://www.wikidata.org/entity/Q57183,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
41,http://www.wikidata.org/entity/Q615,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
42,http://www.wikidata.org/entity/Q67964,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q166177,ingoing,2
0,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q102027,outgoing,2
1,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q11571,outgoing,2
2,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q123118,outgoing,2
3,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q128829,outgoing,2
4,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q13494,outgoing,2
5,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q152832,outgoing,2
6,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q152871,outgoing,2
7,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q153463,outgoing,2
8,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q162043,outgoing,2
9,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q164521,outgoing,2
10,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q164546,outgoing,2
11,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q167828,outgoing,2
12,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q171295,outgoing,2
13,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q171583,outgoing,2
14,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q17163,outgoing,2
15,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q173139,outgoing,2
16,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q173972,outgoing,2
17,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q178628,outgoing,2
18,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q1835,outgoing,2
19,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q186691,outgoing,2
20,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q187125,outgoing,2
21,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q216140,outgoing,2
22,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q220700,outgoing,2
23,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q223158,outgoing,2
24,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q230046,outgoing,2
25,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q233565,outgoing,2
26,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q26517,outgoing,2
27,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q311410,outgoing,2
28,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q36386,outgoing,2
29,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q39444,outgoing,2
30,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q41244,outgoing,2
31,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q4261,outgoing,2
32,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q43744,outgoing,2
33,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q4457,outgoing,2
34,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q483145,outgoing,2
35,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q483577,outgoing,2
36,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q483629,outgoing,2
37,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q529207,outgoing,2
38,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q531814,outgoing,2
39,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q57183,outgoing,2
40,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q615,outgoing,2
41,http://www.wikidata.org/entity/Q166177,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q67964,outgoing,2
0,http://www.wikidata.org/entity/Q10520,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q1146578,ingoing,2
1,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q1146578,ingoing,2
2,http://www.wikidata.org/entity/Q17507,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q1146578,ingoing,2
3,http://www.wikidata.org/entity/Q1918,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q1146578,ingoing,2
4,http://www.wikidata.org/entity/Q483145,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q1146578,ingoing,2
5,http://www.wikidata.org/entity/Q615,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q1146578,ingoing,2
6,http://www.wikidata.org/entity/Q83488,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q1146578,ingoing,2
7,http://www.wikidata.org/entity/Q31981,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q1146578,ingoing,2
0,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q1808491,ingoing,2
1,http://www.wikidata.org/entity/Q615,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q1808491,ingoing,2
0,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q616031,ingoing,2
0,http://www.wikidata.org/entity/Q616031,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q482931,outgoing,2
0,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q15474655,ingoing,2
1,http://www.wikidata.org/entity/Q1043209,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q729513,ingoing,2
2,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q729513,ingoing,2
3,http://www.wikidata.org/entity/Q11576,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q729513,ingoing,2
4,http://www.wikidata.org/entity/Q1411240,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q729513,ingoing,2
5,http://www.wikidata.org/entity/Q164546,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q729513,ingoing,2
6,http://www.wikidata.org/entity/Q615,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q729513,ingoing,2
1,http://www.wikidata.org/entity/Q729513,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q1043209,outgoing,2
2,http://www.wikidata.org/entity/Q729513,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q11571,outgoing,2
3,http://www.wikidata.org/entity/Q729513,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q11576,outgoing,2
4,http://www.wikidata.org/entity/Q729513,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q12278088,outgoing,2
5,http://www.wikidata.org/entity/Q729513,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q1255625,outgoing,2
6,http://www.wikidata.org/entity/Q729513,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q131529,outgoing,2
7,http://www.wikidata.org/entity/Q729513,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q1333472,outgoing,2
9,http://www.wikidata.org/entity/Q729513,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q1395166,outgoing,2
10,http://www.wikidata.org/entity/Q729513,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q1411240,outgoing,2
11,http://www.wikidata.org/entity/Q729513,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q152725,outgoing,2
12,http://www.wikidata.org/entity/Q729513,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q164546,outgoing,2
13,http://www.wikidata.org/entity/Q729513,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q178649,outgoing,2
14,http://www.wikidata.org/entity/Q729513,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q180649,outgoing,2
15,http://www.wikidata.org/entity/Q729513,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q188696,outgoing,2
