,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q3247658,http://www.wikidata.org/prop/direct/P103,http://www.wikidata.org/entity/Q13955,outgoing,[]
1,http://www.wikidata.org/entity/Q3247658,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q3328710,outgoing,[]
2,http://www.wikidata.org/entity/Q3247658,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q13452531,outgoing,[]
3,http://www.wikidata.org/entity/Q3247658,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q3820,outgoing,[]
4,http://www.wikidata.org/entity/Q3247658,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581072,outgoing,[]
5,http://www.wikidata.org/entity/Q3247658,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q2868332,outgoing,[]
6,http://www.wikidata.org/entity/Q3247658,http://www.wikidata.org/prop/direct/P264,http://www.wikidata.org/entity/Q183412,outgoing,[]
7,http://www.wikidata.org/entity/Q3247658,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q822,outgoing,[]
8,http://www.wikidata.org/entity/Q3247658,http://www.wikidata.org/prop/direct/P2959,http://www.wikidata.org/entity/Q22924057,outgoing,[]
9,http://www.wikidata.org/entity/Q3247658,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,outgoing,[]
11,http://www.wikidata.org/entity/Q3247658,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q3575465,outgoing,[]
1,http://www.wikidata.org/entity/Q5348557,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q482994,outgoing,[]
1,http://www.wikidata.org/entity/Q5430730,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q273057,outgoing,[]
