,subject,predicate,object,type_df,superclass
1,http://www.wikidata.org/entity/Q15299698,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5588,ingoing,[]
2,http://www.wikidata.org/entity/Q2615862,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5588,ingoing,[]
31,http://www.wikidata.org/entity/Q17104513,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q5588,ingoing,[]
34,http://www.wikidata.org/entity/Q171128,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q5588,ingoing,[]
35,http://www.wikidata.org/entity/Q8474818,http://www.wikidata.org/prop/direct/P301,http://www.wikidata.org/entity/Q5588,ingoing,[]
36,http://www.wikidata.org/entity/Q47541637,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q5588,ingoing,[]
37,http://www.wikidata.org/entity/Q573125,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q5588,ingoing,[]
0,http://www.wikidata.org/entity/Q17317299,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q3232010,ingoing,[]
1,http://www.wikidata.org/entity/Q18393879,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q3232010,ingoing,[]
2,http://www.wikidata.org/entity/Q5910148,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q3232010,ingoing,[]
0,http://www.wikidata.org/entity/Q25218159,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q23663690,ingoing,[]
0,http://www.wikidata.org/entity/Q5938534,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q21056477,ingoing,[]
0,http://www.wikidata.org/entity/Q19895722,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q5880026,ingoing,[]
0,http://www.wikidata.org/entity/Q48864832,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q5941128,ingoing,[]
0,http://www.wikidata.org/entity/Q23892517,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q21010270,ingoing,[]
0,http://www.wikidata.org/entity/Q16243039,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q5712848,ingoing,[]
