,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q5588,http://www.wikidata.org/prop/direct/P1050,http://www.wikidata.org/entity/Q12195,outgoing,[]
1,http://www.wikidata.org/entity/Q5588,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q1028181,outgoing,[]
2,http://www.wikidata.org/entity/Q5588,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q329439,outgoing,[]
3,http://www.wikidata.org/entity/Q5588,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q36180,outgoing,[]
4,http://www.wikidata.org/entity/Q5588,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q864380,outgoing,[]
5,http://www.wikidata.org/entity/Q5588,http://www.wikidata.org/prop/direct/P1196,http://www.wikidata.org/entity/Q220570,outgoing,[]
6,http://www.wikidata.org/entity/Q5588,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q39427,outgoing,[]
7,http://www.wikidata.org/entity/Q5588,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q11629,outgoing,[]
8,http://www.wikidata.org/entity/Q5588,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q271588,outgoing,[]
9,http://www.wikidata.org/entity/Q5588,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q1321,outgoing,[]
10,http://www.wikidata.org/entity/Q5588,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q661315,outgoing,[]
11,http://www.wikidata.org/entity/Q5588,http://www.wikidata.org/prop/direct/P1950,http://www.wikidata.org/entity/Q27792440,outgoing,[]
12,http://www.wikidata.org/entity/Q5588,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/entity/Q661315,outgoing,[]
13,http://www.wikidata.org/entity/Q5588,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581072,outgoing,[]
14,http://www.wikidata.org/entity/Q5588,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q573125,outgoing,[]
15,http://www.wikidata.org/entity/Q5588,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q171128,outgoing,[]
16,http://www.wikidata.org/entity/Q5588,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q96,outgoing,[]
17,http://www.wikidata.org/entity/Q5588,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,outgoing,[]
18,http://www.wikidata.org/entity/Q5588,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q47541637,outgoing,[]
19,http://www.wikidata.org/entity/Q5588,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/entity/Q4801318,outgoing,[]
20,http://www.wikidata.org/entity/Q5588,http://www.wikidata.org/prop/direct/P734,http://www.wikidata.org/entity/Q41661665,outgoing,[]
21,http://www.wikidata.org/entity/Q5588,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q1043619,outgoing,[]
22,http://www.wikidata.org/entity/Q5588,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q842544,outgoing,[]
23,http://www.wikidata.org/entity/Q5588,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q848549,outgoing,[]
26,http://www.wikidata.org/entity/Q5588,http://www.wikidata.org/prop/direct/P972,http://www.wikidata.org/entity/Q5460604,outgoing,[]
0,http://www.wikidata.org/entity/Q17629443,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q170571,outgoing,[]
2,http://www.wikidata.org/entity/Q17629443,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q2663377,outgoing,[]
3,http://www.wikidata.org/entity/Q17629443,http://www.wikidata.org/prop/direct/P2079,http://www.wikidata.org/entity/Q174705,outgoing,[]
