,subject,predicate,object,type_df,iteration
34,http://www.wikidata.org/entity/Q171128,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q5588,ingoing,1
36,http://www.wikidata.org/entity/Q47541637,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q5588,ingoing,1
37,http://www.wikidata.org/entity/Q573125,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q5588,ingoing,1
14,http://www.wikidata.org/entity/Q5588,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q573125,outgoing,1
15,http://www.wikidata.org/entity/Q5588,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q171128,outgoing,1
18,http://www.wikidata.org/entity/Q5588,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q47541637,outgoing,1
1,http://www.wikidata.org/entity/Q17629443,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5588,outgoing,2
3,http://www.wikidata.org/entity/Q5588,http://www.wikidata.org/prop/direct/P800,http://www.wikidata.org/entity/Q3232010,ingoing,2
1,http://www.wikidata.org/entity/Q3232010,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5588,outgoing,2
0,http://www.wikidata.org/entity/Q23663690,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5588,outgoing,2
3,http://www.wikidata.org/entity/Q21056477,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5588,outgoing,2
0,http://www.wikidata.org/entity/Q19897995,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5588,outgoing,2
0,http://www.wikidata.org/entity/Q26000749,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5588,outgoing,2
1,http://www.wikidata.org/entity/Q26000749,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q2608280,outgoing,2
1,http://www.wikidata.org/entity/Q5880026,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5588,outgoing,2
2,http://www.wikidata.org/entity/Q5880026,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q5588,outgoing,2
0,http://www.wikidata.org/entity/Q5941128,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5588,outgoing,2
0,http://www.wikidata.org/entity/Q8773940,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5588,outgoing,2
1,http://www.wikidata.org/entity/Q21010270,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5588,outgoing,2
0,http://www.wikidata.org/entity/Q16488383,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5588,outgoing,2
0,http://www.wikidata.org/entity/Q5712848,http://www.wikidata.org/prop/direct/P1028,http://www.wikidata.org/entity/Q4770723,outgoing,2
1,http://www.wikidata.org/entity/Q5712848,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q4770723,outgoing,2
2,http://www.wikidata.org/entity/Q5712848,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q5588,outgoing,2
6,http://www.wikidata.org/entity/Q5712848,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5588,outgoing,2
8,http://www.wikidata.org/entity/Q5712848,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q5588,outgoing,2
1,http://www.wikidata.org/entity/Q19884567,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5588,outgoing,2
0,http://www.wikidata.org/entity/Q20879937,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5588,outgoing,2
0,http://www.wikidata.org/entity/Q8471027,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5588,outgoing,2
0,http://www.wikidata.org/entity/Q5943279,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5588,outgoing,2
0,http://www.wikidata.org/entity/Q43281370,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5588,outgoing,2
0,http://www.wikidata.org/entity/Q19884325,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5588,outgoing,2
0,http://www.wikidata.org/entity/Q45895679,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5588,outgoing,2
0,http://www.wikidata.org/entity/Q16038651,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5588,outgoing,2
0,http://www.wikidata.org/entity/Q28339146,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5588,outgoing,2
2,http://www.wikidata.org/entity/Q28339146,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q5289547,outgoing,2
0,http://www.wikidata.org/entity/Q19898216,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5588,outgoing,2
2,http://www.wikidata.org/entity/Q19898216,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q1160659,outgoing,2
0,http://www.wikidata.org/entity/Q5588,http://www.wikidata.org/prop/direct/P800,http://www.wikidata.org/entity/Q18343221,ingoing,2
1,http://www.wikidata.org/entity/Q18343221,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q7377177,outgoing,2
5,http://www.wikidata.org/entity/Q18343221,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5588,outgoing,2
0,http://www.wikidata.org/entity/Q3753167,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q5588,outgoing,3
0,http://www.wikidata.org/entity/Q3753164,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q171128,outgoing,3
1,http://www.wikidata.org/entity/Q3753164,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q466946,outgoing,3
2,http://www.wikidata.org/entity/Q3753164,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q5588,outgoing,3
6,http://www.wikidata.org/entity/Q3753164,http://www.wikidata.org/prop/direct/P57,http://www.wikidata.org/entity/Q440887,outgoing,3
0,http://www.wikidata.org/entity/Q3707240,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q171128,outgoing,3
1,http://www.wikidata.org/entity/Q3707240,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q5588,outgoing,3
0,http://www.wikidata.org/entity/Q4015635,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q5588,outgoing,3
0,http://www.wikidata.org/entity/Q3735693,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q5588,outgoing,3
