,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q23004202,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q37175,ingoing,[]
1,http://www.wikidata.org/entity/Q2053111,http://www.wikidata.org/prop/direct/P112,http://www.wikidata.org/entity/Q37175,ingoing,[]
2,http://www.wikidata.org/entity/Q1062026,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q37175,ingoing,[]
3,http://www.wikidata.org/entity/Q181883,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q37175,ingoing,[]
5,http://www.wikidata.org/entity/Q905247,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q37175,ingoing,[]
7,http://www.wikidata.org/entity/Q17644684,http://www.wikidata.org/prop/direct/P1423,http://www.wikidata.org/entity/Q37175,ingoing,[]
8,http://www.wikidata.org/entity/Q548919,http://www.wikidata.org/prop/direct/P1431,http://www.wikidata.org/entity/Q37175,ingoing,[]
9,http://www.wikidata.org/entity/Q15103254,http://www.wikidata.org/prop/direct/P162,http://www.wikidata.org/entity/Q37175,ingoing,[]
10,http://www.wikidata.org/entity/Q206576,http://www.wikidata.org/prop/direct/P162,http://www.wikidata.org/entity/Q37175,ingoing,[]
11,http://www.wikidata.org/entity/Q323318,http://www.wikidata.org/prop/direct/P162,http://www.wikidata.org/entity/Q37175,ingoing,[]
12,http://www.wikidata.org/entity/Q830376,http://www.wikidata.org/prop/direct/P162,http://www.wikidata.org/entity/Q37175,ingoing,[]
13,http://www.wikidata.org/entity/Q1377227,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q37175,ingoing,[]
14,http://www.wikidata.org/entity/Q202857,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q37175,ingoing,[]
15,http://www.wikidata.org/entity/Q24762662,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q37175,ingoing,[]
16,http://www.wikidata.org/entity/Q6266571,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q37175,ingoing,[]
17,http://www.wikidata.org/entity/Q738747,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q37175,ingoing,[]
