,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q37175,http://www.wikidata.org/prop/direct/P103,http://www.wikidata.org/entity/Q1860,outgoing,[]
1,http://www.wikidata.org/entity/Q37175,http://www.wikidata.org/prop/direct/P1283,http://www.wikidata.org/entity/Q6266571,outgoing,[]
2,http://www.wikidata.org/entity/Q37175,http://www.wikidata.org/prop/direct/P1303,http://www.wikidata.org/entity/Q6607,outgoing,[]
3,http://www.wikidata.org/entity/Q37175,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q11399,outgoing,[]
4,http://www.wikidata.org/entity/Q37175,http://www.wikidata.org/prop/direct/P140,http://www.wikidata.org/entity/Q7066,outgoing,[]
5,http://www.wikidata.org/entity/Q37175,http://www.wikidata.org/prop/direct/P1411,http://www.wikidata.org/entity/Q103916,outgoing,[]
6,http://www.wikidata.org/entity/Q37175,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q1860,outgoing,[]
7,http://www.wikidata.org/entity/Q37175,http://www.wikidata.org/prop/direct/P1424,http://www.wikidata.org/entity/Q17644684,outgoing,[]
14,http://www.wikidata.org/entity/Q37175,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q494295,outgoing,[]
15,http://www.wikidata.org/entity/Q37175,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097,outgoing,[]
16,http://www.wikidata.org/entity/Q37175,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q229166,outgoing,[]
17,http://www.wikidata.org/entity/Q37175,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q30,outgoing,[]
18,http://www.wikidata.org/entity/Q37175,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,outgoing,[]
19,http://www.wikidata.org/entity/Q37175,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q20670730,outgoing,[]
