,subject,predicate,object,type_df,iteration
13,http://www.wikidata.org/entity/Q1377227,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q37175,ingoing,1
18,http://www.wikidata.org/entity/Q20670730,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q37175,ingoing,1
19,http://www.wikidata.org/entity/Q28032626,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q37175,ingoing,1
23,http://www.wikidata.org/entity/Q229166,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q37175,ingoing,1
25,http://www.wikidata.org/entity/Q101797,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q37175,ingoing,1
26,http://www.wikidata.org/entity/Q212531,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q37175,ingoing,1
27,http://www.wikidata.org/entity/Q229993,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q37175,ingoing,1
28,http://www.wikidata.org/entity/Q232927,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q37175,ingoing,1
29,http://www.wikidata.org/entity/Q51023,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q37175,ingoing,1
16,http://www.wikidata.org/entity/Q37175,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q229166,outgoing,1
19,http://www.wikidata.org/entity/Q37175,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q20670730,outgoing,1
20,http://www.wikidata.org/entity/Q37175,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q28032626,outgoing,1
21,http://www.wikidata.org/entity/Q37175,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q101797,outgoing,1
22,http://www.wikidata.org/entity/Q37175,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q212531,outgoing,1
23,http://www.wikidata.org/entity/Q37175,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q229993,outgoing,1
24,http://www.wikidata.org/entity/Q37175,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q232927,outgoing,1
25,http://www.wikidata.org/entity/Q37175,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q51023,outgoing,1
1,http://www.wikidata.org/entity/Q189490,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q501058,ingoing,2
2,http://www.wikidata.org/entity/Q310295,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q501058,ingoing,2
3,http://www.wikidata.org/entity/Q314704,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q501058,ingoing,2
4,http://www.wikidata.org/entity/Q32522,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q501058,ingoing,2
