Aaron Johnson
Adriana Caselotti
Al Pacino
Alan Menken
Amber Heard
Angela Lansbury
Angelina Jolie
Anika Noni Rose
Ann Sothern
Art Babbitt
Art Linkletter
Barbara Walters
Bea Arthur
Bella Darvi
Benicio del Toro
Betty Taylor
Bill Murray
Bill Nighy
Bill Peet
Bill Walsh
Billy Crystal
Bob Gurr
Bonita Granville
Brad Dourif
Brad Pitt
Buddy Baker
Buddy Ebsen
Buddy Hackett
Burny Mattinson
Carl Barks
Carrie Fisher
Channing Tatum
Christian Slater
Claire Danes
Claire Foy
Claude Coats
Clyde Geronimi
Damian Lewis
Dave Smith
David Stollery
David Tomlinson
Dean Jones
Denzel Washington
Dick Huemer
Disney Legends
Don Iwerks
Dudley Moore
Ed Wynn
Elizabeth Taylor
Elton John
Eminem
Emma Stone
Eric Larson
Estelle Getty
Floyd Norman
Frank Gifford
Frank Sinatra
Frank Wells
Fred MacMurray
Fulton Burley
Gabriel Byrne
George Bodenheimer
George Bruns
George Lucas
Ginny Tyler
Glenn Close
Glynis Johns
Guillermo del Toro
Guy Williams
Hamilton Luske
Harriet Burns
Hayley Mills
Howard Ashman
Howard Shore
Hugh Grant
Ilene Woods
Irwin Kostal
Jack Hannah
Jack Lindquist
Jack Wagner
Jack Wrather
James Algar
James Gandolfini
Jason Bateman
Jeff Bridges
Jeffrey Tambor
Jennifer Grey
Jessica Chastain
Jim Carrey
Jim Henson
Jimmie Dodd
Jimmy MacDonald
Joaquin Phoenix
Jodie Foster
Joe Grant
Joe Ranft
John Goodman
John Hench
John Lounsbery
Jon Hamm
Joyce Carlson
Julie Andrews
Kathryn Beaumont
Keanu Reeves
Ken Anderson
Ken Annakin
Kevin Corcoran
Kirk Douglas
Laura Linney
Lea Salonga
Leigh Harline
Leonard Goldenson
Letty Aronson
MTV Movie Award for Best Performance
Macaulay Culkin
Marcello Mastroianni
Mark Hamill
Martin Scorsese
Marty Sklar
Mary Blair
Matsuo Yokoyama
Matt Bomer
Maurice Chevalier
Mel Shaw
Meryl Streep
Michael J Fox
Mickey Rooney
Misha Collins
Morgan Freeman
N Paul Kenworthy
Nastassja Kinski
Norman Palmer
Octavia Spencer
Oliver Stone
Patricia Arquette
Paul Lukas
Peter Dinklage
Peter Ellenshaw
Peter Falk
Philip Seymour Hoffman
Pinto Colvig
Rachel Brosnahan
Rachel Carson
Rachel Weisz
Randy Newman
Randy Quaid
Regis Philbin
Richard Dreyfuss
Richard Fleischer
Richard Todd
Robin Wright
Ron Logan
Roy E Disney
Roy Williams
Rutger Hauer
Ruthie Tompson
Ryan Gosling
Salvatore Camarata
Sam Rockwell
Sandahl Bergman
Sarah Michelle Gellar
Selena Gomez
Sidney Lumet
Stan Lee
Sterling Holloway
Steve Buscemi
Steven Zaillian
Susan Lucci
Tim Allen
Tim Considine
Tim Rice
Tom Cruise
Tom Hanks
Tommy Kirk
Tony Anselmo
Tony Baxter
Tyrus Wong
Ub Iwerks
Van Arsdale France
Wally Boag
Ward Kimball
Wayne Allwine
Wes Anderson
Whoopi Goldberg
William Everett Potter
William Garity
Woody Allen
Xavier Atencio
Zac Efron
