,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q25694909,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q762,ingoing,[]
1,http://www.wikidata.org/entity/Q2771426,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q762,ingoing,[]
2,http://www.wikidata.org/entity/Q1761262,http://www.wikidata.org/prop/direct/P1038,http://www.wikidata.org/entity/Q762,ingoing,[]
3,http://www.wikidata.org/entity/Q1056977,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q762,ingoing,[]
4,http://www.wikidata.org/entity/Q207929,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q762,ingoing,[]
5,http://www.wikidata.org/entity/Q469379,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q762,ingoing,[]
6,http://www.wikidata.org/entity/Q495110,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q762,ingoing,[]
7,http://www.wikidata.org/entity/Q954126,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q762,ingoing,[]
8,http://www.wikidata.org/entity/Q1067971,http://www.wikidata.org/prop/direct/P110,http://www.wikidata.org/entity/Q762,ingoing,[]
115,http://www.wikidata.org/entity/Q22034104,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q762,ingoing,[]
116,http://www.wikidata.org/entity/Q3210835,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q762,ingoing,[]
117,http://www.wikidata.org/entity/Q43219875,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q762,ingoing,[]
118,http://www.wikidata.org/entity/Q43258051,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q762,ingoing,[]
119,http://www.wikidata.org/entity/Q6696013,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q762,ingoing,[]
121,http://www.wikidata.org/entity/P345,http://www.wikidata.org/prop/direct/P1855,http://www.wikidata.org/entity/Q762,ingoing,[]
122,http://www.wikidata.org/entity/P800,http://www.wikidata.org/prop/direct/P1855,http://www.wikidata.org/entity/Q762,ingoing,[]
123,http://www.wikidata.org/entity/P906,http://www.wikidata.org/prop/direct/P1855,http://www.wikidata.org/entity/Q762,ingoing,[]
124,http://www.wikidata.org/entity/Q18816208,http://www.wikidata.org/prop/direct/P287,http://www.wikidata.org/entity/Q762,ingoing,[]
125,http://www.wikidata.org/entity/Q22001850,http://www.wikidata.org/prop/direct/P2959,http://www.wikidata.org/entity/Q762,ingoing,[]
126,http://www.wikidata.org/entity/Q8587358,http://www.wikidata.org/prop/direct/P301,http://www.wikidata.org/entity/Q762,ingoing,[]
127,http://www.wikidata.org/entity/Q371916,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q762,ingoing,[]
128,http://www.wikidata.org/entity/Q1105846,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q762,ingoing,[]
129,http://www.wikidata.org/entity/Q1105990,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q762,ingoing,[]
130,http://www.wikidata.org/entity/Q1106332,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q762,ingoing,[]
131,http://www.wikidata.org/entity/Q1106361,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q762,ingoing,[]
132,http://www.wikidata.org/entity/Q11767217,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q762,ingoing,[]
133,http://www.wikidata.org/entity/Q11767218,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q762,ingoing,[]
134,http://www.wikidata.org/entity/Q11767219,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q762,ingoing,[]
