,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q11023,outgoing,[]
1,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q236122,outgoing,[]
2,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q521,outgoing,[]
3,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q737201,outgoing,[]
4,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q1028181,outgoing,[]
5,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q10872101,outgoing,[]
6,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q11063,outgoing,[]
7,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q1281618,outgoing,[]
8,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q13582652,outgoing,[]
9,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q170790,outgoing,[]
10,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q193391,outgoing,[]
11,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q205375,outgoing,[]
12,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q2055046,outgoing,[]
13,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q270141,outgoing,[]
14,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q36834,outgoing,[]
15,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q42973,outgoing,[]
16,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q4964182,outgoing,[]
17,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q49757,outgoing,[]
18,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q639669,outgoing,[]
19,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q81096,outgoing,[]
20,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q901,outgoing,[]
21,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q183458,outgoing,[]
22,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P108,http://www.wikidata.org/entity/Q187998,outgoing,[]
23,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P108,http://www.wikidata.org/entity/Q236853,outgoing,[]
24,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q1474884,outgoing,[]
25,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q652,outgoing,[]
