,subject,predicate,object,type_df,iteration
3,http://www.wikidata.org/entity/Q1056977,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q762,ingoing,1
4,http://www.wikidata.org/entity/Q207929,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q762,ingoing,1
5,http://www.wikidata.org/entity/Q469379,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q762,ingoing,1
6,http://www.wikidata.org/entity/Q495110,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q762,ingoing,1
7,http://www.wikidata.org/entity/Q954126,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q762,ingoing,1
127,http://www.wikidata.org/entity/Q371916,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q762,ingoing,1
160,http://www.wikidata.org/entity/Q183458,http://www.wikidata.org/prop/direct/P802,http://www.wikidata.org/entity/Q762,ingoing,1
161,http://www.wikidata.org/entity/Q321563,http://www.wikidata.org/prop/direct/P802,http://www.wikidata.org/entity/Q762,ingoing,1
21,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q183458,outgoing,1
22,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P108,http://www.wikidata.org/entity/Q187998,outgoing,1
23,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P108,http://www.wikidata.org/entity/Q236853,outgoing,1
28,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P1962,http://www.wikidata.org/entity/Q129857,outgoing,1
29,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P1962,http://www.wikidata.org/entity/Q177854,outgoing,1
30,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P1962,http://www.wikidata.org/entity/Q236853,outgoing,1
33,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q371916,outgoing,1
51,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P802,http://www.wikidata.org/entity/Q1056977,outgoing,1
52,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P802,http://www.wikidata.org/entity/Q207929,outgoing,1
53,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P802,http://www.wikidata.org/entity/Q469379,outgoing,1
54,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P802,http://www.wikidata.org/entity/Q495110,outgoing,1
2,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P800,http://www.wikidata.org/entity/Q269342,ingoing,2
2,http://www.wikidata.org/entity/Q269342,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q762,outgoing,2
0,http://www.wikidata.org/entity/Q30094083,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q762,outgoing,2
4,http://www.wikidata.org/entity/Q2397593,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q762,outgoing,2
1,http://www.wikidata.org/entity/Q2527880,http://www.wikidata.org/prop/direct/P800,http://www.wikidata.org/entity/Q2198705,ingoing,2
3,http://www.wikidata.org/entity/Q2198705,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q2527880,outgoing,2
4,http://www.wikidata.org/entity/Q2198705,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5592,outgoing,2
5,http://www.wikidata.org/entity/Q2198705,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q762,outgoing,2
8,http://www.wikidata.org/entity/Q2198705,http://www.wikidata.org/prop/direct/P84,http://www.wikidata.org/entity/Q2527880,outgoing,2
10,http://www.wikidata.org/entity/Q2198705,http://www.wikidata.org/prop/direct/P88,http://www.wikidata.org/entity/Q164823,outgoing,2
1,http://www.wikidata.org/entity/Q3976305,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q762,outgoing,2
4,http://www.wikidata.org/entity/Q1892745,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q762,outgoing,2
0,http://www.wikidata.org/entity/Q1469799,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q762,outgoing,2
0,http://www.wikidata.org/entity/Q18275796,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q762,outgoing,2
2,http://www.wikidata.org/entity/Q3373694,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q762,outgoing,2
2,http://www.wikidata.org/entity/Q3492887,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q762,outgoing,2
2,http://www.wikidata.org/entity/Q1327676,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q762,outgoing,2
2,http://www.wikidata.org/entity/Q2471531,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q762,outgoing,2
3,http://www.wikidata.org/entity/Q3618186,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q762,outgoing,2
4,http://www.wikidata.org/entity/Q3618186,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q8511,outgoing,2
