,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q23014033,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q255,ingoing,[]
1,http://www.wikidata.org/entity/Q25573193,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q255,ingoing,[]
2,http://www.wikidata.org/entity/Q15823075,http://www.wikidata.org/prop/direct/P1038,http://www.wikidata.org/entity/Q255,ingoing,[]
3,http://www.wikidata.org/entity/Q1246313,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q255,ingoing,[]
4,http://www.wikidata.org/entity/Q213558,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q255,ingoing,[]
5,http://www.wikidata.org/entity/Q215333,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q255,ingoing,[]
6,http://www.wikidata.org/entity/Q85760,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q255,ingoing,[]
7,http://www.wikidata.org/entity/Q93373,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q255,ingoing,[]
8,http://www.wikidata.org/entity/Q19979612,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q255,ingoing,[]
9,http://www.wikidata.org/entity/Q17509039,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q255,ingoing,[]
10,http://www.wikidata.org/entity/Q17583326,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q255,ingoing,[]
11,http://www.wikidata.org/entity/Q24175652,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q255,ingoing,[]
12,http://www.wikidata.org/entity/Q24194694,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q255,ingoing,[]
13,http://www.wikidata.org/entity/Q24198350,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q255,ingoing,[]
14,http://www.wikidata.org/entity/Q26835911,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q255,ingoing,[]
15,http://www.wikidata.org/entity/Q30250673,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q255,ingoing,[]
16,http://www.wikidata.org/entity/P1636,http://www.wikidata.org/prop/direct/P1855,http://www.wikidata.org/entity/Q255,ingoing,[]
17,http://www.wikidata.org/entity/P2949,http://www.wikidata.org/prop/direct/P1855,http://www.wikidata.org/entity/Q255,ingoing,[]
18,http://www.wikidata.org/entity/Q791971,http://www.wikidata.org/prop/direct/P1877,http://www.wikidata.org/entity/Q255,ingoing,[]
19,http://www.wikidata.org/entity/Q21201071,http://www.wikidata.org/prop/direct/P2959,http://www.wikidata.org/entity/Q255,ingoing,[]
20,http://www.wikidata.org/entity/Q8805584,http://www.wikidata.org/prop/direct/P301,http://www.wikidata.org/entity/Q255,ingoing,[]
21,http://www.wikidata.org/entity/Q10336787,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q255,ingoing,[]
22,http://www.wikidata.org/entity/Q6374627,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q255,ingoing,[]
23,http://www.wikidata.org/entity/Q20050334,http://www.wikidata.org/prop/direct/P360,http://www.wikidata.org/entity/Q255,ingoing,[]
24,http://www.wikidata.org/entity/Q14507972,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q255,ingoing,[]
25,http://www.wikidata.org/entity/Q2153541,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q255,ingoing,[]
26,http://www.wikidata.org/entity/Q1595268,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q255,ingoing,[]
27,http://www.wikidata.org/entity/Q1811139,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q255,ingoing,[]
28,http://www.wikidata.org/entity/Q21175625,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q255,ingoing,[]
30,http://www.wikidata.org/entity/Q19979612,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q255,ingoing,[]
31,http://www.wikidata.org/entity/Q5247488,http://www.wikidata.org/prop/direct/P710,http://www.wikidata.org/entity/Q255,ingoing,[]
35,http://www.wikidata.org/entity/Q16191592,http://www.wikidata.org/prop/direct/P802,http://www.wikidata.org/entity/Q255,ingoing,[]
36,http://www.wikidata.org/entity/Q193673,http://www.wikidata.org/prop/direct/P802,http://www.wikidata.org/entity/Q255,ingoing,[]
