,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q255,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.wikidata.org/prop/novalue/P26,outgoing,[]
1,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P103,http://www.wikidata.org/entity/Q188,outgoing,[]
2,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1050,http://www.wikidata.org/entity/Q10860654,outgoing,[]
3,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1050,http://www.wikidata.org/entity/Q110315,outgoing,[]
4,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1050,http://www.wikidata.org/entity/Q12133,outgoing,[]
5,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1050,http://www.wikidata.org/entity/Q131742,outgoing,[]
6,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1050,http://www.wikidata.org/entity/Q1472,outgoing,[]
7,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1050,http://www.wikidata.org/entity/Q147778,outgoing,[]
8,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1050,http://www.wikidata.org/entity/Q193894,outgoing,[]
9,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1050,http://www.wikidata.org/entity/Q2035074,outgoing,[]
10,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1050,http://www.wikidata.org/entity/Q3144986,outgoing,[]
11,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1050,http://www.wikidata.org/entity/Q41083,outgoing,[]
12,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1050,http://www.wikidata.org/entity/Q653078,outgoing,[]
13,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q36834,outgoing,[]
14,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q16191592,outgoing,[]
15,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q213556,outgoing,[]
16,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q314164,outgoing,[]
17,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q51088,outgoing,[]
18,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q693052,outgoing,[]
19,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q7349,outgoing,[]
20,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P119,http://www.wikidata.org/entity/Q40927973,outgoing,[]
21,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1303,http://www.wikidata.org/entity/Q5994,outgoing,[]
22,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q17723,outgoing,[]
23,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q9730,outgoing,[]
24,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q11487510,outgoing,[]
25,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q1344,outgoing,[]
26,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q1546995,outgoing,[]
27,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q7933385,outgoing,[]
28,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q923298,outgoing,[]
29,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q9730,outgoing,[]
30,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q9734,outgoing,[]
31,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P140,http://www.wikidata.org/entity/Q1841,outgoing,[]
32,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q188,outgoing,[]
33,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1455,http://www.wikidata.org/entity/Q859387,outgoing,[]
34,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P172,http://www.wikidata.org/entity/Q42884,outgoing,[]
35,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q586,outgoing,[]
36,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1962,http://www.wikidata.org/entity/Q1948037,outgoing,[]
37,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1962,http://www.wikidata.org/entity/Q472851,outgoing,[]
38,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1962,http://www.wikidata.org/entity/Q570845,outgoing,[]
39,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1962,http://www.wikidata.org/entity/Q685156,outgoing,[]
40,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/entity/Q1741,outgoing,[]
41,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097,outgoing,[]
42,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q2153541,outgoing,[]
43,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/entity/Q14507972,outgoing,[]
44,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P2959,http://www.wikidata.org/entity/Q21201071,outgoing,[]
45,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,outgoing,[]
46,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q10336787,outgoing,[]
47,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q6374627,outgoing,[]
49,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P734,http://www.wikidata.org/entity/Q42864897,outgoing,[]
50,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q14159020,outgoing,[]
52,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q254,outgoing,[]
54,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q7349,outgoing,[]
55,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P793,http://www.wikidata.org/entity/Q5247488,outgoing,[]
60,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P802,http://www.wikidata.org/entity/Q1246313,outgoing,[]
61,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P802,http://www.wikidata.org/entity/Q213558,outgoing,[]
62,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P802,http://www.wikidata.org/entity/Q215333,outgoing,[]
63,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P802,http://www.wikidata.org/entity/Q93373,outgoing,[]
64,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P937,http://www.wikidata.org/entity/Q1741,outgoing,[]
65,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P937,http://www.wikidata.org/entity/Q586,outgoing,[]
66,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P972,http://www.wikidata.org/entity/Q5460604,outgoing,[]
0,http://www.wikidata.org/entity/Q723790,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q217295,outgoing,[]
1,http://www.wikidata.org/entity/Q723790,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q19545459,outgoing,[]
2,http://www.wikidata.org/entity/Q723790,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q217295,outgoing,[]
3,http://www.wikidata.org/entity/Q723790,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2188189,outgoing,[]
4,http://www.wikidata.org/entity/Q723790,http://www.wikidata.org/prop/direct/P826,http://www.wikidata.org/entity/Q1124006,outgoing,[]
6,http://www.wikidata.org/entity/Q723790,http://www.wikidata.org/prop/direct/P870,http://www.wikidata.org/entity/Q239582,outgoing,[]
0,http://www.wikidata.org/entity/Q169969,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q11487510,outgoing,[]
1,http://www.wikidata.org/entity/Q169969,http://www.wikidata.org/prop/direct/P826,http://www.wikidata.org/entity/Q283741,outgoing,[]
0,http://www.wikidata.org/entity/Q17025632,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q207628,outgoing,[]
1,http://www.wikidata.org/entity/Q17025632,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q923298,outgoing,[]
0,http://www.wikidata.org/entity/Q191560,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q11487510,outgoing,[]
1,http://www.wikidata.org/entity/Q191560,http://www.wikidata.org/prop/direct/P826,http://www.wikidata.org/entity/Q277855,outgoing,[]
0,http://www.wikidata.org/entity/Q146492,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q131269,outgoing,[]
1,http://www.wikidata.org/entity/Q146492,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q824979,outgoing,[]
2,http://www.wikidata.org/entity/Q146492,http://www.wikidata.org/prop/direct/P826,http://www.wikidata.org/entity/Q283895,outgoing,[]
3,http://www.wikidata.org/entity/Q146492,http://www.wikidata.org/prop/direct/P826,http://www.wikidata.org/entity/Q5728362,outgoing,[]
5,http://www.wikidata.org/entity/Q146492,http://www.wikidata.org/prop/direct/P870,http://www.wikidata.org/entity/Q5994,outgoing,[]
0,http://www.wikidata.org/entity/Q270886,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q11487510,outgoing,[]
1,http://www.wikidata.org/entity/Q270886,http://www.wikidata.org/prop/direct/P826,http://www.wikidata.org/entity/Q283880,outgoing,[]
0,http://www.wikidata.org/entity/Q146614,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1546995,outgoing,[]
1,http://www.wikidata.org/entity/Q146614,http://www.wikidata.org/prop/direct/P826,http://www.wikidata.org/entity/Q283741,outgoing,[]
3,http://www.wikidata.org/entity/Q146614,http://www.wikidata.org/prop/direct/P870,http://www.wikidata.org/entity/Q5994,outgoing,[]
0,http://www.wikidata.org/entity/Q11887907,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q1546995,outgoing,[]
1,http://www.wikidata.org/entity/Q11887907,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1746056,outgoing,[]
0,http://www.wikidata.org/entity/Q146793,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1546995,outgoing,[]
1,http://www.wikidata.org/entity/Q146793,http://www.wikidata.org/prop/direct/P825,http://www.wikidata.org/entity/Q93373,outgoing,[]
2,http://www.wikidata.org/entity/Q146793,http://www.wikidata.org/prop/direct/P826,http://www.wikidata.org/entity/Q309994,outgoing,[]
4,http://www.wikidata.org/entity/Q146793,http://www.wikidata.org/prop/direct/P870,http://www.wikidata.org/entity/Q5994,outgoing,[]
0,http://www.wikidata.org/entity/Q202721,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q211025,outgoing,[]
1,http://www.wikidata.org/entity/Q202721,http://www.wikidata.org/prop/direct/P826,http://www.wikidata.org/entity/Q913790,outgoing,[]
0,http://www.wikidata.org/entity/Q1217651,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q13323,outgoing,[]
1,http://www.wikidata.org/entity/Q1217651,http://www.wikidata.org/prop/direct/P826,http://www.wikidata.org/entity/Q5728362,outgoing,[]
3,http://www.wikidata.org/entity/Q1217651,http://www.wikidata.org/prop/direct/P870,http://www.wikidata.org/entity/Q5994,outgoing,[]
0,http://www.wikidata.org/entity/Q28943917,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.wikidata.org/prop/novalue/P364,outgoing,[]
3,http://www.wikidata.org/entity/Q28943917,http://www.wikidata.org/prop/direct/P3092,http://www.wikidata.org/entity/Q28858393,outgoing,[]
4,http://www.wikidata.org/entity/Q28943917,http://www.wikidata.org/prop/direct/P3092,http://www.wikidata.org/entity/Q28945683,outgoing,[]
5,http://www.wikidata.org/entity/Q28943917,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q17517379,outgoing,[]
0,http://www.wikidata.org/entity/Q2296139,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q130232,outgoing,[]
14,http://www.wikidata.org/entity/Q2296139,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q209459,outgoing,[]
15,http://www.wikidata.org/entity/Q2296139,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q11424,outgoing,[]
17,http://www.wikidata.org/entity/Q2296139,http://www.wikidata.org/prop/direct/P364,http://www.wikidata.org/entity/Q150,outgoing,[]
18,http://www.wikidata.org/entity/Q2296139,http://www.wikidata.org/prop/direct/P462,http://www.wikidata.org/entity/Q22006653,outgoing,[]
19,http://www.wikidata.org/entity/Q2296139,http://www.wikidata.org/prop/direct/P495,http://www.wikidata.org/entity/Q142,outgoing,[]
20,http://www.wikidata.org/entity/Q2296139,http://www.wikidata.org/prop/direct/P495,http://www.wikidata.org/entity/Q39,outgoing,[]
0,http://www.wikidata.org/entity/Q210451,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q9734,outgoing,[]
1,http://www.wikidata.org/entity/Q210451,http://www.wikidata.org/prop/direct/P825,http://www.wikidata.org/entity/Q685156,outgoing,[]
2,http://www.wikidata.org/entity/Q210451,http://www.wikidata.org/prop/direct/P826,http://www.wikidata.org/entity/Q1124006,outgoing,[]
4,http://www.wikidata.org/entity/Q210451,http://www.wikidata.org/prop/direct/P870,http://www.wikidata.org/entity/Q239582,outgoing,[]
0,http://www.wikidata.org/entity/Q3066527,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q836571,outgoing,[]
1,http://www.wikidata.org/entity/Q3066527,http://www.wikidata.org/prop/direct/P826,http://www.wikidata.org/entity/Q283895,outgoing,[]
3,http://www.wikidata.org/entity/Q3066527,http://www.wikidata.org/prop/direct/P870,http://www.wikidata.org/entity/Q5994,outgoing,[]
0,http://www.wikidata.org/entity/Q3539407,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q207628,outgoing,[]
1,http://www.wikidata.org/entity/Q3539407,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q923298,outgoing,[]
0,http://www.wikidata.org/entity/Q146651,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1546995,outgoing,[]
1,http://www.wikidata.org/entity/Q146651,http://www.wikidata.org/prop/direct/P826,http://www.wikidata.org/entity/Q5728362,outgoing,[]
3,http://www.wikidata.org/entity/Q146651,http://www.wikidata.org/prop/direct/P870,http://www.wikidata.org/entity/Q5994,outgoing,[]
0,http://www.wikidata.org/entity/Q146669,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1546995,outgoing,[]
1,http://www.wikidata.org/entity/Q146669,http://www.wikidata.org/prop/direct/P825,http://www.wikidata.org/entity/Q93373,outgoing,[]
2,http://www.wikidata.org/entity/Q146669,http://www.wikidata.org/prop/direct/P826,http://www.wikidata.org/entity/Q934895,outgoing,[]
4,http://www.wikidata.org/entity/Q146669,http://www.wikidata.org/prop/direct/P870,http://www.wikidata.org/entity/Q5994,outgoing,[]
0,http://www.wikidata.org/entity/Q166250,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q207628,outgoing,[]
2,http://www.wikidata.org/entity/Q166250,http://www.wikidata.org/prop/direct/P870,http://www.wikidata.org/entity/Q5994,outgoing,[]
0,http://www.wikidata.org/entity/Q157489,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q9734,outgoing,[]
1,http://www.wikidata.org/entity/Q157489,http://www.wikidata.org/prop/direct/P826,http://www.wikidata.org/entity/Q934895,outgoing,[]
0,http://www.wikidata.org/entity/Q146692,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1546995,outgoing,[]
1,http://www.wikidata.org/entity/Q146692,http://www.wikidata.org/prop/direct/P826,http://www.wikidata.org/entity/Q283880,outgoing,[]
3,http://www.wikidata.org/entity/Q146692,http://www.wikidata.org/prop/direct/P870,http://www.wikidata.org/entity/Q5994,outgoing,[]
0,http://www.wikidata.org/entity/Q146296,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1546995,outgoing,[]
1,http://www.wikidata.org/entity/Q146296,http://www.wikidata.org/prop/direct/P826,http://www.wikidata.org/entity/Q5728362,outgoing,[]
3,http://www.wikidata.org/entity/Q146296,http://www.wikidata.org/prop/direct/P870,http://www.wikidata.org/entity/Q5994,outgoing,[]
0,http://www.wikidata.org/entity/Q3554779,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q43304119,outgoing,[]
1,http://www.wikidata.org/entity/Q3554779,http://www.wikidata.org/prop/direct/P826,http://www.wikidata.org/entity/Q283895,outgoing,[]
2,http://www.wikidata.org/entity/Q3554779,http://www.wikidata.org/prop/direct/P826,http://www.wikidata.org/entity/Q5728362,outgoing,[]
4,http://www.wikidata.org/entity/Q3554779,http://www.wikidata.org/prop/direct/P870,http://www.wikidata.org/entity/Q5994,outgoing,[]
5,http://www.wikidata.org/entity/Q3554779,http://www.wikidata.org/prop/direct/P870,http://www.wikidata.org/entity/Q8355,outgoing,[]
6,http://www.wikidata.org/entity/Q3554779,http://www.wikidata.org/prop/direct/P870,http://www.wikidata.org/entity/Q8371,outgoing,[]
0,http://www.wikidata.org/entity/Q989970,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q130232,outgoing,[]
11,http://www.wikidata.org/entity/Q989970,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q11424,outgoing,[]
13,http://www.wikidata.org/entity/Q989970,http://www.wikidata.org/prop/direct/P364,http://www.wikidata.org/entity/Q188,outgoing,[]
14,http://www.wikidata.org/entity/Q989970,http://www.wikidata.org/prop/direct/P462,http://www.wikidata.org/entity/Q838368,outgoing,[]
15,http://www.wikidata.org/entity/Q989970,http://www.wikidata.org/prop/direct/P495,http://www.wikidata.org/entity/Q142,outgoing,[]
16,http://www.wikidata.org/entity/Q989970,http://www.wikidata.org/prop/direct/P495,http://www.wikidata.org/entity/Q183,outgoing,[]
19,http://www.wikidata.org/entity/Q989970,http://www.wikidata.org/prop/direct/P750,http://www.wikidata.org/entity/Q648034,outgoing,[]
0,http://www.wikidata.org/entity/Q146060,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1546995,outgoing,[]
1,http://www.wikidata.org/entity/Q146060,http://www.wikidata.org/prop/direct/P826,http://www.wikidata.org/entity/Q913790,outgoing,[]
3,http://www.wikidata.org/entity/Q146060,http://www.wikidata.org/prop/direct/P870,http://www.wikidata.org/entity/Q5994,outgoing,[]
0,http://www.wikidata.org/entity/Q188081,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q11487510,outgoing,[]
1,http://www.wikidata.org/entity/Q188081,http://www.wikidata.org/prop/direct/P826,http://www.wikidata.org/entity/Q283749,outgoing,[]
0,http://www.wikidata.org/entity/Q28053422,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1076513,outgoing,[]
1,http://www.wikidata.org/entity/Q28053422,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q213993,outgoing,[]
0,http://www.wikidata.org/entity/Q1087216,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q85477,outgoing,[]
1,http://www.wikidata.org/entity/Q1087216,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q207628,outgoing,[]
2,http://www.wikidata.org/entity/Q1087216,http://www.wikidata.org/prop/direct/P407,http://www.wikidata.org/entity/Q188,outgoing,[]
0,http://www.wikidata.org/entity/Q146343,http://www.wikidata.org/prop/direct/P1411,http://www.wikidata.org/entity/Q3774292,outgoing,[]
1,http://www.wikidata.org/entity/Q146343,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q3774292,outgoing,[]
2,http://www.wikidata.org/entity/Q146343,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1546995,outgoing,[]
3,http://www.wikidata.org/entity/Q146343,http://www.wikidata.org/prop/direct/P826,http://www.wikidata.org/entity/Q934895,outgoing,[]
5,http://www.wikidata.org/entity/Q146343,http://www.wikidata.org/prop/direct/P870,http://www.wikidata.org/entity/Q5994,outgoing,[]
0,http://www.wikidata.org/entity/Q496757,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q174873,outgoing,[]
0,http://www.wikidata.org/entity/Q1207965,http://www.wikidata.org/prop/direct/P2670,http://www.wikidata.org/entity/Q214981,outgoing,[]
1,http://www.wikidata.org/entity/Q1207965,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1746056,outgoing,[]
2,http://www.wikidata.org/entity/Q1207965,http://www.wikidata.org/prop/direct/P826,http://www.wikidata.org/entity/Q1022293,outgoing,[]
4,http://www.wikidata.org/entity/Q1207965,http://www.wikidata.org/prop/direct/P870,http://www.wikidata.org/entity/Q5994,outgoing,[]
0,http://www.wikidata.org/entity/Q146396,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1546995,outgoing,[]
1,http://www.wikidata.org/entity/Q146396,http://www.wikidata.org/prop/direct/P826,http://www.wikidata.org/entity/Q283895,outgoing,[]
3,http://www.wikidata.org/entity/Q146396,http://www.wikidata.org/prop/direct/P870,http://www.wikidata.org/entity/Q5994,outgoing,[]
0,http://www.wikidata.org/entity/Q862609,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q202287,outgoing,[]
1,http://www.wikidata.org/entity/Q862609,http://www.wikidata.org/prop/direct/P826,http://www.wikidata.org/entity/Q283895,outgoing,[]
0,http://www.wikidata.org/entity/Q5903984,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q131269,outgoing,[]
1,http://www.wikidata.org/entity/Q5903984,http://www.wikidata.org/prop/direct/P826,http://www.wikidata.org/entity/Q913790,outgoing,[]
3,http://www.wikidata.org/entity/Q5903984,http://www.wikidata.org/prop/direct/P870,http://www.wikidata.org/entity/Q1757829,outgoing,[]
4,http://www.wikidata.org/entity/Q5903984,http://www.wikidata.org/prop/direct/P870,http://www.wikidata.org/entity/Q5994,outgoing,[]
0,http://www.wikidata.org/entity/Q353933,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q7366,outgoing,[]
1,http://www.wikidata.org/entity/Q353933,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q213993,outgoing,[]
2,http://www.wikidata.org/entity/Q353933,http://www.wikidata.org/prop/direct/P826,http://www.wikidata.org/entity/Q1132862,outgoing,[]
0,http://www.wikidata.org/entity/Q175565,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q11487510,outgoing,[]
1,http://www.wikidata.org/entity/Q175565,http://www.wikidata.org/prop/direct/P826,http://www.wikidata.org/entity/Q795134,outgoing,[]
0,http://www.wikidata.org/entity/Q193778,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q377258,outgoing,[]
1,http://www.wikidata.org/entity/Q193778,http://www.wikidata.org/prop/direct/P144,http://www.wikidata.org/entity/Q20669262,outgoing,[]
3,http://www.wikidata.org/entity/Q193778,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1344,outgoing,[]
4,http://www.wikidata.org/entity/Q193778,http://www.wikidata.org/prop/direct/P407,http://www.wikidata.org/entity/Q188,outgoing,[]
5,http://www.wikidata.org/entity/Q193778,http://www.wikidata.org/prop/direct/P4647,http://www.wikidata.org/entity/Q374336,outgoing,[]
6,http://www.wikidata.org/entity/Q193778,http://www.wikidata.org/prop/direct/P840,http://www.wikidata.org/entity/Q29,outgoing,[]
7,http://www.wikidata.org/entity/Q193778,http://www.wikidata.org/prop/direct/P840,http://www.wikidata.org/entity/Q40357,outgoing,[]
9,http://www.wikidata.org/entity/Q193778,http://www.wikidata.org/prop/direct/P87,http://www.wikidata.org/entity/Q86117,outgoing,[]
0,http://www.wikidata.org/entity/Q270785,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q9734,outgoing,[]
