,subject,predicate,object,type_df,iteration
2,http://www.wikidata.org/entity/Q15823075,http://www.wikidata.org/prop/direct/P1038,http://www.wikidata.org/entity/Q255,ingoing,1
3,http://www.wikidata.org/entity/Q1246313,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q255,ingoing,1
4,http://www.wikidata.org/entity/Q213558,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q255,ingoing,1
5,http://www.wikidata.org/entity/Q215333,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q255,ingoing,1
6,http://www.wikidata.org/entity/Q85760,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q255,ingoing,1
7,http://www.wikidata.org/entity/Q93373,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q255,ingoing,1
21,http://www.wikidata.org/entity/Q10336787,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q255,ingoing,1
22,http://www.wikidata.org/entity/Q6374627,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q255,ingoing,1
24,http://www.wikidata.org/entity/Q14507972,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q255,ingoing,1
25,http://www.wikidata.org/entity/Q2153541,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q255,ingoing,1
35,http://www.wikidata.org/entity/Q16191592,http://www.wikidata.org/prop/direct/P802,http://www.wikidata.org/entity/Q255,ingoing,1
36,http://www.wikidata.org/entity/Q193673,http://www.wikidata.org/prop/direct/P802,http://www.wikidata.org/entity/Q255,ingoing,1
37,http://www.wikidata.org/entity/Q213556,http://www.wikidata.org/prop/direct/P802,http://www.wikidata.org/entity/Q255,ingoing,1
38,http://www.wikidata.org/entity/Q314164,http://www.wikidata.org/prop/direct/P802,http://www.wikidata.org/entity/Q255,ingoing,1
39,http://www.wikidata.org/entity/Q51088,http://www.wikidata.org/prop/direct/P802,http://www.wikidata.org/entity/Q255,ingoing,1
40,http://www.wikidata.org/entity/Q693052,http://www.wikidata.org/prop/direct/P802,http://www.wikidata.org/entity/Q255,ingoing,1
41,http://www.wikidata.org/entity/Q7349,http://www.wikidata.org/prop/direct/P802,http://www.wikidata.org/entity/Q255,ingoing,1
14,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q16191592,outgoing,1
15,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q213556,outgoing,1
16,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q314164,outgoing,1
17,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q51088,outgoing,1
18,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q693052,outgoing,1
19,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q7349,outgoing,1
36,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1962,http://www.wikidata.org/entity/Q1948037,outgoing,1
37,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1962,http://www.wikidata.org/entity/Q472851,outgoing,1
38,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1962,http://www.wikidata.org/entity/Q570845,outgoing,1
39,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1962,http://www.wikidata.org/entity/Q685156,outgoing,1
42,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q2153541,outgoing,1
43,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/entity/Q14507972,outgoing,1
46,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q10336787,outgoing,1
47,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q6374627,outgoing,1
52,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q254,outgoing,1
54,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q7349,outgoing,1
60,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P802,http://www.wikidata.org/entity/Q1246313,outgoing,1
61,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P802,http://www.wikidata.org/entity/Q213558,outgoing,1
62,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P802,http://www.wikidata.org/entity/Q215333,outgoing,1
