,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q128297,http://www.wikidata.org/prop/direct/P119,http://www.wikidata.org/entity/Q34575,outgoing,[]
1,http://www.wikidata.org/entity/Q128297,http://www.wikidata.org/prop/direct/P1196,http://www.wikidata.org/entity/Q3739104,outgoing,[]
2,http://www.wikidata.org/entity/Q128297,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q1344,outgoing,[]
3,http://www.wikidata.org/entity/Q128297,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q935843,outgoing,[]
4,http://www.wikidata.org/entity/Q128297,http://www.wikidata.org/prop/direct/P1731,http://www.wikidata.org/entity/Q1401208,outgoing,[]
5,http://www.wikidata.org/entity/Q128297,http://www.wikidata.org/prop/direct/P1731,http://www.wikidata.org/entity/Q58192,outgoing,[]
6,http://www.wikidata.org/entity/Q128297,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q60,outgoing,[]
7,http://www.wikidata.org/entity/Q128297,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/entity/Q90,outgoing,[]
8,http://www.wikidata.org/entity/Q128297,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581072,outgoing,[]
9,http://www.wikidata.org/entity/Q128297,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q182360,outgoing,[]
10,http://www.wikidata.org/entity/Q128297,http://www.wikidata.org/prop/direct/P264,http://www.wikidata.org/entity/Q183412,outgoing,[]
11,http://www.wikidata.org/entity/Q128297,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q30,outgoing,[]
12,http://www.wikidata.org/entity/Q128297,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q41,outgoing,[]
13,http://www.wikidata.org/entity/Q128297,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,outgoing,[]
14,http://www.wikidata.org/entity/Q128297,http://www.wikidata.org/prop/direct/P412,http://www.wikidata.org/entity/Q30903,outgoing,[]
15,http://www.wikidata.org/entity/Q128297,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q180455,outgoing,[]
16,http://www.wikidata.org/entity/Q128297,http://www.wikidata.org/prop/direct/P509,http://www.wikidata.org/entity/Q12152,outgoing,[]
17,http://www.wikidata.org/entity/Q128297,http://www.wikidata.org/prop/direct/P69,http://www.wikidata.org/entity/Q755342,outgoing,[]
18,http://www.wikidata.org/entity/Q128297,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q325872,outgoing,[]
1,http://www.wikidata.org/entity/Q15299920,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q16004956,outgoing,[]
2,http://www.wikidata.org/entity/Q15299920,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q29496976,outgoing,[]
3,http://www.wikidata.org/entity/Q15299920,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q55818,outgoing,[]
4,http://www.wikidata.org/entity/Q15299920,http://www.wikidata.org/prop/direct/P376,http://www.wikidata.org/entity/Q313,outgoing,[]
