,subject,predicate,object,type_df,iteration
6,http://www.wikidata.org/entity/Q180455,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q128297,ingoing,1
7,http://www.wikidata.org/entity/Q182360,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q128297,ingoing,1
9,http://www.wikidata.org/entity/Q128297,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q182360,outgoing,1
15,http://www.wikidata.org/entity/Q128297,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q180455,outgoing,1
0,http://www.wikidata.org/entity/Q15299920,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q128297,outgoing,2
2,http://www.wikidata.org/entity/Q3389969,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q128297,outgoing,2
2,http://www.wikidata.org/entity/Q2838827,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q128297,outgoing,2
0,http://www.wikidata.org/entity/Q931557,http://www.wikidata.org/prop/direct/P1040,http://www.wikidata.org/entity/Q364528,outgoing,3
3,http://www.wikidata.org/entity/Q931557,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q128297,outgoing,3
4,http://www.wikidata.org/entity/Q931557,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q1349116,outgoing,3
5,http://www.wikidata.org/entity/Q931557,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q2280900,outgoing,3
6,http://www.wikidata.org/entity/Q931557,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q2884676,outgoing,3
7,http://www.wikidata.org/entity/Q931557,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q3847231,outgoing,3
8,http://www.wikidata.org/entity/Q931557,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q3956311,outgoing,3
9,http://www.wikidata.org/entity/Q931557,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q523545,outgoing,3
10,http://www.wikidata.org/entity/Q931557,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q537869,outgoing,3
11,http://www.wikidata.org/entity/Q931557,http://www.wikidata.org/prop/direct/P162,http://www.wikidata.org/entity/Q19410342,outgoing,3
13,http://www.wikidata.org/entity/Q931557,http://www.wikidata.org/prop/direct/P2515,http://www.wikidata.org/entity/Q507073,outgoing,3
14,http://www.wikidata.org/entity/Q931557,http://www.wikidata.org/prop/direct/P2554,http://www.wikidata.org/entity/Q939842,outgoing,3
16,http://www.wikidata.org/entity/Q931557,http://www.wikidata.org/prop/direct/P344,http://www.wikidata.org/entity/Q3725485,outgoing,3
20,http://www.wikidata.org/entity/Q931557,http://www.wikidata.org/prop/direct/P57,http://www.wikidata.org/entity/Q25120,outgoing,3
21,http://www.wikidata.org/entity/Q931557,http://www.wikidata.org/prop/direct/P58,http://www.wikidata.org/entity/Q25120,outgoing,3
22,http://www.wikidata.org/entity/Q931557,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q275979,outgoing,3
2,http://www.wikidata.org/entity/Q2081494,http://www.wikidata.org/prop/direct/P1431,http://www.wikidata.org/entity/Q83807,outgoing,3
3,http://www.wikidata.org/entity/Q2081494,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q100937,outgoing,3
4,http://www.wikidata.org/entity/Q2081494,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q102301,outgoing,3
5,http://www.wikidata.org/entity/Q2081494,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q102462,outgoing,3
